id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-9913121-1-5,King,Amanda,f,Stars,6,11,8,2025-07-11 05:20:00
978-1-341-26728-4,Russell,Christina,f,Pathfinders,7,12,7,2025-06-25 00:00:00
978-0-293-81281-8,Brown,Derek,m,Stars,10,8,8,2025-07-03 23:20:00
978-0-8151-4038-2,Thompson,Joseph,m,Pathfinders,8,9,10,2025-08-01 09:20:00
978-1-5044-1562-0,Diaz,Amy,f,Pathfinders,6,7,9,2025-08-12 02:40:00
978-1-63564-030-4,Stein,Krista,f,Otters,10,7,8,2025-08-30 15:00:00
978-1-5206-6265-7,Williams,Gloria,f,Stars,10,10,10,2025-07-25 20:40:00
978-1-4273-2867-0,Lopez,Brian,m,Otters,9,11,8,2025-07-28 13:40:00
978-0-432-90987-4,Brown,Corey,m,Pathfinders,8,8,10,2025-06-19 21:00:00
978-0-86263-044-7,Carter,Tammy,f,Stars,8,9,9,2025-06-04 13:20:00
978-0-7524-9412-8,Morrison,Kimberly,f,Pathfinders,9,8,7,2025-07-15 08:20:00
978-0-944121-07-8,Morales,Robert,m,Otters,9,11,11,2025-07-21 10:20:00
978-0-497-07022-9,Bender,Angela,f,Pathfinders,10,7,7,2025-06-22 10:20:00
978-0-14-548259-6,Hamilton,Sara,f,Stars,10,10,6,2025-08-17 22:20:00
978-0-680-86365-2,Hendricks,Natalie,f,Pathfinders,11,9,8,2025-06-01 18:00:00
978-0-86606-333-3,Cole,Shaun,m,Pathfinders,10,11,8,2025-07-22 16:40:00
978-1-998159-51-2,Wilson,Renee,f,Otters,9,6,8,2025-08-15 19:20:00
978-1-941904-19-0,Moore,Jennifer,f,Pathfinders,10,10,10,2025-06-06 07:20:00
978-0-87631-470-8,Young,Sarah,f,Pathfinders,6,8,10,2025-08-20 09:40:00
978-0-271-15300-1,Wyatt,Rebecca,f,Stars,10,9,6,2025-06-12 09:00:00
978-1-920938-56-7,Baker,Kristina,f,Otters,7,6,7,2025-07-08 13:00:00
978-1-121-27713-7,Chapman,Carolyn,f,Otters,10,12,9,2025-07-10 18:40:00
978-0-331-34950-4,Roth,Robin,f,Otters,7,8,9,2025-08-07 06:40:00
978-1-122-99492-7,Hoffman,Stephanie,f,Stars,7,7,6,2025-07-01 21:20:00
978-1-171-66728-5,Hamilton,Diana,f,Pathfinders,10,8,8,2025-06-01 18:40:00
978-0-7636-1977-0,Robinson,Todd,m,Stars,10,9,9,2025-07-17 07:20:00
978-0-18-272064-4,George,David,m,Otters,8,8,6,2025-08-01 16:00:00
978-1-220-88344-4,Lee,Breanna,f,Stars,8,12,8,2025-08-22 03:40:00
978-0-254-78746-9,Young,John,m,Pathfinders,10,9,10,2025-07-08 01:00:00
978-0-304-50068-0,Moody,Sara,f,Stars,9,9,11,2025-06-09 17:40:00
978-0-10-161181-7,Coleman,Elizabeth,f,Pathfinders,12,8,9,2025-08-29 12:00:00
978-1-4642-9242-2,Rodriguez,Matthew,m,Otters,7,10,10,2025-07-14 19:20:00
978-1-69580-300-8,Maxwell,Matthew,m,Stars,7,6,9,2025-07-20 14:40:00
978-1-04-109836-2,Scott,Anthony,m,Otters,9,8,6,2025-06-01 05:40:00
978-0-207-48341-7,Lee,Gary,m,Stars,12,7,9,2025-07-12 20:00:00
978-1-01-383693-0,Cooper,Erika,f,Stars,8,7,10,2025-07-28 19:20:00
978-1-346-50988-4,Mcdaniel,Cindy,f,Pathfinders,10,10,9,2025-07-22 18:00:00
978-1-129-91351-8,Oconnor,Allison,f,Otters,7,11,8,2025-08-15 00:20:00
978-0-05-163732-5,Foster,Sandra,f,Pathfinders,7,9,8,2025-07-23 23:40:00
978-1-76673-338-8,Chavez,Jennifer,f,Stars,9,9,10,2025-06-06 10:20:00
978-1-368-05813-1,Brooks,Dean,m,Otters,8,12,12,2025-08-30 23:00:00
978-0-7015-0932-3,Sandoval,Lynn,f,Pathfinders,10,12,9,2025-06-04 02:00:00
978-0-86135-938-7,Hamilton,Barbara,f,Stars,9,9,9,2025-06-23 07:20:00
978-0-545-74402-7,Rodriguez,Amanda,f,Pathfinders,8,10,12,2025-06-11 22:40:00
978-1-310-32233-4,Lester,Crystal,f,Pathfinders,8,8,9,2025-07-21 15:20:00
978-0-85733-929-4,Dudley,Erin,f,Stars,12,12,6,2025-08-12 06:20:00
978-0-8039-1976-1,Davis,Ashley,f,Otters,9,9,10,2025-06-16 13:20:00
978-0-278-79569-3,Davis,Jonathan,m,Stars,7,10,8,2025-06-12 08:20:00
978-1-251-65343-6,Kidd,Jennifer,f,Stars,12,9,8,2025-08-03 12:40:00
978-1-4051-4101-7,Sims,Aaron,m,Pathfinders,6,9,7,2025-08-11 18:20:00
