id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-286-77154-2,Rodriguez,Christopher,m,Rangers,11,7,9,2025-08-15 18:40:00
978-0-9870179-7-0,Martin,Richard,m,Rangers,8,7,7,2025-07-23 14:20:00
978-0-508-56696-3,Drake,Kelly,f,Rangers,7,12,10,2025-07-19 04:00:00
978-1-269-85090-2,Moran,Raymond,m,Meteors,11,6,12,2025-06-20 00:00:00
978-1-76616-888-3,Miller,Clifford,m,Meteors,6,9,9,2025-06-30 22:40:00
978-0-650-79940-0,Dunn,Brandy,f,Rangers,7,11,8,2025-07-27 18:40:00
978-0-362-95810-2,Jacobs,Jason,m,Meteors,7,9,9,2025-08-17 04:00:00
978-1-371-47165-1,Taylor,Aimee,f,Bears,9,7,9,2025-07-10 11:20:00
978-0-18-695735-0,Hughes,Christopher,m,Rangers,9,12,7,2025-07-28 08:20:00
978-0-01-901496-0,Patterson,Julie,f,Meteors,11,7,9,2025-07-21 11:40:00
978-1-83074-123-3,Cunningham,Christian,m,Bears,9,9,10,2025-07-26 16:00:00
978-0-442-90917-8,Brown,Harold,m,Rangers,9,10,12,2025-07-19 21:20:00
978-1-896654-86-7,Johnson,William,m,Bears,8,9,11,2025-08-05 01:20:00
978-0-16-529966-2,Smith,Marvin,m,Meteors,6,6,11,2025-08-07 10:20:00
978-1-316-48186-8,Cobb,Michael,m,Bears,7,9,9,2025-06-07 01:40:00
978-0-14-323031-1,Morales,Allen,m,Meteors,8,9,11,2025-08-14 11:20:00
978-1-307-24625-4,Kelly,Colleen,f,Meteors,10,8,8,2025-06-22 20:00:00
978-1-884585-90-6,Johnson,Arthur,m,Meteors,10,8,7,2025-06-20 08:20:00
978-0-491-05051-7,Cox,Kenneth,m,Rangers,10,7,7,2025-08-05 01:00:00
978-1-06-041426-6,Thompson,Veronica,f,Bears,9,8,9,2025-07-01 17:40:00
978-1-156-70464-6,Norton,Theresa,f,Rangers,7,8,12,2025-08-07 06:40:00
978-1-81186-365-7,Schneider,Sharon,f,Meteors,8,10,6,2025-07-14 03:40:00
978-0-490-63631-6,Anderson,Willie,m,Rangers,7,9,12,2025-07-21 16:00:00
978-1-64826-566-2,Becker,Rodney,m,Meteors,6,12,12,2025-06-17 15:20:00
978-1-76389-482-2,Mckay,Jason,m,Bears,8,8,9,2025-06-07 08:00:00
978-0-16-183355-6,Thomas,Debbie,f,Meteors,12,11,9,2025-08-14 22:20:00
978-0-16-554065-8,Green,Cynthia,f,Meteors,7,7,7,2025-06-17 16:00:00
978-0-910296-99-1,Gonzalez,Gavin,m,Rangers,8,8,9,2025-07-17 20:00:00
978-1-972013-26-7,Aguirre,Melissa,f,Bears,11,12,7,2025-08-14 04:00:00
978-1-385-77878-4,Johnson,Tracy,f,Rangers,9,10,6,2025-06-30 04:00:00
978-0-607-56297-2,Guerrero,Derek,m,Bears,6,12,7,2025-08-09 00:20:00
978-0-313-74938-4,Brown,Robert,m,Rangers,12,9,12,2025-07-22 14:40:00
978-1-256-94996-1,Kline,Michael,m,Rangers,10,9,10,2025-08-10 08:00:00
978-0-521-32333-8,Smith,Nicole,f,Meteors,12,9,9,2025-07-28 07:00:00
978-0-9530627-3-7,Hinton,Ethan,m,Bears,10,8,9,2025-06-19 08:40:00
978-0-403-00525-3,Robinson,Christina,f,Rangers,9,9,9,2025-08-17 12:20:00
978-0-7108-6328-7,Butler,Angela,f,Rangers,8,9,9,2025-07-04 21:40:00
978-0-19-021432-6,Richards,Richard,m,Meteors,10,7,12,2025-07-01 16:40:00
978-0-09-422138-3,Sanders,Samantha,f,Meteors,6,7,12,2025-06-30 02:20:00
978-1-324-65666-1,Herman,James,m,Rangers,8,11,11,2025-08-13 16:40:00
978-0-16-536350-9,Anderson,Rachel,f,Bears,9,9,7,2025-07-14 01:40:00
978-1-959758-02-0,Duran,April,f,Rangers,7,9,9,2025-06-27 00:00:00
978-0-684-62390-0,Castaneda,Mitchell,m,Meteors,10,8,7,2025-07-27 03:40:00
978-0-87095-262-3,Rogers,Mary,f,Rangers,8,11,9,2025-07-05 16:20:00
978-0-85267-771-1,Mckenzie,David,m,Meteors,9,8,9,2025-08-04 16:00:00
978-0-213-25164-2,Duke,Daniel,m,Meteors,6,9,9,2025-06-09 17:40:00
978-0-337-66134-1,Bright,Alicia,f,Meteors,8,10,10,2025-08-02 11:20:00
978-0-425-17120-2,Perry,Cynthia,f,Meteors,12,7,8,2025-06-05 20:00:00
978-0-383-32504-4,Cochran,Kimberly,f,Bears,8,9,8,2025-06-06 11:40:00
978-0-7688-4136-7,Frazier,Kelly,f,Rangers,7,9,10,2025-08-02 07:00:00
