id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-85677-647-2,Perkins,Taylor,f,Wolves,12,9,8,2025-08-05 13:20:00
978-1-68862-491-7,Perkins,Kelly,f,Wolves,9,9,10,2025-07-15 00:20:00
978-0-608-64648-0,Rivas,Teresa,f,Meteors,9,9,7,2025-08-26 17:40:00
978-0-454-57044-1,Bolton,Alisha,f,Meteors,9,12,7,2025-08-28 02:00:00
978-1-07-220887-7,Bradley,Cassandra,f,Meteors,12,11,7,2025-06-13 12:00:00
978-1-7392780-7-6,Washington,Tricia,f,Stars,9,6,11,2025-08-15 23:40:00
978-1-59471-322-4,Elliott,Christopher,m,Stars,10,12,8,2025-07-13 03:40:00
978-0-8239-5369-1,Beck,Haley,f,Meteors,10,10,8,2025-07-15 19:20:00
978-1-57587-799-0,White,Aaron,m,Wolves,8,9,7,2025-07-30 20:20:00
978-0-926438-92-7,Silva,Joseph,m,Stars,8,12,6,2025-07-27 05:20:00
978-1-55263-401-1,Steele,Kevin,m,Stars,12,9,12,2025-06-22 21:20:00
978-0-9658121-1-5,Cabrera,David,m,Wolves,8,10,8,2025-06-03 02:00:00
978-0-380-71982-2,Rodriguez,Monica,f,Meteors,9,10,9,2025-07-12 18:20:00
978-1-80650-306-3,Farmer,Jennifer,f,Wolves,9,11,8,2025-08-07 00:20:00
978-0-19-474920-6,Jackson,Thomas,m,Stars,10,9,10,2025-07-14 01:00:00
978-1-02-805500-5,Gross,Courtney,f,Stars,10,8,8,2025-07-21 01:20:00
978-0-01-340339-5,Stuart,Melissa,f,Stars,12,7,7,2025-08-03 07:40:00
978-1-76014-449-4,Barron,Bethany,f,Stars,8,7,8,2025-07-13 07:20:00
978-1-185-56232-3,Stevens,Jeffrey,m,Wolves,9,11,9,2025-07-12 07:20:00
978-1-71497-734-5,Williams,Aaron,m,Wolves,11,9,8,2025-06-13 19:40:00
978-1-972580-77-6,Williams,Julie,f,Wolves,6,9,6,2025-06-10 21:40:00
978-0-396-33324-1,Sharp,Sharon,f,Stars,7,6,10,2025-08-21 19:40:00
978-1-4442-8543-7,Fisher,Sharon,f,Meteors,7,9,10,2025-06-17 21:00:00
978-1-894093-34-7,Beltran,Thomas,m,Meteors,9,9,10,2025-07-06 08:40:00
978-0-7138-9547-6,Kim,Heather,f,Stars,11,6,9,2025-07-04 21:20:00
978-1-207-13545-0,Sanders,Andrew,m,Meteors,9,11,7,2025-07-26 21:20:00
978-1-7328656-0-0,Swanson,Jacqueline,f,Meteors,12,9,9,2025-06-16 18:20:00
978-1-84778-485-8,Martinez,Lori,f,Stars,7,9,9,2025-06-21 03:00:00
978-1-85144-441-0,Kramer,Krista,f,Wolves,9,8,7,2025-06-27 16:40:00
978-0-9821343-0-6,Brown,Jasmine,f,Meteors,6,8,12,2025-06-27 04:40:00
978-0-302-34080-6,Beasley,Nicole,f,Meteors,9,9,7,2025-06-16 03:40:00
978-1-885840-04-2,Tran,Kaitlyn,f,Wolves,10,10,9,2025-07-17 05:00:00
978-0-7522-9368-4,Trevino,Cynthia,f,Stars,10,9,11,2025-08-14 10:20:00
978-1-930565-29-6,Schmidt,Kathy,f,Wolves,11,9,10,2025-08-28 05:20:00
978-1-09-952885-9,Reynolds,Dennis,m,Meteors,9,7,6,2025-07-07 16:00:00
978-1-4488-0496-2,Cross,Juan,m,Meteors,11,10,7,2025-08-02 01:20:00
978-0-00-208573-1,Velazquez,Susan,f,Meteors,8,11,7,2025-08-07 15:00:00
978-0-7824-2614-4,Miller,Carol,f,Meteors,8,12,8,2025-08-11 02:00:00
978-0-222-35324-5,Carlson,Amber,f,Meteors,11,9,6,2025-08-01 08:20:00
978-1-79653-424-5,White,Holly,f,Stars,10,7,6,2025-06-17 11:00:00
978-1-916109-63-6,Thompson,Lori,f,Wolves,7,8,9,2025-06-29 00:40:00
978-0-618-72473-4,Hamilton,Cynthia,f,Wolves,6,6,10,2025-07-04 06:40:00
978-0-05-253675-7,Powell,Debra,f,Meteors,9,8,10,2025-07-27 21:40:00
978-0-505-16451-3,Davies,Kristina,f,Stars,6,9,6,2025-06-20 22:20:00
978-1-385-32986-3,Nielsen,Sarah,f,Wolves,11,8,9,2025-06-12 21:20:00
978-0-87205-398-4,Clark,Catherine,f,Stars,8,7,7,2025-08-19 23:20:00
978-0-86389-093-2,Preston,Kristen,f,Meteors,9,10,7,2025-08-29 17:20:00
978-1-83941-922-5,Fisher,Monica,f,Meteors,12,7,12,2025-08-08 12:20:00
978-0-244-89738-3,Mccormick,Lisa,f,Meteors,9,11,8,2025-06-08 11:00:00
978-1-372-71240-1,Larsen,Olivia,f,Stars,9,10,7,2025-06-14 15:20:00
