id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-76400-309-4,Bush,Mary,f,Adventurers,9,11,9,2025-07-02 01:00:00
978-1-209-98943-3,Nolan,Christina,f,Comets,9,12,11,2025-07-21 14:40:00
978-1-168-75151-5,Rush,Nicole,f,Hawks,12,9,7,2025-06-17 13:00:00
978-0-10-723439-3,Clark,Sergio,m,Adventurers,8,9,9,2025-08-24 19:00:00
978-0-904272-89-5,Johnson,Tammy,f,Hawks,8,8,6,2025-07-16 03:00:00
978-0-7895-8746-6,Adams,Jason,m,Comets,8,10,12,2025-07-28 03:20:00
978-0-9589472-1-3,Allen,Clayton,m,Comets,6,7,9,2025-06-30 15:40:00
978-1-258-36284-3,Hatfield,Kevin,m,Adventurers,7,7,11,2025-08-11 08:40:00
978-0-8225-8883-2,Hays,Kelli,f,Comets,7,12,8,2025-08-01 00:00:00
978-1-4864-0006-5,Ward,Stephanie,f,Comets,8,8,11,2025-08-19 11:40:00
978-0-04-954661-5,Flores,Willie,m,Comets,11,8,6,2025-06-01 08:00:00
978-0-11-130887-5,Dixon,Patricia,f,Comets,7,12,8,2025-08-25 13:40:00
978-0-684-31743-4,Mullen,Christina,f,Hawks,6,8,7,2025-06-14 15:20:00
978-0-19-328031-1,Sutton,Stephanie,f,Comets,12,9,10,2025-08-05 12:20:00
978-1-329-26036-8,Lyons,Lawrence,m,Comets,9,7,7,2025-07-24 13:00:00
978-0-7715-7617-1,Anderson,Scott,m,Hawks,9,6,7,2025-06-19 17:00:00
978-1-934979-72-3,Baldwin,Nancy,f,Hawks,9,9,7,2025-08-05 22:00:00
978-1-9860-7041-6,Dunn,Sergio,m,Hawks,7,9,9,2025-06-19 23:20:00
978-1-5362-0172-7,Gardner,Rita,f,Comets,9,10,10,2025-08-05 23:40:00
978-0-02-370278-5,York,Mark,m,Hawks,6,9,9,2025-07-29 13:40:00
978-1-70916-085-1,Harris,Eric,m,Comets,9,8,8,2025-07-31 21:20:00
978-0-06-037135-7,Cannon,Laura,f,Comets,9,7,6,2025-07-10 00:00:00
978-0-7889-9784-6,Gaines,Rodney,m,Comets,11,8,8,2025-07-04 10:20:00
978-0-16-689795-9,Mitchell,Rachel,f,Hawks,9,8,7,2025-07-26 06:20:00
978-0-936851-46-4,West,Richard,m,Adventurers,8,12,9,2025-07-18 13:00:00
978-1-188-02879-6,Fields,Michelle,f,Adventurers,7,7,9,2025-07-07 11:20:00
978-0-203-36823-7,Taylor,Vincent,m,Hawks,9,7,8,2025-08-24 09:00:00
978-0-368-34150-2,Sloan,Samantha,f,Comets,9,11,10,2025-06-28 04:20:00
978-1-05-166763-3,Perez,Carolyn,f,Hawks,9,12,8,2025-08-28 22:00:00
978-0-268-82580-5,Miles,Jerry,m,Comets,6,9,9,2025-06-25 11:00:00
978-1-61830-452-0,Martinez,Ashlee,f,Adventurers,9,10,10,2025-08-04 19:40:00
978-1-114-54718-6,Saunders,Michelle,f,Hawks,7,9,8,2025-06-03 14:00:00
978-0-481-15745-5,Frazier,William,m,Comets,10,9,7,2025-08-15 18:00:00
978-0-8002-0107-4,Ramirez,Emily,f,Comets,9,7,6,2025-07-29 09:00:00
978-0-12-515053-8,King,Thomas,m,Adventurers,12,9,9,2025-07-18 18:00:00
978-1-4032-5205-0,Berg,Amy,f,Hawks,9,7,7,2025-06-03 01:20:00
978-0-03-838466-2,Lucas,Karen,f,Adventurers,11,10,9,2025-07-21 03:40:00
978-1-05-770164-5,Garrison,Jessica,f,Adventurers,9,8,7,2025-06-21 12:00:00
978-0-7998-7942-1,Morales,Michael,m,Adventurers,9,9,12,2025-07-10 23:20:00
978-1-71380-770-4,Jennings,James,m,Comets,9,7,9,2025-06-13 06:00:00
978-1-74182-356-1,Allison,Lori,f,Hawks,7,10,12,2025-08-22 23:00:00
978-0-18-029882-4,Smith,Cesar,m,Hawks,6,9,10,2025-08-20 23:40:00
978-1-60053-476-8,Bailey,Emily,f,Hawks,11,6,10,2025-07-13 09:40:00
978-0-02-216048-7,Pierce,Jeremy,m,Comets,6,10,10,2025-07-24 05:20:00
978-1-75975-052-1,Gonzalez,Paul,m,Comets,8,9,10,2025-07-27 01:40:00
978-1-107-05188-1,Garcia,Christina,f,Adventurers,8,11,7,2025-08-15 12:00:00
978-1-4559-1979-6,Buck,Rebekah,f,Comets,7,6,7,2025-07-27 14:00:00
978-1-274-20195-9,Frank,Sylvia,f,Comets,9,7,9,2025-08-04 20:20:00
978-1-268-21360-9,Mitchell,Peter,m,Hawks,10,7,9,2025-07-30 04:20:00
978-1-924112-88-8,Gardner,Steven,m,Adventurers,9,9,7,2025-06-30 15:20:00
