id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-12-084612-2,White,Kimberly,f,Explorers,7,12,9,2025-06-24 19:00:00
978-1-964618-41-8,Davies,Haley,f,Rangers,7,9,9,2025-08-11 06:00:00
978-0-9923662-1-6,Romero,Eddie,m,Beavers,10,6,6,2025-07-07 20:40:00
978-1-60342-990-0,Odom,Stephanie,f,Beavers,8,10,10,2025-06-09 14:20:00
978-1-152-02424-3,Hayes,Misty,f,Rangers,7,8,9,2025-06-27 07:40:00
978-0-559-00554-1,Holder,Megan,f,Rangers,9,7,12,2025-06-01 09:00:00
978-0-16-591536-4,Jackson,Billy,m,Beavers,12,7,11,2025-08-26 23:20:00
978-0-351-95706-2,Oliver,Mark,m,Beavers,12,8,10,2025-06-30 20:00:00
978-0-624-72072-0,Collins,Rachel,f,Explorers,10,9,10,2025-07-02 17:40:00
978-0-417-77303-2,Potter,Hannah,f,Rangers,12,9,9,2025-08-09 16:20:00
978-1-151-08653-2,Brown,Jessica,f,Rangers,9,8,8,2025-07-22 02:20:00
978-1-166-43970-5,Marquez,Megan,f,Explorers,8,8,9,2025-06-22 08:20:00
978-1-927181-94-2,Young,Jacob,m,Rangers,6,7,9,2025-06-11 00:20:00
978-1-182-04718-2,Norris,Gabriela,f,Explorers,6,9,12,2025-07-03 01:20:00
978-0-421-59768-6,Shah,Kathy,f,Rangers,9,8,8,2025-07-11 03:20:00
978-1-153-81805-6,Cruz,Jordan,m,Beavers,7,8,8,2025-07-08 02:20:00
978-0-623-28795-8,Newman,Robert,m,Explorers,7,6,8,2025-07-28 16:00:00
978-0-355-21359-1,Stone,Christina,f,Explorers,12,8,9,2025-06-24 05:20:00
978-0-9839071-9-0,Fischer,Christina,f,Rangers,12,6,6,2025-07-28 07:00:00
978-0-260-20097-6,Martinez,Steven,m,Explorers,9,9,9,2025-08-28 17:20:00
978-1-86954-027-2,Huff,Connie,f,Rangers,9,8,7,2025-06-14 18:40:00
978-1-77371-914-6,Chapman,Maria,f,Explorers,7,10,11,2025-08-14 22:00:00
978-1-4547-2468-1,Galvan,Sharon,f,Explorers,10,9,8,2025-07-16 18:00:00
978-0-606-88865-3,Cohen,Patrick,m,Rangers,7,7,9,2025-06-29 04:40:00
978-0-12-297083-2,Edwards,Amy,f,Beavers,7,8,8,2025-06-03 20:20:00
978-0-02-831416-7,Garcia,Craig,m,Beavers,9,7,12,2025-06-04 16:00:00
978-0-615-45561-7,Johnson,Donna,f,Rangers,6,11,9,2025-07-18 15:00:00
978-0-14-553193-5,Sanchez,Caitlin,f,Explorers,8,10,8,2025-08-23 19:00:00
978-0-378-66232-1,Anderson,Lindsey,f,Explorers,12,10,9,2025-06-26 20:00:00
978-0-10-282750-7,Day,Nicholas,m,Beavers,11,12,11,2025-08-29 17:20:00
978-0-8275-4017-0,Hodges,Olivia,f,Rangers,9,9,10,2025-07-15 14:20:00
978-0-942693-73-7,Douglas,Crystal,f,Explorers,9,10,11,2025-06-03 00:20:00
978-1-4264-4653-5,Alvarez,Elaine,f,Rangers,12,8,9,2025-07-21 03:40:00
978-1-178-79448-9,Dalton,Judy,f,Explorers,9,7,8,2025-08-27 10:00:00
978-0-00-984682-3,Franklin,Christian,m,Explorers,6,12,9,2025-06-19 13:40:00
978-0-372-94166-8,Edwards,Kayla,f,Explorers,7,9,8,2025-08-08 23:20:00
978-1-4338-1326-9,Williams,Nicole,f,Rangers,9,10,11,2025-07-23 06:40:00
978-0-9925868-9-8,Miller,Christine,f,Rangers,6,10,12,2025-06-22 18:20:00
978-0-13-118190-8,Hurst,Melissa,f,Rangers,7,12,10,2025-08-15 02:20:00
978-0-238-97213-3,Rivera,Jennifer,f,Rangers,9,9,9,2025-07-13 09:00:00
978-1-7353774-7-6,Cortez,Michael,m,Explorers,8,12,8,2025-07-15 19:20:00
978-1-00-756938-7,Johnson,Danielle,f,Rangers,11,7,12,2025-06-06 03:00:00
978-1-997478-05-8,Brock,Travis,m,Rangers,9,12,9,2025-06-17 21:20:00
978-1-106-60701-0,Fisher,Beth,f,Explorers,7,9,8,2025-08-25 23:40:00
978-0-226-56345-9,Roberson,Latoya,f,Rangers,9,9,12,2025-06-17 13:20:00
978-1-126-46940-7,Ramirez,Christopher,m,Explorers,10,7,8,2025-08-05 07:40:00
978-1-08-126479-6,Brown,James,m,Rangers,10,8,10,2025-06-19 04:40:00
978-0-301-50465-0,Richards,Robin,f,Beavers,10,12,10,2025-07-10 11:00:00
978-1-205-22640-2,Kemp,Shari,f,Beavers,10,10,8,2025-06-11 11:00:00
978-1-74810-396-3,White,Sean,m,Beavers,12,9,11,2025-07-12 15:20:00
