id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-60199-105-8,Garcia,Jessica,f,Eagles,8,7,6,2025-06-04 17:20:00
978-0-315-18059-8,Ball,Rachel,f,Hawks,8,9,9,2025-07-18 03:40:00
978-0-542-21436-3,Griffin,Thomas,m,Hawks,6,11,9,2025-07-27 09:20:00
978-0-7948-1000-9,Rush,Rachel,f,Eagles,11,7,9,2025-08-26 12:00:00
978-1-262-53597-4,Moore,Stephen,m,Stars,11,9,10,2025-07-15 14:40:00
978-0-694-12518-0,Higgins,Donna,f,Stars,7,9,10,2025-08-19 21:00:00
978-0-667-53965-5,Martinez,Terri,f,Stars,11,9,9,2025-06-01 01:00:00
978-1-122-94628-5,Matthews,Gregory,m,Hawks,10,9,10,2025-06-02 15:40:00
978-0-07-159002-0,Castro,Shaun,m,Eagles,8,10,6,2025-07-21 22:40:00
978-1-70500-616-0,Hess,Annette,f,Hawks,7,9,10,2025-07-18 19:40:00
978-1-213-08504-6,Whitehead,Richard,m,Eagles,7,9,9,2025-08-30 03:40:00
978-0-03-729364-4,Brock,Summer,f,Hawks,8,9,10,2025-08-17 13:40:00
978-0-686-92568-2,Brown,Linda,f,Hawks,7,7,10,2025-07-02 11:40:00
978-0-7837-3610-5,Ramsey,Kim,f,Eagles,8,11,7,2025-08-11 02:20:00
978-0-7088-3861-7,Humphrey,Kristin,f,Hawks,7,10,7,2025-06-03 00:40:00
978-1-4516-8173-4,Fletcher,Caleb,m,Eagles,8,7,11,2025-08-13 09:00:00
978-1-59832-922-3,Hall,Laurie,f,Eagles,9,8,10,2025-07-17 06:00:00
978-0-502-92844-6,White,Nicole,f,Stars,8,12,10,2025-06-15 14:20:00
978-0-08-784723-1,Moody,Emily,f,Hawks,8,6,9,2025-08-28 05:00:00
978-1-9858-0715-0,Glass,Keith,m,Stars,7,9,12,2025-06-10 01:00:00
978-1-4361-1702-9,Haley,Christy,f,Eagles,11,9,7,2025-06-02 23:00:00
978-0-8435-7584-2,Montoya,Jessica,f,Hawks,9,12,7,2025-08-07 01:00:00
978-0-7126-0733-9,Prince,Beth,f,Eagles,10,10,12,2025-08-02 09:40:00
978-0-379-17963-7,Koch,Amanda,f,Eagles,10,10,8,2025-08-19 23:40:00
978-1-05-047677-9,Garcia,Justin,m,Hawks,10,7,7,2025-07-26 13:00:00
978-0-944724-88-0,Brewer,Mary,f,Stars,7,8,8,2025-07-30 15:00:00
978-1-964016-36-8,Young,Matthew,m,Hawks,6,11,9,2025-07-10 17:00:00
978-1-238-55639-2,Evans,Ashley,f,Eagles,11,11,7,2025-07-15 15:20:00
978-1-61714-936-8,Reed,Cameron,m,Hawks,10,9,10,2025-08-22 11:40:00
978-1-81828-006-8,Luna,Megan,f,Hawks,7,8,11,2025-08-06 01:40:00
978-1-00-213897-7,Snyder,Joseph,m,Hawks,11,10,8,2025-06-25 06:00:00
978-1-70827-468-9,Hicks,Larry,m,Eagles,8,9,9,2025-06-15 23:00:00
978-1-209-03442-3,Mora,Philip,m,Eagles,11,8,6,2025-07-24 15:40:00
978-0-672-73246-1,Compton,Kathryn,f,Stars,7,6,9,2025-06-05 15:00:00
978-0-08-069941-7,Meyers,Frank,m,Stars,9,9,8,2025-06-28 10:00:00
978-1-247-08574-6,Burke,Anthony,m,Stars,9,9,10,2025-06-01 09:00:00
978-1-299-04211-7,Smith,Brittney,f,Hawks,12,10,11,2025-06-18 15:00:00
978-1-151-32233-3,Sanchez,Kimberly,f,Stars,7,9,9,2025-07-09 09:20:00
978-1-79809-842-4,Miller,Mary,f,Hawks,6,7,7,2025-06-11 06:40:00
978-0-7307-8527-9,Morgan,Eileen,f,Eagles,8,11,11,2025-07-23 18:20:00
978-0-441-39084-7,Golden,James,m,Eagles,11,10,9,2025-06-09 00:00:00
978-0-9834990-5-3,Vazquez,Albert,m,Eagles,9,8,8,2025-08-25 19:00:00
978-0-503-20122-7,Lamb,Michael,m,Stars,8,11,9,2025-06-03 00:40:00
978-0-489-02217-5,Jones,Dylan,m,Eagles,9,10,8,2025-08-27 15:20:00
978-1-331-31668-8,Douglas,William,m,Eagles,9,9,7,2025-07-12 09:00:00
978-0-7863-1991-6,Alexander,Jose,m,Eagles,11,11,9,2025-07-22 08:00:00
978-0-422-64348-1,Wilson,Michael,m,Stars,7,7,7,2025-06-05 01:40:00
978-0-487-12041-5,Miller,Andrea,f,Stars,9,10,8,2025-06-06 12:20:00
978-1-942803-61-4,Garcia,Lisa,f,Stars,7,9,6,2025-07-08 15:00:00
978-1-64636-240-0,Hicks,Nicholas,m,Eagles,10,9,9,2025-08-02 10:40:00
