id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-89356-695-1,Gardner,Angela,f,Adventurers,10,10,9,2025-06-12 05:20:00
978-1-162-79481-5,Shah,Elizabeth,f,Meteors,7,10,7,2025-08-20 08:40:00
978-0-582-17003-2,Bailey,David,m,Otters,12,12,12,2025-06-28 13:20:00
978-1-248-37368-2,Jefferson,Carly,f,Adventurers,8,9,12,2025-06-24 08:40:00
978-1-08-914713-8,Ramos,Taylor,f,Meteors,7,7,9,2025-06-06 18:40:00
978-0-7159-9529-7,Roberson,Meagan,f,Meteors,9,8,9,2025-08-30 05:40:00
978-1-174-76526-1,Baldwin,Darlene,f,Otters,11,8,10,2025-07-15 15:20:00
978-1-82890-402-2,Davis,Shannon,f,Meteors,8,9,7,2025-06-13 21:40:00
978-1-323-56735-7,Davis,Jasmin,f,Otters,8,6,11,2025-07-20 13:00:00
978-0-85612-753-3,Johnston,Curtis,m,Meteors,8,8,9,2025-07-18 02:40:00
978-0-406-99289-5,Osborn,Carrie,f,Meteors,10,9,11,2025-06-17 11:20:00
978-0-9590592-0-5,Adams,Lori,f,Otters,9,10,9,2025-07-10 16:20:00
978-1-376-03824-8,Taylor,Angela,f,Otters,11,9,8,2025-08-07 03:00:00
978-0-500-34106-3,Powell,Randy,m,Adventurers,9,7,9,2025-08-21 11:00:00
978-1-151-43623-8,Preston,Amanda,f,Meteors,8,9,7,2025-08-22 10:40:00
978-0-8179-7658-3,Taylor,Alexa,f,Otters,9,7,10,2025-06-05 04:20:00
978-0-688-61870-4,Vasquez,Katie,f,Otters,10,11,8,2025-07-19 04:20:00
978-0-7557-6200-2,Sanders,Robert,m,Meteors,12,10,12,2025-07-21 07:40:00
978-0-206-08409-7,Brown,Andrew,m,Otters,8,10,10,2025-08-29 09:40:00
978-0-400-62037-4,Gonzales,Pamela,f,Meteors,7,8,9,2025-08-20 20:20:00
978-0-87625-678-7,Sanchez,Danielle,f,Adventurers,9,8,12,2025-06-03 10:20:00
978-1-916995-04-8,Bradley,Sara,f,Otters,9,9,8,2025-06-16 12:40:00
978-1-348-32035-7,Jones,Ronnie,m,Adventurers,9,9,11,2025-06-06 22:20:00
978-0-7449-9460-5,Nelson,Kimberly,f,Otters,11,8,7,2025-07-28 19:00:00
978-1-377-07090-2,Jones,Judy,f,Adventurers,6,7,9,2025-08-14 18:00:00
978-0-08-133303-7,Smith,Sheila,f,Otters,8,7,8,2025-07-21 11:40:00
978-0-491-71621-5,Norman,Suzanne,f,Adventurers,8,9,9,2025-06-10 03:00:00
978-0-620-53479-6,Kramer,Elizabeth,f,Meteors,7,12,9,2025-06-28 13:40:00
978-0-584-44323-3,Estes,Holly,f,Otters,8,9,7,2025-08-12 11:40:00
978-0-938222-69-9,Cunningham,Julia,f,Meteors,12,9,7,2025-08-08 07:40:00
978-1-75109-766-2,Perry,Sabrina,f,Meteors,7,9,10,2025-06-24 07:00:00
978-1-378-15484-7,Smith,Joseph,m,Meteors,12,12,8,2025-06-07 20:40:00
978-0-407-58532-4,Mason,Sara,f,Meteors,6,9,7,2025-07-07 02:00:00
978-0-490-91609-8,Roberts,Kelly,f,Meteors,12,10,8,2025-06-21 01:40:00
978-1-4543-9330-6,Aguirre,David,m,Adventurers,10,6,7,2025-07-28 09:00:00
978-1-176-82874-2,Campbell,Stephanie,f,Meteors,7,12,9,2025-06-16 00:40:00
978-0-03-922188-1,Davis,Howard,m,Otters,9,7,9,2025-06-18 11:00:00
978-1-74765-060-4,Dixon,Michael,m,Meteors,12,10,10,2025-06-03 04:40:00
978-0-237-98183-9,Thomas,Amy,f,Adventurers,7,12,9,2025-08-03 20:40:00
978-1-61739-335-8,Montoya,Dawn,f,Otters,6,10,9,2025-06-11 04:40:00
978-1-209-37324-9,Foley,Mark,m,Meteors,7,6,6,2025-07-23 21:20:00
978-1-57561-231-7,Kline,Brenda,f,Otters,8,9,9,2025-07-08 13:40:00
978-0-942752-20-5,Bradley,Catherine,f,Meteors,6,12,9,2025-06-15 22:40:00
978-0-10-726698-1,Weber,Monica,f,Meteors,7,7,7,2025-07-09 06:40:00
978-1-305-26522-6,Estrada,Lori,f,Meteors,12,8,9,2025-06-09 20:20:00
978-0-449-39381-9,Nguyen,Jason,m,Adventurers,7,7,7,2025-08-21 20:00:00
978-0-579-45947-8,Preston,Nancy,f,Adventurers,11,10,12,2025-06-29 11:40:00
978-0-421-62148-0,Hernandez,Ricky,m,Otters,8,9,12,2025-07-08 11:00:00
978-0-487-38983-6,Lopez,Julia,f,Adventurers,10,11,8,2025-07-25 15:40:00
978-0-469-93297-5,Mason,Joseph,m,Meteors,7,7,12,2025-06-09 02:00:00
