id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-650-39171-0,Mccormick,Daniel,m,Meteors,10,12,6,2025-06-07 06:20:00
978-0-924240-88-1,Johnston,Charles,m,Meteors,8,9,8,2025-06-21 00:20:00
978-1-86716-726-6,Coffey,Jason,m,Meteors,7,10,6,2025-07-06 06:20:00
978-1-81321-692-5,Johnson,Jessica,f,Adventurers,7,7,9,2025-06-26 19:40:00
978-0-16-336161-3,Meyer,John,m,Adventurers,12,6,9,2025-07-31 02:40:00
978-1-69865-607-6,Garcia,Angela,f,Wolves,9,12,10,2025-08-05 14:20:00
978-1-172-98019-2,King,Jacqueline,f,Meteors,10,6,7,2025-07-16 15:20:00
978-0-7896-9275-7,Brown,David,m,Wolves,10,7,12,2025-07-01 15:40:00
978-1-871037-71-5,Taylor,Eric,m,Wolves,8,10,6,2025-06-30 08:20:00
978-0-8001-4355-8,Walker,David,m,Wolves,10,10,12,2025-06-30 23:20:00
978-0-15-716238-7,Avila,James,m,Meteors,10,12,12,2025-06-06 19:20:00
978-0-7319-8652-1,Hester,Bianca,f,Meteors,12,8,12,2025-06-22 02:40:00
978-0-8294-6292-0,Martinez,Yolanda,f,Meteors,9,11,12,2025-06-17 09:20:00
978-1-76405-707-3,Lawrence,James,m,Meteors,9,9,9,2025-07-12 19:20:00
978-0-447-57547-7,Wu,Jean,f,Adventurers,9,11,9,2025-07-13 01:00:00
978-0-89367-614-8,Graham,John,m,Wolves,11,9,7,2025-06-20 14:40:00
978-1-4799-5436-0,Parker,Andrew,m,Meteors,6,10,7,2025-07-14 16:00:00
978-0-314-92244-1,Bennett,Daniel,m,Adventurers,9,6,9,2025-07-06 20:00:00
978-0-9816345-5-5,Hull,Matthew,m,Wolves,7,7,9,2025-06-21 14:40:00
978-0-09-582160-5,Sutton,Nicole,f,Wolves,9,8,8,2025-06-19 21:20:00
978-1-904699-58-3,Bradshaw,Blake,m,Adventurers,7,8,10,2025-06-17 15:20:00
978-1-922441-30-0,Lowery,Chad,m,Meteors,6,12,8,2025-08-08 07:40:00
978-0-15-515214-4,Williamson,Nancy,f,Meteors,9,9,8,2025-08-04 20:40:00
978-0-19-608278-3,Valentine,Jessica,f,Adventurers,10,12,12,2025-08-22 10:20:00
978-1-870610-51-3,Moore,Elizabeth,f,Wolves,7,11,10,2025-07-16 01:20:00
978-1-312-80561-3,Robinson,Steven,m,Adventurers,6,7,7,2025-07-13 14:40:00
978-1-61123-563-0,Anderson,Michael,m,Wolves,9,8,12,2025-06-18 21:20:00
978-1-4903-9771-9,Perez,Benjamin,m,Wolves,9,7,7,2025-08-18 16:20:00
978-0-7167-6060-3,Collins,Brittany,f,Adventurers,6,9,8,2025-06-20 06:00:00
978-0-7949-3206-0,Smith,James,m,Adventurers,8,8,11,2025-06-30 12:20:00
978-1-75958-164-4,Morgan,Robert,m,Wolves,7,8,9,2025-07-19 09:40:00
978-0-672-68732-7,Bernard,Francisco,m,Adventurers,8,7,12,2025-07-22 15:00:00
978-0-7021-3552-1,Stephens,Robert,m,Adventurers,8,12,10,2025-08-11 03:20:00
978-0-07-071722-0,Williams,Shannon,f,Wolves,8,7,10,2025-08-08 00:00:00
978-1-392-12934-0,Taylor,Shelby,f,Adventurers,7,7,9,2025-06-17 22:00:00
978-0-661-71286-3,Ford,Sylvia,f,Adventurers,10,12,8,2025-07-01 09:00:00
978-1-146-44419-4,Knight,Andrea,f,Wolves,12,9,12,2025-06-16 12:40:00
978-1-77220-620-3,Ball,Alexandra,f,Adventurers,9,7,7,2025-07-18 03:20:00
978-0-416-02454-8,Andersen,Paul,m,Meteors,10,10,7,2025-07-18 19:40:00
978-0-466-58733-8,Roy,Virginia,f,Adventurers,9,10,10,2025-07-14 02:40:00
978-0-450-21743-2,Burnett,Richard,m,Wolves,11,8,11,2025-06-02 11:20:00
978-0-7792-0702-2,Weaver,Tara,f,Wolves,9,12,9,2025-07-16 14:00:00
978-1-230-76928-8,Jones,Lauren,f,Wolves,8,10,8,2025-07-11 08:40:00
978-0-344-25908-1,Bolton,Justin,m,Wolves,9,6,7,2025-08-11 08:20:00
978-0-13-415721-4,Henderson,Jean,f,Adventurers,9,7,11,2025-08-29 03:20:00
978-1-56513-246-7,Henry,Timothy,m,Meteors,8,8,8,2025-08-12 13:40:00
978-0-88492-882-9,Estrada,Peter,m,Meteors,6,8,11,2025-07-11 22:40:00
978-0-85566-650-7,Gutierrez,Elizabeth,f,Wolves,10,10,10,2025-07-04 09:20:00
978-1-881433-16-3,Moore,Laura,f,Wolves,10,10,10,2025-08-20 07:00:00
978-0-448-51674-5,Bryant,Michael,m,Wolves,9,8,8,2025-08-29 16:00:00
