id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-4696-6022-6,Paul,Nicole,f,Hawks,9,7,10,2025-07-22 10:00:00
978-0-06-765836-9,Haas,Lisa,f,Explorers,9,11,6,2025-07-30 03:00:00
978-1-352-73058-6,Rogers,Amanda,f,Hawks,7,9,10,2025-06-09 16:00:00
978-0-511-15671-7,Roth,Kevin,m,Hawks,10,7,6,2025-06-21 15:40:00
978-0-02-896780-6,Stanley,Jennifer,f,Explorers,6,11,8,2025-06-21 02:20:00
978-1-264-44829-6,Reynolds,Darlene,f,Eagles,9,8,8,2025-07-21 08:40:00
978-0-19-029562-2,Holt,Sarah,f,Hawks,8,10,8,2025-08-19 18:20:00
978-0-922795-38-3,Mcmillan,Heather,f,Explorers,9,12,9,2025-07-19 15:40:00
978-1-150-68140-0,Maldonado,Maria,f,Eagles,7,12,10,2025-06-10 04:20:00
978-1-08-576334-9,Goodman,Patricia,f,Eagles,10,7,9,2025-06-09 16:00:00
978-0-02-182717-6,Edwards,Daniel,m,Hawks,9,10,9,2025-06-27 21:00:00
978-0-353-39575-6,Murphy,Amber,f,Hawks,8,7,9,2025-08-14 07:40:00
978-0-7946-5055-1,Barton,Matthew,m,Eagles,12,8,9,2025-08-08 12:00:00
978-0-434-10136-8,Brown,Tamara,f,Eagles,8,11,9,2025-08-28 06:40:00
978-0-688-65006-3,Mcclure,Kenneth,m,Explorers,7,9,9,2025-07-11 18:20:00
978-0-15-798771-3,Martin,Monica,f,Explorers,10,8,10,2025-08-15 08:40:00
978-0-7059-4551-6,Smith,William,m,Explorers,12,7,9,2025-06-16 03:40:00
978-1-336-68682-3,Mcgrath,Maria,f,Explorers,6,7,10,2025-07-08 05:00:00
978-1-76019-477-2,Moore,Kristin,f,Eagles,10,7,12,2025-07-28 14:20:00
978-0-472-31507-9,Walters,Lori,f,Explorers,10,8,9,2025-08-20 09:00:00
978-1-9780-3048-0,Kent,Priscilla,f,Hawks,11,7,8,2025-08-26 08:00:00
978-1-103-78291-8,Melendez,Gabriella,f,Eagles,8,6,11,2025-07-24 23:20:00
978-0-521-28960-3,Willis,Christina,f,Hawks,9,12,9,2025-06-26 08:20:00
978-1-65019-608-4,Butler,Erika,f,Eagles,9,6,8,2025-07-09 00:20:00
978-1-07-312213-4,Murphy,Tammy,f,Eagles,10,9,9,2025-08-20 04:20:00
978-0-386-93057-3,Weber,Melissa,f,Hawks,8,8,7,2025-06-14 21:00:00
978-1-60031-826-9,Jones,Kayla,f,Hawks,8,8,10,2025-08-04 05:00:00
978-0-687-09573-5,Tate,Patricia,f,Eagles,7,7,7,2025-07-06 06:20:00
978-0-670-95875-7,Tran,Steven,m,Eagles,8,10,9,2025-06-22 14:40:00
978-1-281-45737-0,Pugh,Jacqueline,f,Eagles,10,9,12,2025-07-30 04:40:00
978-1-81826-259-0,Hicks,Diane,f,Eagles,9,9,12,2025-06-30 04:40:00
978-0-16-917022-6,Fletcher,Christopher,m,Hawks,6,10,10,2025-07-25 22:20:00
978-1-56775-504-6,Butler,Robert,m,Explorers,7,7,9,2025-07-22 20:20:00
978-0-01-491282-7,Huerta,Victoria,f,Explorers,10,6,6,2025-08-24 11:20:00
978-0-627-66945-3,Banks,Jacob,m,Explorers,8,8,9,2025-06-17 21:00:00
978-1-55716-694-4,Jordan,Tonya,f,Eagles,7,7,7,2025-06-10 10:20:00
978-0-297-51629-3,Wagner,Jessica,f,Hawks,7,7,8,2025-07-16 23:20:00
978-1-00-385513-2,Anderson,Ronnie,m,Hawks,10,9,7,2025-06-24 03:40:00
978-1-76279-744-5,Solomon,Erika,f,Eagles,11,8,7,2025-08-22 09:20:00
978-1-251-73855-3,Alvarado,David,m,Hawks,9,8,9,2025-08-21 12:40:00
978-1-86285-360-7,Wu,Kendra,f,Eagles,6,9,8,2025-07-09 10:00:00
978-0-464-97056-9,Thomas,Danielle,f,Explorers,9,9,7,2025-07-13 16:00:00
978-1-4838-7259-9,Lawrence,Margaret,f,Explorers,10,12,9,2025-06-21 03:40:00
978-0-368-25225-9,Berg,Ruth,f,Eagles,9,9,7,2025-07-03 00:00:00
978-1-318-36810-5,Molina,Crystal,f,Eagles,9,10,7,2025-07-19 16:00:00
978-0-8345-3125-3,Scott,Damon,m,Eagles,6,9,10,2025-06-25 19:40:00
978-1-376-75647-0,Clay,Miguel,m,Explorers,8,11,8,2025-07-23 08:40:00
978-0-545-41485-2,Mata,Courtney,f,Explorers,9,7,7,2025-07-15 04:00:00
978-0-297-51604-0,Brown,Cynthia,f,Explorers,9,7,6,2025-08-08 09:00:00
978-0-7762-2106-9,White,Jennifer,f,Explorers,8,8,8,2025-07-18 15:20:00
