id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-609-14687-3,Jordan,Robert,m,Wolves,8,9,6,2025-07-13 12:40:00
978-0-85313-772-6,Lee,Michael,m,Bears,12,8,9,2025-06-10 09:00:00
978-1-77890-571-1,Roy,Laura,f,Wolves,9,7,11,2025-08-02 00:20:00
978-1-398-06308-2,Chandler,Joseph,m,Wolves,7,9,8,2025-06-01 12:20:00
978-1-81930-471-8,Martinez,Justin,m,Meteors,7,9,6,2025-08-15 19:00:00
978-1-55376-236-2,Sims,Shawn,m,Bears,9,9,9,2025-06-07 14:20:00
978-0-662-16677-1,Mccall,Craig,m,Meteors,10,7,7,2025-08-30 22:20:00
978-1-66307-533-8,Lopez,Clifford,m,Wolves,6,11,12,2025-08-22 02:20:00
978-0-446-91521-2,Henry,John,m,Wolves,9,9,9,2025-08-29 21:00:00
978-1-290-51227-5,Foster,Sandra,f,Meteors,12,6,7,2025-06-26 13:00:00
978-1-69852-790-1,Chambers,Kayla,f,Meteors,7,12,11,2025-07-11 11:00:00
978-0-579-96152-0,Harris,Walter,m,Bears,9,8,9,2025-07-13 21:00:00
978-0-9600199-6-0,Anderson,Stephanie,f,Meteors,10,9,9,2025-08-24 01:20:00
978-1-77323-106-8,Nguyen,Henry,m,Meteors,9,11,12,2025-07-20 12:20:00
978-0-9541695-6-5,Gregory,Timothy,m,Wolves,9,8,10,2025-06-30 09:00:00
978-1-5301-6399-1,Goodwin,Sarah,f,Bears,6,11,7,2025-06-21 21:40:00
978-1-4482-7486-4,Vasquez,Bradley,m,Bears,9,10,10,2025-08-25 09:00:00
978-0-355-60292-0,Andrews,John,m,Bears,8,10,8,2025-07-21 14:40:00
978-0-17-679519-1,Fuentes,Dennis,m,Meteors,12,9,12,2025-07-05 18:00:00
978-0-393-78969-0,Warren,Amanda,f,Meteors,11,6,9,2025-06-20 00:40:00
978-1-4961-9137-3,Hanson,William,m,Wolves,9,11,8,2025-08-08 06:00:00
978-1-4300-2784-3,Schultz,Jason,m,Meteors,8,8,10,2025-06-29 20:20:00
978-0-641-33686-7,Hunter,Natasha,f,Bears,9,6,8,2025-08-12 22:20:00
978-1-85054-631-3,Simmons,Spencer,m,Meteors,9,12,10,2025-07-20 22:40:00
978-1-224-28740-8,Bailey,Patrick,m,Wolves,8,7,8,2025-08-10 08:40:00
978-0-471-09546-0,Vaughan,Alexandria,f,Wolves,7,7,6,2025-08-13 02:40:00
978-0-410-15735-8,Barr,Darrell,m,Meteors,6,11,9,2025-06-11 02:00:00
978-1-5065-9976-2,Larson,Brenda,f,Wolves,9,8,7,2025-07-26 02:00:00
978-1-80895-345-3,Murphy,Terri,f,Wolves,10,8,7,2025-06-11 10:40:00
978-0-7609-7634-0,Johnson,Zachary,m,Meteors,9,8,12,2025-07-22 14:20:00
978-1-05-433568-3,Perez,Malik,m,Wolves,7,8,8,2025-08-20 11:40:00
978-0-367-87850-4,Ortiz,Sarah,f,Wolves,9,6,7,2025-08-26 01:40:00
978-0-634-31916-7,Hooper,Todd,m,Wolves,10,9,7,2025-08-16 18:40:00
978-0-620-30534-1,Liu,Peggy,f,Meteors,10,6,7,2025-08-02 18:40:00
978-1-930498-23-5,Murphy,Brad,m,Wolves,9,8,12,2025-08-12 21:00:00
978-0-289-39001-6,Frazier,James,m,Bears,9,11,6,2025-08-03 02:00:00
978-1-73190-626-7,Walsh,Travis,m,Bears,9,10,7,2025-07-29 12:00:00
978-1-02-073927-9,Hill,Sheila,f,Bears,9,8,10,2025-07-21 08:00:00
978-0-688-64219-8,Miles,Jerry,m,Wolves,11,11,8,2025-06-18 09:20:00
978-1-271-69792-2,Molina,Chad,m,Bears,9,9,8,2025-08-20 15:20:00
978-1-84931-029-1,Marshall,Donald,m,Bears,8,6,12,2025-08-17 04:20:00
978-0-7026-2671-5,Garner,Richard,m,Bears,10,8,8,2025-06-04 16:40:00
978-0-682-18838-8,James,Brian,m,Meteors,10,7,9,2025-08-19 02:20:00
978-0-03-658111-7,Scott,Jesse,m,Meteors,9,12,12,2025-06-11 11:40:00
978-0-01-073943-5,Smith,Jacob,m,Bears,10,8,11,2025-07-26 07:00:00
978-1-926341-71-2,Cox,Hannah,f,Bears,9,9,10,2025-08-01 23:40:00
978-1-06-064139-6,Cox,Christopher,m,Meteors,10,6,11,2025-07-19 01:00:00
978-0-03-808337-4,Dunn,Michael,m,Bears,9,8,8,2025-08-26 13:20:00
978-0-7786-3343-3,Martinez,Briana,f,Meteors,9,11,10,2025-06-17 19:20:00
978-0-588-49488-0,Trujillo,David,m,Bears,8,10,6,2025-07-03 18:40:00
