id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-254-63849-2,Blankenship,Victoria,f,Wolves,9,9,6,2025-07-19 06:20:00
978-1-959822-15-8,Howard,Kayla,f,Wolves,9,7,12,2025-07-05 08:00:00
978-0-01-747075-1,Perez,Joseph,m,Pathfinders,9,6,8,2025-07-30 19:20:00
978-0-371-93117-2,Anderson,Terri,f,Wolves,9,7,8,2025-06-20 04:00:00
978-0-08-456797-2,Chan,Christine,f,Wolves,9,8,10,2025-08-19 23:20:00
978-0-9691836-0-0,Calderon,Michele,f,Rangers,7,7,10,2025-08-28 11:00:00
978-0-210-69648-4,Perez,Denise,f,Pathfinders,7,9,10,2025-07-01 23:20:00
978-0-87466-389-1,Hoffman,Mike,m,Rangers,11,6,9,2025-08-29 15:00:00
978-0-01-633005-6,Williams,Lauren,f,Rangers,11,8,9,2025-08-20 16:00:00
978-0-09-011375-0,Butler,Terry,m,Rangers,7,6,9,2025-08-30 16:20:00
978-0-01-798815-7,Frank,Kevin,m,Wolves,9,11,9,2025-06-04 04:40:00
978-0-202-21286-9,Phillips,Rachel,f,Rangers,9,9,9,2025-07-02 22:00:00
978-0-06-209304-2,Chavez,Jennifer,f,Pathfinders,8,12,9,2025-06-08 12:20:00
978-0-230-69444-6,Lane,Alexandra,f,Wolves,8,8,8,2025-08-29 14:00:00
978-0-519-46641-2,Clark,Mary,f,Wolves,6,10,9,2025-06-29 17:40:00
978-0-548-23306-1,Abbott,Brandon,m,Wolves,8,9,6,2025-07-02 19:00:00
978-1-922288-03-5,Bradley,Lori,f,Rangers,6,11,8,2025-06-06 05:00:00
978-1-392-56318-2,Mitchell,Jennifer,f,Wolves,11,7,9,2025-06-26 02:20:00
978-0-09-415948-8,Short,Lindsay,f,Wolves,9,10,10,2025-06-06 15:20:00
978-1-889495-11-8,Liu,April,f,Wolves,8,6,7,2025-06-01 00:00:00
978-1-382-80653-4,Smith,Angelica,f,Wolves,10,12,7,2025-08-03 02:40:00
978-1-291-25826-4,Ross,Danielle,f,Wolves,10,9,10,2025-07-02 14:20:00
978-1-80827-434-3,Ramirez,Kelly,f,Wolves,9,11,11,2025-08-12 14:00:00
978-0-09-953421-1,Kim,Courtney,f,Pathfinders,10,9,7,2025-07-29 01:00:00
978-1-01-195748-4,Jackson,Vincent,m,Wolves,9,10,7,2025-08-27 13:40:00
978-1-77338-051-3,Wong,Kara,f,Wolves,10,7,9,2025-07-14 01:00:00
978-1-68082-789-7,Harrington,Misty,f,Wolves,11,10,9,2025-07-29 06:20:00
978-1-4147-3056-1,Branch,Paul,m,Pathfinders,12,11,11,2025-07-26 06:40:00
978-0-17-709258-9,Richards,Ashley,f,Rangers,8,10,9,2025-07-26 02:40:00
978-1-966299-39-4,Lucas,Steven,m,Pathfinders,9,8,7,2025-08-09 03:40:00
978-0-545-88568-3,Ingram,Anthony,m,Pathfinders,10,6,8,2025-08-04 16:20:00
978-0-456-44484-9,Williams,Warren,m,Rangers,8,7,11,2025-08-18 12:20:00
978-0-88359-148-2,Coleman,Kaitlyn,f,Rangers,11,8,10,2025-08-05 17:20:00
978-1-05-807212-6,Lee,Crystal,f,Rangers,11,9,7,2025-07-10 00:00:00
978-0-9580729-4-6,Buchanan,Erin,f,Rangers,7,7,9,2025-06-09 19:00:00
978-0-513-64544-8,Ellis,Karen,f,Rangers,6,10,10,2025-07-23 21:20:00
978-0-85019-381-7,Odom,Jennifer,f,Wolves,9,7,11,2025-08-30 13:00:00
978-0-612-39738-5,Fowler,Monique,f,Rangers,9,9,8,2025-06-28 21:00:00
978-1-86703-726-2,Hull,Andrew,m,Rangers,12,6,10,2025-08-09 18:00:00
978-0-06-653896-9,Henry,Mike,m,Pathfinders,10,10,7,2025-06-19 18:40:00
978-1-182-33331-5,Reynolds,Heidi,f,Pathfinders,7,9,8,2025-07-08 19:00:00
978-1-5175-3261-1,Black,Jared,m,Wolves,8,8,12,2025-08-21 14:20:00
978-0-00-902072-8,Flores,Amanda,f,Pathfinders,9,7,7,2025-06-01 01:20:00
978-1-4030-8824-6,Davenport,Margaret,f,Pathfinders,10,9,8,2025-08-18 10:00:00
978-1-81189-926-7,Burnett,Anthony,m,Pathfinders,12,6,9,2025-07-20 04:20:00
978-1-70776-883-7,Henry,Matthew,m,Rangers,10,8,10,2025-06-21 04:20:00
978-0-368-02275-3,Jones,Debra,f,Pathfinders,8,9,9,2025-08-24 06:40:00
978-1-85072-206-9,Rodgers,Monique,f,Wolves,9,9,8,2025-06-04 19:40:00
978-0-556-41028-7,Chen,Tony,m,Pathfinders,7,8,7,2025-08-15 02:00:00
978-1-199-08350-0,Wilson,Mark,m,Wolves,11,10,7,2025-06-30 05:20:00
