id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-148-34185-9,Martin,Kimberly,f,Beavers,8,7,9,2025-06-15 17:40:00
978-0-14-787772-7,Perkins,Keith,m,Otters,8,9,7,2025-07-19 12:40:00
978-1-153-27719-8,Mcdonald,Amanda,f,Otters,11,8,10,2025-08-20 13:40:00
978-0-369-75767-8,Mcgrath,Alyssa,f,Beavers,9,8,9,2025-07-22 00:40:00
978-0-07-847630-3,Montoya,Karen,f,Otters,8,10,12,2025-08-09 04:00:00
978-0-12-472496-9,Blanchard,Jeanette,f,Otters,9,12,11,2025-06-24 09:00:00
978-0-405-44962-8,Pierce,Jared,m,Wolves,11,7,10,2025-06-23 17:00:00
978-1-168-64632-3,Murphy,Michelle,f,Beavers,9,7,7,2025-08-25 12:00:00
978-1-230-99204-4,Bradley,Patricia,f,Beavers,9,6,6,2025-06-27 15:20:00
978-0-87039-482-9,Werner,Wesley,m,Wolves,8,9,7,2025-06-21 12:20:00
978-1-68941-084-7,Orozco,Andrea,f,Otters,11,10,11,2025-07-16 01:40:00
978-0-414-27016-9,Thornton,Jesse,m,Wolves,9,9,7,2025-08-28 23:00:00
978-0-546-94639-0,Jimenez,James,m,Otters,7,6,6,2025-07-25 16:20:00
978-0-18-909417-5,Thomas,Teresa,f,Wolves,9,7,7,2025-08-27 12:40:00
978-0-7414-8235-8,Thomas,David,m,Wolves,7,10,8,2025-07-08 01:00:00
978-1-943289-65-3,Galloway,Thomas,m,Otters,9,7,10,2025-06-05 20:40:00
978-1-5233-2224-4,Levine,Jamie,f,Wolves,7,6,9,2025-07-16 13:20:00
978-1-04-317506-1,Jackson,Michelle,f,Wolves,12,7,8,2025-08-07 03:40:00
978-0-242-64392-0,Forbes,Juan,m,Wolves,11,8,8,2025-07-20 00:20:00
978-1-161-33418-0,Rivera,Jamie,f,Beavers,8,10,10,2025-07-03 22:40:00
978-1-279-44565-5,Ramos,Carrie,f,Otters,8,7,10,2025-06-29 02:20:00
978-0-8427-1548-5,Jarvis,Jay,m,Wolves,6,10,8,2025-07-29 07:20:00
978-1-4259-7645-3,Paul,Michael,m,Otters,9,8,7,2025-07-17 15:40:00
978-0-7061-8604-8,Cox,April,f,Otters,9,9,9,2025-07-30 14:00:00
978-1-5217-3143-7,Robinson,Kevin,m,Beavers,6,8,8,2025-06-01 12:00:00
978-0-10-018025-3,Castillo,Cameron,m,Otters,9,8,12,2025-07-14 17:00:00
978-0-683-28712-7,Flores,Suzanne,f,Wolves,9,10,9,2025-07-29 00:40:00
978-0-637-99208-4,Wilson,Jennifer,f,Otters,10,10,10,2025-06-08 23:00:00
978-1-877425-06-6,Gibson,Albert,m,Beavers,7,7,10,2025-07-23 20:00:00
978-0-04-633950-0,Wood,Tyler,m,Wolves,8,7,8,2025-08-13 03:40:00
978-0-679-50642-3,Franco,Patricia,f,Otters,8,8,9,2025-06-13 01:40:00
978-1-5418-4692-0,Clark,Michael,m,Otters,7,6,9,2025-07-06 15:00:00
978-0-365-90448-9,Booth,Daniel,m,Otters,9,7,11,2025-08-29 11:40:00
978-1-260-16620-0,Sullivan,Jessica,f,Otters,9,6,9,2025-06-03 01:20:00
978-1-4695-9388-3,Peterson,Matthew,m,Otters,7,12,9,2025-06-22 00:20:00
978-0-285-22633-3,Tyler,Paul,m,Wolves,10,6,9,2025-06-08 03:40:00
978-1-4789-0891-3,Combs,Margaret,f,Wolves,9,9,7,2025-07-19 22:40:00
978-1-291-21226-6,Valdez,Kenneth,m,Wolves,10,8,12,2025-06-23 20:20:00
978-1-4638-0809-9,Stewart,Timothy,m,Wolves,12,11,9,2025-08-14 09:20:00
978-1-4603-6748-3,Valencia,Marc,m,Beavers,11,9,8,2025-08-05 06:40:00
978-0-248-94459-5,Daugherty,Joseph,m,Wolves,12,6,10,2025-06-06 04:00:00
978-0-617-72964-8,Clark,William,m,Wolves,9,7,9,2025-07-25 01:00:00
978-0-00-087241-8,Sutton,Richard,m,Otters,9,9,11,2025-08-30 20:00:00
978-1-61406-963-8,Hopkins,Jerry,m,Beavers,9,7,10,2025-07-13 03:00:00
978-1-898653-99-8,Mclaughlin,John,m,Otters,12,8,9,2025-06-14 09:20:00
978-1-176-55647-8,Jacobson,Dalton,m,Wolves,6,11,9,2025-07-26 16:00:00
978-0-7647-0622-6,Thomas,Samantha,f,Beavers,8,6,10,2025-08-16 15:00:00
978-1-244-54750-6,Peterson,Jennifer,f,Beavers,8,7,7,2025-07-12 04:00:00
978-0-06-824055-6,Davis,Cory,m,Beavers,11,12,8,2025-06-19 05:00:00
978-1-4340-0942-5,Fitzpatrick,Alex,m,Otters,9,9,11,2025-08-21 13:40:00
