id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-307-51264-9,Morris,Jacqueline,f,Rangers,7,7,10,2025-07-01 19:00:00
978-0-9618716-4-2,Jones,Mario,m,Rangers,7,8,11,2025-08-25 00:20:00
978-0-929465-49-4,Glass,Frank,m,Rangers,11,12,7,2025-07-07 20:00:00
978-1-81436-103-7,Thompson,Jessica,f,Rangers,7,10,9,2025-08-27 11:40:00
978-1-949902-34-1,Taylor,Thomas,m,Rangers,6,8,9,2025-07-29 00:00:00
978-0-8082-1891-3,George,Jessica,f,Rangers,6,9,11,2025-06-21 10:20:00
978-0-622-62341-2,Oneal,Nicole,f,Outlanders,8,9,8,2025-06-23 04:20:00
978-0-305-21976-5,Moore,Victoria,f,Pathfinders,10,12,9,2025-06-24 08:40:00
978-0-942467-83-3,Curry,Chelsea,f,Rangers,8,10,9,2025-08-15 23:00:00
978-0-629-12762-3,Shelton,Tina,f,Pathfinders,9,9,7,2025-06-09 15:40:00
978-0-02-013689-7,Hayes,Sandra,f,Rangers,8,8,10,2025-06-04 12:40:00
978-1-83790-866-0,Hudson,Maxwell,m,Rangers,8,12,10,2025-07-22 21:00:00
978-1-260-67716-4,Lowery,Eric,m,Rangers,8,10,7,2025-08-09 09:40:00
978-0-06-274778-5,Crawford,Christina,f,Pathfinders,9,9,9,2025-07-24 12:00:00
978-1-76930-340-3,Williams,Mary,f,Pathfinders,9,9,6,2025-07-30 20:20:00
978-1-274-54824-5,Long,Kristen,f,Outlanders,9,9,7,2025-06-08 07:40:00
978-0-486-75712-4,Harris,Amy,f,Outlanders,9,12,7,2025-06-02 01:40:00
978-0-369-66798-4,Jones,Lauren,f,Rangers,9,7,10,2025-07-09 09:40:00
978-1-07-675731-9,Price,Elizabeth,f,Rangers,8,8,7,2025-06-09 11:20:00
978-1-67564-359-4,Bernard,Christine,f,Pathfinders,9,11,10,2025-07-16 01:20:00
978-1-5263-1451-2,Nixon,Lauren,f,Rangers,12,12,11,2025-07-26 12:20:00
978-1-937003-58-6,Floyd,Cynthia,f,Pathfinders,10,8,12,2025-08-19 13:20:00
978-0-7046-5652-9,Spencer,Dana,f,Pathfinders,9,6,9,2025-06-15 07:00:00
978-0-07-159667-1,Wilcox,Brittany,f,Pathfinders,9,10,8,2025-08-03 22:20:00
978-1-876450-77-9,Washington,Raven,f,Outlanders,7,10,8,2025-06-23 17:20:00
978-0-19-874559-4,Sanchez,James,m,Pathfinders,10,9,10,2025-08-04 04:00:00
978-0-7140-5201-4,Wilcox,Jillian,f,Rangers,11,11,8,2025-07-18 01:40:00
978-0-939711-66-6,Rogers,Laura,f,Outlanders,11,8,12,2025-08-26 05:00:00
978-1-917060-13-4,Garcia,George,m,Outlanders,8,12,8,2025-08-12 11:20:00
978-1-4197-0860-2,Garcia,Kimberly,f,Pathfinders,12,10,10,2025-06-01 05:40:00
978-0-14-189846-9,Washington,Lindsey,f,Pathfinders,10,10,8,2025-07-22 06:20:00
978-0-7020-9482-8,Williams,Sarah,f,Rangers,9,10,8,2025-08-09 21:40:00
978-0-332-90674-4,Rogers,Jeremy,m,Pathfinders,11,10,10,2025-06-30 04:20:00
978-0-201-73299-3,Green,Ann,f,Rangers,11,7,10,2025-06-27 05:00:00
978-1-150-95653-9,Castillo,Joseph,m,Pathfinders,12,7,7,2025-07-24 07:20:00
978-0-17-619546-5,Castro,Michael,m,Pathfinders,10,6,10,2025-08-23 13:20:00
978-0-15-774523-8,Benton,Angela,f,Outlanders,9,9,11,2025-08-06 03:20:00
978-1-57418-612-3,Frazier,Sarah,f,Rangers,12,10,10,2025-07-03 18:40:00
978-1-359-75119-5,Hunt,Erin,f,Pathfinders,9,8,8,2025-07-02 19:00:00
978-0-391-13128-6,Jones,Ryan,m,Pathfinders,9,10,10,2025-06-13 15:20:00
978-1-332-11392-7,Porter,Tom,m,Outlanders,10,11,9,2025-06-15 04:00:00
978-1-187-49492-9,Murphy,Laura,f,Rangers,8,9,11,2025-08-20 22:20:00
978-0-374-48365-4,Baker,April,f,Pathfinders,11,9,10,2025-08-11 06:00:00
978-1-183-66376-3,Meadows,Veronica,f,Pathfinders,6,6,7,2025-08-04 16:20:00
978-1-4260-7418-9,Smith,Allison,f,Outlanders,7,9,7,2025-07-05 08:00:00
978-1-219-58554-0,Chavez,Jo,f,Pathfinders,12,9,6,2025-08-13 19:40:00
978-1-881376-47-7,Weber,Andre,m,Rangers,11,9,11,2025-08-19 09:20:00
978-1-125-41472-9,Allen,Christina,f,Outlanders,7,9,6,2025-07-14 23:00:00
978-1-323-78822-6,Blair,Arthur,m,Pathfinders,7,8,6,2025-08-30 01:20:00
978-0-433-55691-6,Hanson,Diana,f,Rangers,8,6,10,2025-06-09 01:40:00
