id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-75246-901-7,Martin,Jeffrey,m,Meteors,11,9,8,2025-06-10 10:00:00
978-0-234-34126-1,Mitchell,Christian,m,Trailblazers,9,6,12,2025-08-26 05:40:00
978-1-168-07548-2,Meyer,Ashley,f,Trailblazers,9,10,9,2025-08-11 05:20:00
978-1-57372-162-2,Shaw,Alyssa,f,Meteors,10,10,10,2025-06-22 11:00:00
978-1-05-501064-0,Trujillo,Johnny,m,Beavers,7,9,6,2025-07-10 21:20:00
978-1-5449-7300-5,Snyder,Anna,f,Trailblazers,7,10,7,2025-08-13 16:40:00
978-1-69605-235-1,Hughes,Kathy,f,Trailblazers,9,11,11,2025-08-13 13:20:00
978-1-55261-323-8,Gibson,Thomas,m,Trailblazers,9,7,10,2025-07-29 21:40:00
978-1-66936-122-0,Benson,Randy,m,Trailblazers,7,7,10,2025-06-17 16:20:00
978-0-601-98197-7,Rowe,Timothy,m,Trailblazers,7,7,9,2025-07-17 10:40:00
978-1-80181-682-3,Reed,Olivia,f,Meteors,10,11,9,2025-06-30 07:20:00
978-1-09-812035-1,Sutton,Amanda,f,Beavers,8,7,6,2025-07-27 15:20:00
978-1-5186-7734-2,Drake,Lisa,f,Beavers,8,8,8,2025-08-14 08:40:00
978-0-8126-1444-2,Johnson,Timothy,m,Trailblazers,9,12,8,2025-07-06 07:00:00
978-0-460-69291-5,Warner,Micheal,m,Beavers,7,10,6,2025-06-11 11:40:00
978-0-368-63821-3,Thomas,Dean,m,Meteors,10,7,9,2025-06-15 23:00:00
978-1-4759-5845-4,Koch,Albert,m,Trailblazers,7,8,7,2025-06-19 05:00:00
978-0-262-25654-4,Willis,Anna,f,Trailblazers,9,9,9,2025-08-15 23:40:00
978-1-79739-307-0,Klein,Patrick,m,Beavers,9,10,8,2025-07-13 12:40:00
978-0-9916482-4-5,Greer,Carlos,m,Meteors,8,9,8,2025-08-08 05:40:00
978-1-207-00044-4,Richardson,Christina,f,Trailblazers,6,7,9,2025-07-01 03:20:00
978-1-4839-4057-1,Whitehead,Emily,f,Trailblazers,6,9,10,2025-06-20 02:00:00
978-0-505-98104-2,Carpenter,Karla,f,Trailblazers,7,12,8,2025-06-13 20:40:00
978-1-05-931331-0,Jones,Desiree,f,Meteors,6,12,10,2025-06-23 23:00:00
978-1-5487-8344-0,Freeman,Alexis,m,Meteors,7,6,7,2025-08-17 23:20:00
978-0-239-47272-4,Kirby,Donna,f,Meteors,10,12,9,2025-07-09 16:20:00
978-1-875073-24-5,Murphy,Krystal,f,Beavers,9,9,10,2025-07-14 11:00:00
978-1-05-699330-0,Greer,Katelyn,f,Beavers,9,10,9,2025-08-09 13:00:00
978-0-383-70640-9,Coleman,Jennifer,f,Beavers,10,9,8,2025-08-06 05:40:00
978-0-587-61762-4,Gray,Michael,m,Meteors,6,12,10,2025-06-17 20:20:00
978-0-687-52750-2,Smith,Loretta,f,Beavers,7,9,10,2025-07-07 16:20:00
978-1-9760-4435-9,Bryan,Ronald,m,Beavers,9,8,8,2025-06-02 14:40:00
978-0-605-70954-6,Marshall,Tyler,m,Beavers,8,6,8,2025-06-10 19:00:00
978-0-7956-1708-9,Mccoy,Jason,m,Beavers,9,12,8,2025-07-01 15:20:00
978-1-259-08908-4,Cox,Mark,m,Meteors,8,6,9,2025-07-07 16:00:00
978-1-01-714090-3,Collins,Brian,m,Beavers,11,7,7,2025-08-11 08:40:00
978-0-00-642199-3,Warner,Michelle,f,Beavers,10,9,9,2025-07-11 05:00:00
978-0-7328-3893-5,Ruiz,Glenn,m,Meteors,10,12,11,2025-07-31 04:40:00
978-0-7775-8704-1,Perez,Brian,m,Meteors,10,8,10,2025-08-04 18:40:00
978-0-917857-15-7,Robinson,Dominique,f,Trailblazers,9,9,9,2025-06-19 07:20:00
978-1-4270-1503-7,Berger,Emily,f,Meteors,10,12,10,2025-06-23 06:20:00
978-0-478-63537-9,Kane,Robert,m,Meteors,9,8,9,2025-07-25 22:00:00
978-0-458-06891-3,Mcneil,Stephanie,f,Trailblazers,6,10,7,2025-08-30 15:40:00
978-1-81935-419-5,Johnson,Cassandra,f,Beavers,12,10,6,2025-08-21 10:40:00
978-1-65775-149-1,Davis,Rachel,f,Trailblazers,8,7,9,2025-08-04 08:00:00
978-1-227-44006-0,Rice,Taylor,m,Trailblazers,10,7,11,2025-07-13 13:20:00
978-0-625-06229-4,Miller,Brittany,f,Meteors,12,6,9,2025-07-02 02:40:00
978-0-8205-0349-3,Ross,Monica,f,Meteors,7,12,12,2025-08-12 12:40:00
978-1-220-41330-6,Huff,Krystal,f,Beavers,9,6,8,2025-07-30 01:00:00
978-0-7966-8892-7,Hall,Nicole,f,Beavers,6,8,10,2025-06-13 00:40:00
