id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-308-29467-7,Barr,Jeremy,m,Bears,12,10,9,2025-07-24 01:00:00
978-1-85904-285-4,Ramirez,Tina,f,Bears,11,12,10,2025-07-24 03:00:00
978-1-4878-9999-8,Davis,Mikayla,f,Otters,10,10,10,2025-07-21 03:40:00
978-1-118-61773-1,Burgess,Matthew,m,Otters,7,7,6,2025-07-05 20:40:00
978-0-7836-7528-2,Nunez,Kathleen,f,Otters,8,9,9,2025-08-03 02:00:00
978-0-8048-6046-8,Potter,Joseph,m,Otters,7,9,7,2025-07-09 04:20:00
978-1-4599-5389-5,Navarro,Franklin,m,Otters,10,10,7,2025-06-22 11:00:00
978-1-4562-3361-7,Stanley,Veronica,f,Otters,12,12,10,2025-08-15 21:40:00
978-1-9812-1428-0,Harris,Sean,m,Otters,10,8,9,2025-07-16 04:40:00
978-1-05-696160-6,Bryant,Dustin,m,Stars,7,7,7,2025-07-23 09:00:00
978-1-261-63898-0,Ellis,Kiara,f,Otters,12,7,8,2025-07-31 21:00:00
978-1-212-35512-6,Church,Matthew,m,Otters,11,8,7,2025-08-18 11:40:00
978-0-599-65547-8,Cook,Scott,m,Otters,10,9,7,2025-06-07 04:40:00
978-0-7282-0746-2,Oconnor,Roger,m,Bears,10,12,10,2025-07-24 19:40:00
978-1-74067-888-9,Perez,Lisa,f,Otters,8,10,7,2025-07-30 22:40:00
978-0-245-34509-8,Gross,Jennifer,f,Otters,10,8,10,2025-06-07 01:00:00
978-0-9752360-8-6,Smith,Robin,f,Stars,8,8,8,2025-08-19 13:20:00
978-1-4084-9884-2,Wright,Destiny,f,Bears,12,9,12,2025-07-04 08:20:00
978-0-9592986-2-8,Burns,Raymond,m,Stars,10,10,10,2025-07-30 01:00:00
978-0-12-581576-5,Simon,Erin,f,Otters,9,9,9,2025-08-27 20:00:00
978-0-05-765042-7,Lyons,Cassandra,f,Stars,7,10,11,2025-06-08 10:00:00
978-0-218-05600-6,Campbell,Kathryn,f,Stars,7,10,11,2025-07-29 21:20:00
978-1-294-89555-8,Glover,Peter,m,Stars,8,11,6,2025-08-23 21:40:00
978-1-06-068219-1,Stanley,Brandon,m,Stars,9,7,6,2025-07-02 17:00:00
978-0-264-31029-9,Johnson,Brandon,m,Bears,9,6,9,2025-08-21 22:40:00
978-1-352-77222-7,Wilson,Lisa,f,Stars,7,7,10,2025-07-25 23:20:00
978-0-07-906491-2,Wheeler,James,m,Bears,9,10,12,2025-07-31 22:00:00
978-0-16-076124-9,Perez,Darren,m,Bears,12,9,8,2025-07-06 21:20:00
978-0-9755372-8-2,Martinez,Joanne,f,Stars,7,9,10,2025-08-16 17:40:00
978-0-9591349-6-4,Wilkerson,Joseph,m,Bears,9,9,9,2025-06-20 20:40:00
978-1-386-67380-4,Roach,Tyler,m,Stars,9,6,9,2025-07-22 15:00:00
978-1-72592-430-7,Gaines,Richard,m,Otters,6,12,8,2025-07-28 18:40:00
978-1-988466-45-3,Hill,Jacob,m,Bears,11,6,11,2025-06-17 00:20:00
978-0-7545-5153-9,Ortiz,Jim,m,Otters,12,8,9,2025-07-15 17:00:00
978-1-80810-503-6,Espinoza,Michael,m,Otters,10,8,9,2025-06-15 07:40:00
978-1-7365214-0-3,Miller,Eric,m,Stars,9,7,10,2025-07-04 16:40:00
978-1-86858-034-7,Oliver,Chase,m,Bears,9,10,7,2025-08-18 02:20:00
978-0-673-65535-6,Russell,Heather,f,Otters,9,9,12,2025-06-22 16:20:00
978-1-76309-323-2,Guzman,Benjamin,m,Stars,8,12,8,2025-06-24 22:00:00
978-0-484-80571-1,Jensen,Kayla,f,Bears,8,9,11,2025-08-12 05:40:00
978-0-933011-00-7,Wang,Heather,f,Stars,11,8,8,2025-08-05 01:40:00
978-0-308-31898-4,Ramos,Sharon,f,Stars,7,10,10,2025-07-01 05:40:00
978-1-61149-405-1,Schwartz,Adam,m,Otters,7,7,7,2025-07-04 22:20:00
978-1-70168-219-1,Wood,Rhonda,f,Stars,6,12,7,2025-07-19 21:20:00
978-1-215-07748-3,Humphrey,Matthew,m,Otters,11,10,9,2025-06-13 19:00:00
978-0-7272-8592-8,Garcia,Robert,m,Stars,9,11,6,2025-07-30 10:20:00
978-0-357-32153-9,Johnson,Brian,m,Bears,12,12,12,2025-07-24 01:00:00
978-1-954988-93-4,Murray,John,m,Stars,9,6,9,2025-06-30 18:00:00
978-1-5058-7916-2,Graham,Derrick,m,Otters,10,9,8,2025-07-06 09:00:00
978-0-588-68116-7,Brock,Christine,f,Otters,10,7,9,2025-07-25 02:20:00
