id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-229-70616-4,Moore,Emily,f,Wolves,10,9,11,2025-06-13 13:20:00
978-0-17-748624-1,Francis,Stephen,m,Trailblazers,10,6,9,2025-08-17 23:20:00
978-1-288-56596-2,Roberts,April,f,Meteors,10,11,9,2025-07-23 05:00:00
978-0-301-44935-7,Foster,Susan,f,Trailblazers,8,11,11,2025-07-28 22:00:00
978-0-02-010534-3,Bowers,Daniel,m,Trailblazers,10,10,10,2025-08-30 02:20:00
978-0-372-41629-6,Wheeler,Morgan,f,Meteors,7,10,9,2025-08-05 02:20:00
978-0-610-45128-7,Johnson,Shannon,f,Meteors,7,6,12,2025-08-09 16:40:00
978-1-238-56358-1,Dixon,John,m,Meteors,10,7,9,2025-06-03 05:20:00
978-1-211-53618-2,Berry,Joan,f,Trailblazers,6,10,10,2025-06-18 06:20:00
978-0-411-16599-4,Murphy,Eric,m,Wolves,9,6,7,2025-08-20 06:40:00
978-0-279-14534-3,Davila,David,m,Wolves,8,7,10,2025-06-12 15:20:00
978-0-528-40555-6,Mullins,Joseph,m,Trailblazers,6,9,9,2025-06-29 16:20:00
978-1-344-57646-8,Gardner,Adam,m,Trailblazers,8,10,11,2025-07-05 04:20:00
978-0-272-90770-2,Johnson,Robin,f,Meteors,11,11,6,2025-07-23 20:20:00
978-1-388-49819-1,Young,Tracy,m,Trailblazers,10,7,9,2025-07-22 07:00:00
978-1-9876-5908-5,Parker,Katie,f,Meteors,9,9,9,2025-06-06 03:40:00
978-1-08-301888-5,Brown,John,m,Meteors,7,11,10,2025-07-20 17:00:00
978-1-165-52017-6,Blankenship,John,m,Wolves,10,7,9,2025-06-19 01:20:00
978-0-376-49265-4,Hamilton,Victoria,f,Wolves,7,8,9,2025-06-13 18:40:00
978-1-9781-5786-6,Baker,Wendy,f,Wolves,8,8,8,2025-06-28 02:40:00
978-1-70394-127-2,Newton,Debbie,f,Wolves,10,8,6,2025-07-27 14:20:00
978-0-379-30077-2,Lee,Amber,f,Meteors,6,10,10,2025-07-29 15:40:00
978-0-86327-508-1,Rogers,Catherine,f,Wolves,6,10,9,2025-08-07 02:00:00
978-0-02-195876-4,Green,Aaron,m,Wolves,10,7,8,2025-06-28 11:40:00
978-1-4976-8105-7,Schneider,Ronald,m,Trailblazers,9,12,8,2025-07-26 07:20:00
978-1-147-09665-1,Mills,Duane,m,Wolves,8,9,8,2025-06-17 19:40:00
978-0-337-65862-4,Russell,David,m,Wolves,9,7,10,2025-07-16 18:00:00
978-0-7309-5357-9,Montgomery,Kevin,m,Wolves,9,7,12,2025-07-07 13:40:00
978-0-265-85928-5,Watkins,Kristine,f,Trailblazers,8,12,9,2025-07-06 18:00:00
978-1-294-23205-6,Villa,Justin,m,Meteors,9,10,10,2025-07-26 22:20:00
978-0-428-67536-3,Palmer,Pamela,f,Wolves,8,10,7,2025-07-06 08:20:00
978-0-598-53381-4,Baker,Gary,m,Trailblazers,9,9,7,2025-06-05 19:40:00
978-0-286-39445-1,Henderson,Charles,m,Trailblazers,6,10,9,2025-07-30 17:40:00
978-1-4085-9929-7,Compton,Anthony,m,Trailblazers,10,8,11,2025-07-24 13:20:00
978-1-5489-0727-3,Chavez,Tina,f,Trailblazers,11,11,7,2025-07-10 14:20:00
978-1-5021-7708-7,Pope,Tami,f,Trailblazers,11,6,10,2025-08-03 06:40:00
978-0-509-92610-0,Gray,Savannah,f,Trailblazers,10,7,7,2025-07-01 03:20:00
978-1-56019-653-2,Romero,Sharon,f,Meteors,9,8,9,2025-08-22 17:00:00
978-0-553-60672-0,Parker,Luke,m,Meteors,7,9,10,2025-06-25 16:00:00
978-0-312-11883-9,Baker,Corey,m,Meteors,6,6,7,2025-08-01 09:20:00
978-0-944113-14-1,Gomez,Brandy,f,Meteors,10,9,8,2025-06-18 15:40:00
978-0-11-431638-9,Ford,Megan,f,Trailblazers,7,8,7,2025-06-30 15:00:00
978-0-7455-9988-5,Shepard,Joshua,m,Wolves,11,12,9,2025-08-03 00:40:00
978-1-80690-024-4,Gomez,Connor,m,Wolves,9,11,11,2025-08-26 20:40:00
978-1-384-57131-7,Patterson,Amanda,f,Trailblazers,8,10,9,2025-08-28 07:40:00
978-1-02-070140-5,Schmidt,Margaret,f,Meteors,6,7,12,2025-07-24 02:00:00
978-0-427-46495-1,Greer,Charles,m,Wolves,8,10,12,2025-08-24 12:20:00
978-1-120-39794-2,Lane,Linda,f,Meteors,9,12,10,2025-08-10 09:20:00
978-0-435-09161-3,Patterson,Kristen,f,Wolves,11,9,7,2025-08-08 09:40:00
978-1-338-51093-5,Tucker,Ashley,f,Trailblazers,8,12,9,2025-07-31 15:00:00
