id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-389-53734-2,Howell,Debra,f,Eagles,10,7,9,2025-06-26 20:20:00
978-0-17-919144-0,Mason,Jennifer,f,Eagles,7,7,10,2025-07-31 08:00:00
978-1-00-643559-1,Logan,Bobby,m,Eagles,12,9,9,2025-07-24 22:00:00
978-0-465-75848-7,Graham,Felicia,f,Explorers,11,10,10,2025-08-22 01:00:00
978-0-251-46888-0,Deleon,Natalie,f,Stars,11,7,11,2025-08-12 01:00:00
978-1-950983-71-1,Brown,Sierra,f,Stars,6,8,7,2025-07-14 06:20:00
978-1-339-44123-8,Johnson,Victoria,f,Explorers,9,8,6,2025-06-23 19:40:00
978-1-338-73937-4,Brandt,Carla,f,Explorers,8,10,12,2025-06-01 15:00:00
978-0-462-21292-0,Henry,Mark,m,Eagles,8,9,11,2025-08-15 22:20:00
978-1-70135-892-8,Butler,Amber,f,Explorers,8,8,11,2025-07-02 05:00:00
978-0-367-34029-2,Green,Christina,f,Stars,12,6,12,2025-06-09 19:40:00
978-1-195-18914-5,Robinson,Nancy,f,Stars,9,9,9,2025-08-26 02:00:00
978-1-193-34876-6,Allen,Andrea,f,Eagles,9,12,8,2025-07-15 05:00:00
978-1-03-769006-8,Miller,Leslie,f,Stars,7,9,9,2025-07-09 15:20:00
978-0-8285-9007-5,Wilson,Kaitlyn,f,Stars,7,10,8,2025-08-26 11:40:00
978-1-83306-494-0,Acosta,Peter,m,Explorers,11,10,9,2025-08-12 05:00:00
978-0-678-16815-8,Ruiz,Lisa,f,Eagles,9,7,7,2025-07-06 09:40:00
978-0-17-273372-2,Wilson,Diana,f,Stars,7,8,6,2025-08-16 08:40:00
978-1-111-90673-3,Mcfarland,Sarah,f,Stars,10,7,10,2025-06-17 17:40:00
978-1-75724-068-0,Lee,Bailey,f,Stars,11,7,9,2025-07-15 06:20:00
978-0-286-00906-5,Jones,Cynthia,f,Eagles,6,9,8,2025-06-08 07:20:00
978-1-307-16245-5,Kline,Erica,f,Stars,7,10,9,2025-07-14 19:40:00
978-1-61205-171-0,Riggs,Michelle,f,Stars,9,9,10,2025-06-01 19:20:00
978-0-7659-1659-4,Richard,Maurice,m,Stars,9,11,7,2025-07-21 05:20:00
978-1-84279-912-3,Wheeler,Samuel,m,Eagles,6,9,9,2025-06-05 10:00:00
978-0-269-12151-7,Wilson,Wesley,m,Stars,7,7,9,2025-06-30 04:40:00
978-1-153-79185-4,Larson,Chelsea,f,Explorers,6,7,8,2025-08-06 15:40:00
978-1-261-98555-8,Davis,Angela,f,Stars,9,7,6,2025-08-15 18:20:00
978-1-260-92325-4,Lambert,Rhonda,f,Eagles,10,10,9,2025-06-05 14:40:00
978-0-8418-0582-8,Thompson,Curtis,m,Stars,7,9,10,2025-07-23 05:00:00
978-1-00-617037-9,Marshall,Michael,m,Explorers,10,7,9,2025-08-28 08:40:00
978-0-638-24765-7,Spencer,Christine,f,Eagles,8,7,12,2025-08-17 19:40:00
978-0-85695-665-2,King,Megan,f,Stars,6,7,7,2025-08-20 22:40:00
978-1-4694-4925-8,Vance,Carrie,f,Eagles,7,11,6,2025-08-19 17:40:00
978-0-687-36446-6,Torres,Lauren,f,Stars,11,7,9,2025-07-04 08:40:00
978-1-72264-219-8,Cooper,Shawn,m,Explorers,9,7,7,2025-06-27 14:20:00
978-0-7381-9811-8,Rios,Lori,f,Stars,12,8,11,2025-07-03 00:40:00
978-0-244-53534-6,French,Stephanie,f,Stars,11,9,9,2025-07-13 12:40:00
978-0-8205-3748-1,Holmes,Ashley,f,Stars,11,9,6,2025-06-25 14:40:00
978-1-04-495364-4,Rodriguez,Madison,f,Eagles,10,10,12,2025-07-15 21:20:00
978-0-03-828234-0,Rodriguez,Larry,m,Eagles,8,6,12,2025-07-21 19:40:00
978-0-7294-7025-4,Christian,Margaret,f,Stars,9,10,7,2025-07-07 04:20:00
978-1-358-34695-8,Brady,Nicholas,m,Explorers,9,6,8,2025-08-02 14:40:00
978-1-112-44659-7,Brown,Christina,f,Eagles,8,10,10,2025-07-18 19:40:00
978-0-654-09960-5,Collier,Brooke,f,Eagles,10,10,10,2025-07-15 22:40:00
978-0-544-51441-6,Hernandez,Vickie,f,Explorers,12,10,7,2025-07-30 22:00:00
978-0-431-06793-3,Phillips,Caroline,f,Stars,9,7,12,2025-07-19 22:40:00
978-0-903110-80-8,Kane,Tammy,f,Eagles,12,10,7,2025-07-10 03:20:00
978-0-9715633-5-3,Peters,Katherine,f,Explorers,12,7,6,2025-08-09 02:00:00
978-0-466-47940-4,Gray,Kevin,m,Eagles,10,11,8,2025-08-06 08:00:00
