id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-85853-363-9,Torres,Jessica,f,Explorers,9,8,11,2025-06-24 02:40:00
978-0-657-76406-7,Davis,Carol,f,Explorers,12,12,8,2025-07-07 21:00:00
978-0-524-70116-4,Ortiz,Daniel,m,Adventurers,7,10,12,2025-07-09 17:20:00
978-1-4410-3695-7,Lopez,Scott,m,Adventurers,11,9,7,2025-06-28 20:40:00
978-0-11-165977-9,Barnes,Nicole,f,Rangers,6,9,9,2025-06-17 11:00:00
978-1-174-29242-2,Cruz,Charles,m,Adventurers,9,6,9,2025-07-02 03:40:00
978-1-72394-351-5,Quinn,Becky,f,Rangers,9,9,9,2025-07-13 13:40:00
978-0-89746-915-9,Perry,Brenda,f,Explorers,8,9,9,2025-07-06 18:00:00
978-1-113-01863-2,Monroe,Chase,m,Explorers,9,9,12,2025-07-13 16:00:00
978-0-469-67139-3,Ward,Lisa,f,Adventurers,7,10,10,2025-07-25 22:20:00
978-0-636-24293-7,Simmons,Patricia,f,Rangers,10,7,8,2025-07-02 15:00:00
978-1-01-178507-0,Woods,Pamela,f,Rangers,8,7,8,2025-07-31 04:20:00
978-0-628-87442-9,Fisher,Jonathan,m,Rangers,7,7,10,2025-08-15 13:00:00
978-1-385-61045-9,Lang,Elizabeth,f,Rangers,7,9,10,2025-07-19 08:00:00
978-0-582-20944-2,Swanson,Jordan,m,Adventurers,11,10,6,2025-07-08 11:20:00
978-0-7331-3006-9,Rivera,Monique,f,Rangers,12,11,6,2025-08-28 16:20:00
978-0-470-90291-2,Yoder,Henry,m,Explorers,11,9,8,2025-08-04 20:00:00
978-0-929711-75-1,Cruz,Deborah,f,Adventurers,11,7,9,2025-06-04 05:20:00
978-1-67442-889-5,Williams,Caitlin,f,Rangers,9,11,8,2025-07-21 01:40:00
978-0-586-38402-2,Bradley,Jamie,f,Adventurers,9,6,9,2025-07-19 14:00:00
978-0-262-89044-1,Moon,Hannah,f,Explorers,6,10,6,2025-07-19 22:40:00
978-0-04-360257-7,Sims,Kelly,f,Adventurers,8,11,9,2025-06-08 13:00:00
978-1-931339-71-1,Peterson,Angela,f,Rangers,8,10,6,2025-06-07 15:00:00
978-1-01-434870-8,Malone,Thomas,m,Explorers,9,9,11,2025-08-15 03:40:00
978-1-4886-0075-3,Lane,Savannah,f,Rangers,8,10,7,2025-06-12 20:00:00
978-1-69359-609-4,Stanley,Miranda,f,Rangers,7,9,10,2025-06-09 13:20:00
978-0-9700599-5-6,Poole,Elizabeth,f,Explorers,7,10,9,2025-07-14 16:20:00
978-1-4421-0281-1,Smith,Barbara,f,Adventurers,9,8,10,2025-08-01 11:20:00
978-1-66859-850-4,Baker,Richard,m,Rangers,9,6,9,2025-07-30 18:20:00
978-1-894927-15-4,Phillips,Jordan,m,Adventurers,8,10,9,2025-06-06 15:20:00
978-1-84133-890-3,Davidson,Savannah,f,Explorers,9,9,8,2025-06-20 10:00:00
978-1-144-33489-3,Walton,Diane,f,Adventurers,7,7,7,2025-06-25 12:20:00
978-1-61965-332-0,Parker,Robert,m,Rangers,8,7,10,2025-06-17 14:20:00
978-0-06-675763-6,Mitchell,Hailey,f,Explorers,10,9,6,2025-08-30 08:00:00
978-1-82238-961-0,Sanders,Sarah,f,Adventurers,6,9,6,2025-08-28 05:00:00
978-0-01-879869-4,Miles,Heather,f,Explorers,8,9,7,2025-07-12 22:40:00
978-1-03-667128-0,Gentry,Alexis,f,Adventurers,10,9,7,2025-06-27 18:00:00
978-0-9616600-2-4,Mcfarland,Melissa,f,Explorers,9,10,12,2025-07-02 03:20:00
978-1-236-32591-4,Lewis,Stephen,m,Explorers,11,12,12,2025-07-06 18:00:00
978-0-548-56827-9,Miller,Carolyn,f,Rangers,7,7,9,2025-08-17 08:20:00
978-1-74682-964-3,Velez,Jacqueline,f,Adventurers,9,9,9,2025-07-24 17:00:00
978-1-62798-119-4,Melendez,Kelsey,f,Explorers,10,8,6,2025-06-26 03:40:00
978-1-151-52046-3,Collins,Lauren,f,Adventurers,8,6,9,2025-07-26 21:40:00
978-0-248-99343-2,Logan,John,m,Rangers,10,9,9,2025-06-20 09:40:00
978-1-02-776739-8,Hall,Elizabeth,f,Explorers,7,8,8,2025-08-19 10:20:00
978-0-9789104-9-5,Wilson,Angela,f,Adventurers,10,6,9,2025-08-21 01:00:00
978-0-206-87994-5,Wilson,Kathryn,f,Adventurers,7,7,10,2025-06-01 09:20:00
978-0-253-54633-3,Howard,Mary,f,Adventurers,9,12,7,2025-06-04 11:20:00
978-0-695-95937-1,Mercer,Angela,f,Rangers,9,6,7,2025-06-05 15:00:00
978-1-03-244532-8,Smith,Lindsay,f,Rangers,9,9,8,2025-06-25 07:00:00
