id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-464-46516-4,Austin,Jonathan,m,Adventurers,7,6,9,2025-08-15 10:20:00
978-1-78785-369-0,Richardson,Derek,m,Bears,9,7,7,2025-06-29 01:40:00
978-0-89295-392-9,Williams,Edwin,m,Adventurers,9,12,11,2025-07-29 03:40:00
978-1-872094-39-7,Lee,Victoria,f,Bears,9,8,6,2025-06-05 21:20:00
978-0-445-52423-1,Shaffer,Kimberly,f,Stars,10,10,7,2025-06-15 22:00:00
978-1-57780-238-9,Zimmerman,Morgan,f,Stars,8,9,7,2025-06-29 16:00:00
978-1-74970-806-8,Brown,Melissa,f,Adventurers,9,6,7,2025-07-25 07:20:00
978-0-9521336-9-8,Taylor,Sean,m,Bears,10,8,9,2025-07-05 15:00:00
978-0-06-303465-5,Santos,Latoya,f,Adventurers,11,9,9,2025-06-08 12:40:00
978-1-370-73579-2,Thomas,Jonathan,m,Bears,11,9,9,2025-07-07 16:20:00
978-0-478-26285-8,Johnson,Lisa,f,Bears,10,8,8,2025-08-06 07:00:00
978-1-74690-211-7,Riley,Brandon,m,Stars,9,12,7,2025-07-12 05:00:00
978-0-7514-4941-9,Johnson,Jason,m,Bears,9,10,8,2025-06-22 09:00:00
978-1-62728-890-3,Williams,Scott,m,Bears,11,9,8,2025-07-21 09:40:00
978-0-03-251549-9,Herrera,Edward,m,Stars,10,6,6,2025-07-04 20:40:00
978-0-19-774436-9,Clark,Rodney,m,Adventurers,9,8,9,2025-07-20 12:20:00
978-0-922409-85-3,Brown,Michele,f,Adventurers,10,10,12,2025-06-01 17:20:00
978-0-585-27568-0,Bell,Paul,m,Bears,10,9,11,2025-07-24 07:40:00
978-0-540-88580-0,Foster,Brandon,m,Stars,10,7,9,2025-07-23 03:00:00
978-1-78436-339-0,Wright,Andrea,f,Adventurers,8,9,8,2025-07-04 02:20:00
978-0-692-42691-3,Mendoza,Robert,m,Adventurers,9,7,9,2025-06-15 02:00:00
978-0-7652-6802-0,Perez,David,m,Bears,9,12,10,2025-08-19 00:40:00
978-0-491-93593-7,Boyd,Ryan,m,Bears,8,8,9,2025-08-29 21:20:00
978-1-75042-385-1,Thompson,Lauren,f,Bears,6,7,11,2025-07-27 11:20:00
978-0-372-05499-3,Hansen,Samantha,f,Adventurers,10,11,10,2025-07-03 19:40:00
978-0-8054-4720-0,Reed,Stephen,m,Stars,8,11,8,2025-06-05 22:40:00
978-1-55758-175-4,White,Ashlee,f,Stars,7,8,9,2025-06-24 16:20:00
978-0-8126-7458-3,Montgomery,Marissa,f,Adventurers,10,8,9,2025-07-11 12:40:00
978-1-883416-62-1,Neal,Alexandra,f,Adventurers,10,11,9,2025-07-20 08:20:00
978-0-269-94745-2,Vasquez,Gregory,m,Adventurers,9,10,10,2025-07-22 07:00:00
978-1-77333-754-8,Nelson,James,m,Bears,7,7,8,2025-08-13 19:40:00
978-1-77635-771-0,Smith,Amanda,f,Bears,9,8,7,2025-06-17 12:20:00
978-1-149-21584-5,Campbell,Kristy,f,Adventurers,10,10,10,2025-07-02 07:40:00
978-1-55143-584-8,Frank,Natalie,f,Stars,7,11,7,2025-08-09 10:00:00
978-1-191-35920-7,Stevens,James,m,Stars,9,6,11,2025-06-19 20:20:00
978-1-81747-654-7,Tanner,Christina,f,Stars,7,6,8,2025-08-22 17:20:00
978-1-380-69591-8,Wells,Eric,m,Adventurers,6,8,7,2025-06-28 14:00:00
978-1-84588-402-4,Heath,Kristen,f,Stars,9,7,8,2025-07-30 20:20:00
978-1-105-81352-8,Brown,Seth,m,Adventurers,10,9,7,2025-06-21 15:40:00
978-1-61275-344-7,Wiley,Oscar,m,Stars,6,9,6,2025-08-21 21:20:00
978-1-64783-696-2,Zamora,Brian,m,Adventurers,9,9,9,2025-07-16 11:40:00
978-1-274-47412-4,Bass,Timothy,m,Bears,8,10,7,2025-06-25 20:40:00
978-1-5220-0557-5,Reid,Anne,f,Adventurers,9,8,8,2025-07-27 17:00:00
978-1-376-10890-3,Hernandez,Thomas,m,Bears,7,8,7,2025-08-18 05:00:00
978-0-01-938376-9,Williams,Lauren,f,Bears,11,12,9,2025-07-22 23:00:00
978-1-898117-19-3,Reyes,Gregory,m,Stars,9,7,12,2025-08-28 14:20:00
978-1-83634-000-3,Lawrence,John,m,Adventurers,9,8,9,2025-07-27 12:40:00
978-1-5160-8313-8,Tucker,Andrea,f,Adventurers,12,8,6,2025-06-05 13:40:00
978-1-58614-700-6,Parker,Stephen,m,Adventurers,9,9,12,2025-07-02 18:40:00
978-1-79042-593-8,Payne,Ryan,m,Bears,9,12,6,2025-08-14 01:00:00
