id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-7298-9771-6,Bennett,James,m,Eagles,8,7,11,2025-07-29 19:40:00
978-1-76111-558-5,Ryan,Catherine,f,Outlanders,10,6,8,2025-08-14 02:20:00
978-0-7047-5923-7,Fletcher,Leonard,m,Eagles,8,10,8,2025-08-13 21:00:00
978-0-494-30633-8,Ramirez,Donna,f,Eagles,9,6,8,2025-07-12 00:00:00
978-1-4028-4766-0,Jones,Jennifer,f,Eagles,8,7,9,2025-06-28 11:00:00
978-0-424-33526-1,Wolfe,Joseph,m,Beavers,11,9,7,2025-08-27 12:00:00
978-1-175-79643-1,Hill,Anthony,m,Outlanders,7,10,8,2025-06-29 22:20:00
978-1-174-38355-7,Mendoza,James,m,Beavers,7,9,7,2025-07-20 01:40:00
978-1-70944-557-6,Gonzales,Sarah,f,Outlanders,10,10,7,2025-08-12 21:00:00
978-1-72144-173-0,Jordan,Sara,f,Beavers,11,7,11,2025-06-21 19:00:00
978-1-264-03019-4,Riddle,John,m,Outlanders,9,12,8,2025-06-27 16:20:00
978-1-892919-01-4,Lamb,Bobby,m,Eagles,6,10,8,2025-08-04 22:40:00
978-1-85879-510-2,Roberts,Robert,m,Eagles,9,6,11,2025-07-01 08:00:00
978-1-201-58819-1,Hardy,Brenda,f,Beavers,9,7,7,2025-08-20 18:40:00
978-1-955269-21-6,Hartman,Veronica,f,Eagles,10,9,9,2025-06-30 14:20:00
978-1-85369-457-8,Adams,Johnathan,m,Beavers,7,7,10,2025-06-30 23:40:00
978-1-261-75741-4,Jimenez,Meghan,f,Eagles,12,9,7,2025-06-21 19:20:00
978-0-88904-593-4,Powell,Adam,m,Eagles,9,9,7,2025-08-05 01:20:00
978-0-613-24662-0,Boone,David,m,Beavers,12,9,8,2025-08-27 00:20:00
978-1-69370-632-5,Phillips,Danny,m,Outlanders,10,10,7,2025-06-16 05:40:00
978-1-5443-1692-5,Mason,Timothy,m,Eagles,7,6,6,2025-08-04 02:00:00
978-1-968153-16-8,Thompson,Kristen,f,Outlanders,10,8,10,2025-06-19 04:20:00
978-1-5258-7631-8,Davis,Paul,m,Beavers,9,9,9,2025-08-17 06:20:00
978-0-214-54496-5,Diaz,Brian,m,Beavers,6,9,9,2025-08-17 16:00:00
978-1-55245-059-8,Ramirez,Maria,f,Outlanders,7,8,7,2025-08-18 17:20:00
978-0-524-80976-1,Smith,Aaron,m,Outlanders,8,9,10,2025-06-06 19:40:00
978-1-06-555772-2,Williams,Molly,f,Beavers,9,7,9,2025-07-19 16:00:00
978-1-268-55391-0,Sanford,Pamela,f,Outlanders,8,7,9,2025-08-01 01:00:00
978-1-70318-109-8,Garcia,Sylvia,f,Outlanders,8,9,7,2025-07-15 21:00:00
978-0-00-410407-2,Knapp,Adam,m,Beavers,8,9,9,2025-07-31 16:40:00
978-0-538-04140-9,Nelson,Micheal,m,Eagles,9,10,7,2025-06-15 10:20:00
978-0-459-82421-1,Barrett,Maria,f,Outlanders,9,8,8,2025-06-25 08:00:00
978-0-7809-5378-9,Smith,Frederick,m,Eagles,12,10,9,2025-08-03 06:40:00
978-1-74023-946-2,Huffman,Patricia,f,Outlanders,9,8,6,2025-07-14 02:00:00
978-0-17-872377-2,Cannon,Reginald,m,Outlanders,6,8,8,2025-07-15 20:40:00
978-1-01-704399-0,Peterson,Martin,m,Outlanders,10,9,8,2025-08-19 11:00:00
978-0-216-61732-2,Burton,Marcus,m,Eagles,9,11,9,2025-06-18 16:40:00
978-0-606-93672-9,Murray,Mario,m,Outlanders,12,11,9,2025-06-19 06:00:00
978-0-565-29844-9,Roberts,Joseph,m,Outlanders,11,6,9,2025-06-10 06:40:00
978-0-632-65945-6,Barrett,Tara,f,Eagles,8,8,11,2025-08-09 18:00:00
978-1-5150-7035-1,Lee,Lacey,f,Beavers,9,11,8,2025-06-30 20:40:00
978-1-60241-924-7,Thompson,Eric,m,Outlanders,11,10,10,2025-08-28 05:00:00
978-1-4146-9518-1,Petersen,Jamie,m,Outlanders,7,9,10,2025-06-08 15:20:00
978-1-02-236022-8,White,Jennifer,f,Eagles,11,8,8,2025-08-16 01:00:00
978-0-85682-956-7,Chapman,Jennifer,f,Outlanders,7,11,8,2025-07-11 13:00:00
978-1-55731-841-1,Cervantes,Jason,m,Outlanders,9,6,7,2025-07-15 06:00:00
978-1-64067-072-3,Johnson,Kristie,f,Beavers,10,12,8,2025-08-13 10:20:00
978-0-9914488-5-2,Rodriguez,Angel,f,Outlanders,9,9,8,2025-06-16 01:00:00
978-1-245-33505-8,Miller,Ariel,f,Beavers,10,9,7,2025-07-16 05:00:00
978-0-06-570301-6,Cox,Keith,m,Eagles,8,9,10,2025-08-08 03:40:00
