id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-8080-1337-2,Wolf,Isaac,m,Explorers,10,8,6,2025-06-19 14:40:00
978-1-60448-283-6,Lee,Kayla,f,Explorers,7,8,9,2025-08-20 17:40:00
978-1-64413-327-9,Sutton,Donna,f,Meteors,6,9,9,2025-08-01 06:00:00
978-0-432-35775-0,Black,Paul,m,Explorers,8,7,7,2025-07-20 20:20:00
978-1-5240-3691-1,Martin,Melissa,f,Outlanders,9,9,6,2025-08-03 05:00:00
978-1-4050-8126-9,Robinson,Michael,m,Meteors,10,9,9,2025-08-02 20:00:00
978-1-132-15329-1,Moreno,Elizabeth,f,Meteors,8,11,10,2025-07-16 08:40:00
978-0-647-38579-1,Nichols,Sherry,f,Explorers,10,10,10,2025-07-23 05:20:00
978-1-123-93095-5,Sullivan,Raymond,m,Meteors,12,11,10,2025-08-04 12:20:00
978-0-528-11927-9,Bowman,Victor,m,Explorers,7,11,9,2025-08-05 09:00:00
978-0-08-011426-2,Ortiz,Alexandra,f,Explorers,11,10,9,2025-06-29 15:20:00
978-1-4565-6007-2,Collins,Michael,m,Outlanders,7,9,12,2025-07-17 04:40:00
978-0-9801366-0-9,Wilson,Angela,f,Outlanders,10,7,8,2025-07-09 22:00:00
978-0-231-06211-4,Parks,Bryan,m,Outlanders,7,9,6,2025-07-29 20:00:00
978-1-69268-130-2,Cain,Theodore,m,Outlanders,7,8,10,2025-06-21 05:20:00
978-0-7331-4237-6,Lee,Taylor,f,Explorers,9,9,8,2025-08-01 18:40:00
978-0-10-014065-3,Dunn,Adriana,f,Meteors,7,7,10,2025-08-25 15:00:00
978-0-00-078928-0,Rodriguez,Donald,m,Explorers,6,10,9,2025-06-07 02:20:00
978-1-00-623151-3,Stein,Jordan,m,Explorers,7,10,10,2025-07-24 12:00:00
978-1-82041-380-5,Allen,Bonnie,f,Outlanders,9,9,10,2025-07-18 08:00:00
978-0-7144-8084-8,Dunn,Daisy,f,Meteors,9,12,9,2025-07-22 06:40:00
978-1-912023-29-5,Scott,Lori,f,Explorers,7,12,7,2025-07-22 11:00:00
978-0-7236-6591-5,Perez,Darryl,m,Outlanders,8,7,8,2025-07-26 06:40:00
978-0-614-64738-9,Mcclain,Heather,f,Explorers,12,9,10,2025-06-24 17:40:00
978-1-913982-28-7,Crosby,Cindy,f,Explorers,7,10,10,2025-07-18 03:00:00
978-0-14-758719-0,Thomas,Tracy,f,Meteors,8,10,10,2025-08-29 01:20:00
978-0-9563604-7-2,Levy,Aaron,m,Outlanders,10,9,7,2025-08-07 05:20:00
978-1-226-91482-1,Perez,Jennifer,f,Outlanders,11,10,7,2025-06-22 22:40:00
978-0-928288-87-2,Moon,Samantha,f,Explorers,6,10,7,2025-06-30 07:20:00
978-0-365-20624-8,Hughes,Kevin,m,Meteors,7,10,12,2025-06-16 05:20:00
978-1-67482-676-9,Silva,Amanda,f,Explorers,6,9,7,2025-07-16 09:20:00
978-0-08-202797-3,Franklin,Amber,f,Meteors,6,9,11,2025-06-13 20:20:00
978-1-249-90813-5,Morris,Christopher,m,Meteors,8,8,8,2025-07-13 22:00:00
978-1-129-51713-6,Evans,Jessica,f,Outlanders,12,8,10,2025-06-27 05:00:00
978-0-04-854283-0,Stevens,Jared,m,Outlanders,11,6,9,2025-08-03 05:00:00
978-1-4473-4491-9,Peterson,James,m,Meteors,8,11,9,2025-08-19 15:00:00
978-0-15-928765-1,Flores,Andrea,f,Outlanders,8,9,9,2025-07-04 15:00:00
978-1-152-98770-8,Ruiz,Andre,m,Outlanders,10,7,12,2025-07-15 17:20:00
978-1-68818-193-9,Kirk,Andrea,f,Explorers,6,10,9,2025-06-21 21:20:00
978-0-480-26463-5,Phillips,Alexis,f,Outlanders,10,8,7,2025-08-07 17:40:00
978-0-19-210723-7,Dodson,Wanda,f,Explorers,9,7,10,2025-07-11 18:20:00
978-1-56860-114-4,Morrow,Eric,m,Explorers,9,8,9,2025-06-01 19:40:00
978-0-454-08312-5,Ayers,Brandon,m,Meteors,6,9,6,2025-08-12 03:00:00
978-1-00-988398-6,Russell,Lisa,f,Meteors,9,8,10,2025-08-17 05:40:00
978-1-214-95154-8,Hernandez,Stephanie,f,Outlanders,9,8,9,2025-07-15 05:00:00
978-1-77166-931-3,Carlson,Katie,f,Explorers,9,8,6,2025-07-22 16:20:00
978-1-75073-709-5,Goodman,Anthony,m,Outlanders,10,9,10,2025-08-23 18:40:00
978-0-409-21708-7,Smith,Jonathan,m,Meteors,8,8,12,2025-08-02 18:00:00
978-0-556-81976-9,Sandoval,Brian,m,Explorers,9,8,8,2025-06-24 13:00:00
978-1-4202-9096-7,Blankenship,Danielle,f,Meteors,8,10,7,2025-06-27 11:20:00
