id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-960791-20-7,Clayton,Dawn,f,Explorers,7,6,8,2025-08-17 13:20:00
978-0-464-36073-5,Nelson,Ashley,f,Explorers,8,8,12,2025-07-15 20:00:00
978-0-695-50387-1,Bond,Denise,f,Wolves,8,9,8,2025-08-21 13:20:00
978-1-04-913136-8,Miranda,Cynthia,f,Wolves,10,12,10,2025-06-03 21:20:00
978-0-414-85780-3,Perez,Jennifer,f,Bears,6,8,8,2025-06-18 15:40:00
978-1-361-07742-9,Vang,William,m,Explorers,10,10,10,2025-06-20 16:20:00
978-0-8389-7751-4,Vance,Raymond,m,Bears,10,8,10,2025-06-30 08:00:00
978-1-75788-176-0,Greer,Sheila,f,Explorers,8,10,6,2025-06-13 00:40:00
978-0-02-781781-2,Russo,Justin,m,Wolves,10,10,9,2025-06-26 13:20:00
978-1-83359-999-2,Powell,Terri,f,Bears,8,7,10,2025-06-26 20:20:00
978-0-14-742766-3,Campbell,Rachel,f,Wolves,9,9,9,2025-06-10 11:20:00
978-0-01-366824-4,Hayes,Stephen,m,Explorers,10,10,8,2025-08-18 20:40:00
978-0-405-44104-2,Ramirez,Traci,f,Explorers,8,7,10,2025-06-22 03:00:00
978-1-959729-25-9,Smith,Thomas,m,Bears,10,8,7,2025-07-03 16:00:00
978-1-956053-03-6,Landry,Ashley,f,Bears,8,9,8,2025-07-08 15:20:00
978-1-56555-011-7,Johnson,Jessica,f,Explorers,10,9,12,2025-06-12 21:40:00
978-0-253-84889-5,Taylor,Shaun,m,Wolves,7,7,12,2025-07-16 00:40:00
978-0-341-52979-8,Mcclain,Raymond,m,Explorers,6,7,10,2025-06-16 23:40:00
978-1-4779-8474-1,Gibson,Jeremy,m,Wolves,8,12,9,2025-07-31 11:40:00
978-1-266-03591-3,Hebert,Taylor,m,Wolves,8,11,12,2025-08-03 20:00:00
978-1-5079-4571-1,Paul,Robert,m,Bears,9,7,9,2025-07-24 13:00:00
978-0-636-17886-1,Watkins,Jennifer,f,Bears,9,10,10,2025-07-14 13:20:00
978-1-06-872191-5,Carter,Kim,f,Explorers,10,9,8,2025-07-03 16:00:00
978-0-908609-79-6,Jimenez,Richard,m,Wolves,7,8,9,2025-08-30 16:40:00
978-0-519-44090-0,Mora,Robert,m,Explorers,8,9,11,2025-07-01 21:40:00
978-1-5245-0098-6,Dixon,Zachary,m,Explorers,6,10,9,2025-08-24 10:00:00
978-0-904535-54-9,Hughes,Kristen,f,Explorers,8,10,9,2025-07-31 06:00:00
978-1-279-69355-1,Hoffman,Jimmy,m,Wolves,11,12,10,2025-08-04 05:40:00
978-0-376-54154-3,Tucker,Richard,m,Bears,9,10,11,2025-06-10 18:00:00
978-0-05-692853-4,Maynard,Arthur,m,Wolves,12,7,10,2025-07-04 23:00:00
978-0-522-51351-6,Davis,Michael,m,Wolves,9,9,10,2025-06-16 06:20:00
978-0-06-751550-1,Roman,Lauren,f,Bears,6,9,7,2025-08-14 21:40:00
978-1-76196-507-4,Mason,Shelby,f,Wolves,9,7,12,2025-08-15 06:40:00
978-0-8046-8076-9,Paul,Melissa,f,Bears,9,9,10,2025-07-11 05:00:00
978-0-18-766979-5,James,Leah,f,Wolves,11,9,9,2025-08-19 04:00:00
978-1-70971-421-4,Johnson,Michael,m,Explorers,9,10,9,2025-06-27 18:40:00
978-1-918481-49-5,Jackson,Jessica,f,Wolves,9,9,12,2025-06-26 15:40:00
978-1-102-15544-7,Gonzales,Devin,m,Explorers,6,10,9,2025-07-07 09:00:00
978-0-339-05179-9,Collins,Chad,m,Explorers,7,8,8,2025-07-19 19:00:00
978-0-215-61488-9,Davies,Ryan,m,Wolves,10,11,12,2025-08-03 16:20:00
978-0-917317-24-8,Martin,Daniel,m,Explorers,10,11,10,2025-08-12 13:40:00
978-0-352-28865-3,Sims,Antonio,m,Explorers,9,8,12,2025-07-28 17:40:00
978-0-7192-3963-2,Brown,Brooke,f,Explorers,8,9,9,2025-06-16 05:20:00
978-0-18-524938-8,Jones,William,m,Bears,6,7,7,2025-07-05 06:00:00
978-1-4474-8035-8,Martinez,Steven,m,Explorers,9,10,6,2025-06-16 10:20:00
978-0-9638701-6-2,Moore,Stephanie,f,Bears,7,10,11,2025-06-12 05:00:00
978-0-9853105-5-4,Garcia,Gregory,m,Wolves,12,7,8,2025-06-27 16:20:00
978-1-5317-7682-4,Gonzales,John,m,Explorers,12,11,7,2025-06-07 21:20:00
978-0-389-05184-8,Ford,Carlos,m,Wolves,10,7,7,2025-07-09 08:20:00
978-0-335-52475-4,Jones,Sean,m,Explorers,9,12,10,2025-08-11 09:40:00
