id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-472-54189-8,Payne,Richard,m,Rangers,9,6,11,2025-07-04 13:00:00
978-0-7901-6618-6,Crawford,Deborah,f,Pathfinders,9,9,9,2025-07-11 19:00:00
978-1-83455-366-5,Nguyen,Gina,f,Pathfinders,8,12,10,2025-07-23 15:40:00
978-0-535-54371-5,Evans,Barbara,f,Adventurers,8,7,9,2025-06-06 07:20:00
978-1-194-79062-5,Robinson,Cody,m,Rangers,11,9,9,2025-08-25 22:40:00
978-0-283-21860-6,Weeks,Dylan,m,Adventurers,6,6,8,2025-06-19 00:20:00
978-0-87830-162-1,Huffman,Traci,f,Rangers,9,8,7,2025-07-24 18:20:00
978-1-4209-2297-4,Scott,Janice,f,Pathfinders,10,8,7,2025-07-11 06:00:00
978-0-536-36327-5,Hart,Gregg,m,Rangers,6,9,8,2025-06-26 07:40:00
978-1-234-76748-8,Chapman,Michael,m,Rangers,9,8,8,2025-07-30 20:20:00
978-0-584-85517-3,Boyer,Joel,m,Rangers,12,11,7,2025-06-28 20:40:00
978-0-8095-2634-5,Silva,Brittany,f,Rangers,11,6,7,2025-08-07 21:40:00
978-0-331-89875-0,Sanders,Bryan,m,Pathfinders,8,9,10,2025-08-24 18:20:00
978-0-307-57189-2,Wright,Robert,m,Pathfinders,10,9,11,2025-06-18 19:20:00
978-0-386-67013-4,Chapman,Shawn,m,Adventurers,10,9,10,2025-08-28 12:00:00
978-0-19-496768-6,Lewis,Jill,f,Pathfinders,9,9,7,2025-06-22 02:40:00
978-0-07-687475-0,Zuniga,Jamie,f,Rangers,11,8,7,2025-08-08 19:40:00
978-0-17-444279-0,Brown,Brandon,m,Rangers,10,7,7,2025-07-27 00:20:00
978-1-77506-002-4,Clark,Mary,f,Adventurers,10,9,9,2025-07-08 23:00:00
978-1-4842-2209-6,Larson,Nicholas,m,Pathfinders,6,10,10,2025-08-02 14:00:00
978-0-17-757417-7,Hunter,Tiffany,f,Adventurers,7,9,7,2025-06-05 05:20:00
978-0-17-232236-0,Cruz,Corey,m,Pathfinders,9,9,10,2025-06-28 05:00:00
978-1-74886-354-6,Cruz,Jennifer,f,Adventurers,10,6,9,2025-08-05 04:40:00
978-1-941692-29-5,Fernandez,Edward,m,Pathfinders,7,6,7,2025-08-28 19:40:00
978-1-69166-506-8,Hicks,Ann,f,Rangers,11,7,6,2025-08-07 08:20:00
978-0-476-19140-2,Davis,Vanessa,f,Pathfinders,10,7,6,2025-08-23 20:40:00
978-0-556-77200-2,Page,Melissa,f,Rangers,6,12,11,2025-07-02 06:00:00
978-0-7670-5285-6,Rios,Mary,f,Adventurers,10,10,8,2025-06-01 18:00:00
978-1-946364-43-2,Tate,Bryan,m,Rangers,7,9,10,2025-06-30 15:40:00
978-0-594-09744-0,Trevino,Brett,m,Adventurers,8,8,9,2025-06-26 21:40:00
978-0-6481466-7-4,Bradshaw,Christopher,m,Rangers,8,9,9,2025-07-04 02:00:00
978-0-7965-3078-3,Carter,Christine,f,Rangers,10,12,10,2025-06-04 14:00:00
978-1-887380-07-2,Chen,Karen,f,Adventurers,9,10,9,2025-07-23 12:00:00
978-1-4828-3334-8,Oconnor,Kenneth,m,Rangers,9,8,10,2025-08-07 01:00:00
978-1-01-521678-5,Hall,Cameron,m,Rangers,7,8,6,2025-07-13 15:00:00
978-1-4871-4239-1,Carter,Shirley,f,Pathfinders,7,9,7,2025-06-02 03:40:00
978-0-485-54453-4,Cunningham,Scott,m,Adventurers,9,7,8,2025-07-03 14:20:00
978-1-55421-998-8,Jacobson,Jimmy,m,Adventurers,6,8,11,2025-07-24 21:40:00
978-1-9865-8255-1,Arias,Larry,m,Pathfinders,6,7,8,2025-07-13 20:20:00
978-0-466-89667-6,Rivera,Jeffrey,m,Rangers,9,7,7,2025-06-10 12:40:00
978-1-66890-530-2,Holland,Gregory,m,Rangers,9,7,11,2025-07-17 06:20:00
978-0-08-349675-4,Salinas,David,m,Adventurers,10,10,10,2025-07-18 08:00:00
978-0-492-60476-4,Pearson,Austin,m,Rangers,12,9,6,2025-06-30 13:40:00
978-1-75676-042-4,Garcia,Antonio,m,Adventurers,10,9,8,2025-06-26 18:40:00
978-0-527-37800-4,Boyd,Dana,f,Adventurers,9,8,8,2025-07-13 09:40:00
978-1-173-16039-5,Watts,Steven,m,Rangers,6,8,11,2025-06-03 13:20:00
978-0-377-18051-2,Miller,Tara,f,Rangers,11,8,6,2025-07-11 16:20:00
978-0-89561-343-1,Gonzales,Kathy,f,Pathfinders,9,9,7,2025-08-29 23:40:00
978-1-872122-19-9,Coleman,Carrie,f,Pathfinders,12,11,10,2025-06-20 16:20:00
978-0-220-69842-3,Davis,Jennifer,f,Pathfinders,12,9,11,2025-07-09 23:40:00
