id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-251-29202-7,Davis,James,m,Outlanders,8,7,7,2025-06-02 23:00:00
978-0-223-26906-4,Beck,Jennifer,f,Outlanders,10,7,9,2025-07-26 22:40:00
978-0-294-50313-5,Freeman,Thomas,m,Trailblazers,12,6,8,2025-08-30 15:40:00
978-1-113-95998-0,Floyd,Darren,m,Outlanders,10,8,9,2025-07-19 04:00:00
978-0-568-89416-7,Reed,Thomas,m,Trailblazers,8,12,12,2025-06-30 14:40:00
978-0-7281-3850-6,Jennings,Joshua,m,Hawks,8,8,7,2025-07-13 06:00:00
978-1-307-57283-4,Wood,Christopher,m,Trailblazers,10,9,8,2025-06-22 11:20:00
978-0-7309-8314-9,Gray,Anthony,m,Trailblazers,8,7,10,2025-07-14 06:40:00
978-1-5013-1453-7,Cervantes,Veronica,f,Trailblazers,10,6,10,2025-08-07 08:00:00
978-0-7432-5552-3,Mcgee,Brittany,f,Outlanders,11,9,9,2025-08-24 20:40:00
978-1-132-13287-6,Thomas,Jessica,f,Outlanders,9,7,8,2025-08-26 16:00:00
978-1-894025-77-5,Jones,Robert,m,Trailblazers,9,10,12,2025-07-22 23:20:00
978-1-64765-523-5,Tucker,Danielle,f,Trailblazers,9,12,8,2025-08-16 16:40:00
978-0-07-909412-4,Peters,Christopher,m,Trailblazers,8,8,7,2025-07-27 09:40:00
978-1-82832-399-1,Curry,Jennifer,f,Outlanders,10,8,7,2025-08-25 23:40:00
978-0-512-28008-4,Johnson,Leslie,f,Outlanders,8,10,6,2025-08-01 15:20:00
978-0-7036-2681-3,Jones,Michael,m,Trailblazers,6,6,6,2025-07-09 05:00:00
978-1-347-89037-0,Kelley,Matthew,m,Hawks,9,10,6,2025-06-08 20:20:00
978-0-236-03775-9,Gutierrez,Aaron,m,Trailblazers,9,9,7,2025-07-09 12:00:00
978-1-315-41528-4,Michael,John,m,Trailblazers,9,10,9,2025-07-13 13:40:00
978-1-890694-68-5,Newton,Charles,m,Trailblazers,8,9,8,2025-06-10 07:00:00
978-0-658-06304-6,James,Frank,m,Outlanders,8,9,9,2025-08-10 05:00:00
978-1-04-404809-8,Larson,Samuel,m,Outlanders,9,8,7,2025-08-07 00:20:00
978-0-565-44011-4,Ferrell,April,f,Outlanders,9,7,10,2025-07-24 07:20:00
978-1-4504-2290-1,Williams,Christopher,m,Outlanders,7,6,12,2025-07-05 08:40:00
978-0-564-27813-8,Weeks,Marc,m,Trailblazers,7,11,7,2025-06-18 02:40:00
978-1-394-41125-2,Blair,Paul,m,Trailblazers,10,10,6,2025-07-11 14:20:00
978-1-67258-161-5,Mitchell,Patrick,m,Trailblazers,9,9,7,2025-07-18 12:40:00
978-0-03-658738-6,Hill,Tyler,m,Hawks,9,12,10,2025-07-22 20:20:00
978-0-686-00905-4,Adkins,Thomas,m,Outlanders,7,10,8,2025-07-10 22:00:00
978-1-7365461-4-7,Perry,Ricardo,m,Hawks,8,7,9,2025-08-30 09:20:00
978-0-676-46544-0,Young,Michele,f,Outlanders,11,10,7,2025-07-02 11:40:00
978-0-575-36113-3,Holland,Aaron,m,Outlanders,10,7,6,2025-07-25 15:00:00
978-1-5052-8990-9,Morales,Russell,m,Outlanders,11,7,7,2025-07-04 08:40:00
978-1-922557-84-1,Neal,Patrick,m,Trailblazers,8,12,9,2025-08-13 19:40:00
978-1-926099-73-6,Brown,Cameron,m,Hawks,9,10,9,2025-08-16 00:20:00
978-1-70455-678-9,Brown,Katrina,f,Hawks,9,10,10,2025-08-27 07:00:00
978-0-9954861-2-6,Wilson,James,m,Hawks,9,9,7,2025-07-15 07:00:00
978-0-9713672-1-0,Henson,Joseph,m,Outlanders,8,9,7,2025-07-15 10:40:00
978-1-55411-912-7,Hall,Robert,m,Hawks,8,9,11,2025-07-24 18:00:00
978-1-4422-6951-4,Mosley,David,m,Trailblazers,9,9,8,2025-06-02 09:00:00
978-0-12-715962-1,Hernandez,Angela,f,Hawks,9,8,11,2025-07-19 13:00:00
978-0-211-89907-5,Smith,Caitlyn,f,Trailblazers,11,9,10,2025-08-08 15:20:00
978-1-358-95156-5,Willis,Jacob,m,Outlanders,9,9,10,2025-08-12 06:20:00
978-0-919198-42-5,Miller,Miguel,m,Trailblazers,9,12,11,2025-06-21 23:00:00
978-1-266-63239-6,Salazar,Donald,m,Hawks,9,12,10,2025-08-22 15:00:00
978-0-8006-8118-0,Gill,Ethan,m,Hawks,9,7,9,2025-07-17 15:20:00
978-0-14-464821-4,Hernandez,Kimberly,f,Trailblazers,8,6,8,2025-08-08 16:20:00
978-0-8280-9165-7,Blair,Alex,m,Trailblazers,9,8,9,2025-07-22 14:40:00
978-0-10-659277-7,Caldwell,Dennis,m,Trailblazers,10,8,9,2025-08-26 14:20:00
