id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-85665-059-8,Stewart,Joshua,m,Explorers,10,11,6,2025-08-29 19:40:00
978-1-885802-95-8,Russell,Daniel,m,Trailblazers,11,9,10,2025-07-30 16:20:00
978-1-71153-597-5,Duncan,Robert,m,Beavers,8,11,11,2025-07-28 04:20:00
978-1-945621-34-5,Morris,Billy,m,Explorers,9,9,7,2025-06-03 22:00:00
978-1-75372-157-2,Cox,Johnathan,m,Trailblazers,9,7,8,2025-06-04 01:40:00
978-0-9717688-3-3,Pierce,Crystal,f,Beavers,7,11,9,2025-08-20 23:20:00
978-1-900456-73-9,Woods,Eric,m,Trailblazers,8,10,12,2025-06-23 18:00:00
978-0-10-351813-8,Mitchell,Matthew,m,Beavers,8,10,9,2025-07-25 10:20:00
978-0-08-503992-8,Lawrence,Craig,m,Explorers,12,7,12,2025-08-16 05:40:00
978-0-594-15902-5,Simon,Ethan,m,Explorers,9,6,9,2025-07-15 16:00:00
978-0-236-33590-9,Smith,Chris,m,Trailblazers,12,6,9,2025-06-12 11:40:00
978-0-7203-2809-7,Garcia,Rebekah,f,Trailblazers,8,6,10,2025-08-16 17:00:00
978-1-4617-6755-8,Watts,Sandra,f,Trailblazers,7,7,8,2025-08-18 21:00:00
978-0-88262-085-5,Sullivan,Joe,m,Explorers,9,6,6,2025-08-24 08:00:00
978-1-257-48905-3,Gutierrez,Kevin,m,Explorers,8,7,9,2025-07-27 04:40:00
978-1-61758-079-6,Cox,Michael,m,Explorers,10,8,11,2025-06-15 13:20:00
978-0-9562141-5-7,Greer,Breanna,f,Trailblazers,8,8,9,2025-08-14 11:40:00
978-1-250-94401-6,Haynes,Linda,f,Trailblazers,8,9,11,2025-06-08 22:20:00
978-0-7874-7339-6,Santos,Gerald,m,Trailblazers,7,6,10,2025-06-10 03:00:00
978-1-09-985599-3,Roman,Devin,m,Trailblazers,8,7,8,2025-06-17 00:40:00
978-0-01-106628-8,Farrell,Yvonne,f,Explorers,9,8,12,2025-08-17 15:00:00
978-1-81199-777-2,Obrien,Cory,m,Explorers,12,9,9,2025-08-23 04:00:00
978-1-4901-3953-1,Harris,Douglas,m,Beavers,11,8,11,2025-07-05 00:20:00
978-0-560-69592-2,Williams,Jerry,m,Explorers,10,10,8,2025-07-23 17:40:00
978-1-04-787633-9,Rodriguez,Sherri,f,Explorers,7,9,8,2025-08-22 16:20:00
978-1-252-53009-5,Kerr,Lori,f,Trailblazers,9,7,7,2025-08-08 13:20:00
978-1-77926-273-8,Nelson,Benjamin,m,Explorers,11,10,10,2025-08-29 21:40:00
978-0-528-39684-7,Parsons,Christopher,m,Explorers,10,9,11,2025-07-20 04:00:00
978-0-690-60049-0,Crawford,Christopher,m,Explorers,9,8,7,2025-06-28 00:40:00
978-1-169-32454-1,Morse,Thomas,m,Beavers,10,9,6,2025-07-01 15:40:00
978-1-81259-228-0,Tapia,Donna,f,Trailblazers,7,8,9,2025-08-23 17:20:00
978-0-04-452091-7,Woodard,Michelle,f,Explorers,8,6,9,2025-07-08 11:40:00
978-0-633-15958-0,Phillips,Catherine,f,Explorers,9,7,8,2025-07-15 02:00:00
978-1-75428-636-0,Hall,Nichole,f,Explorers,10,11,7,2025-08-17 02:20:00
978-0-85383-840-1,Daniel,Tammy,f,Trailblazers,6,7,9,2025-06-23 18:20:00
978-0-9523163-7-4,Moore,Traci,f,Trailblazers,6,7,8,2025-08-25 05:40:00
978-1-362-06134-2,Martinez,Tony,m,Beavers,7,6,9,2025-06-03 19:00:00
978-0-465-93466-9,Garcia,Lorraine,f,Trailblazers,9,8,8,2025-08-29 00:40:00
978-1-85017-422-6,Black,Alyssa,f,Trailblazers,8,8,8,2025-07-12 13:40:00
978-1-130-53837-3,Lopez,Diane,f,Explorers,11,9,11,2025-06-21 13:20:00
978-1-5133-5695-2,Snow,Mark,m,Trailblazers,10,7,9,2025-06-06 15:40:00
978-1-247-39008-6,Frank,Shannon,f,Explorers,8,12,11,2025-06-19 12:20:00
978-0-378-47717-8,Pratt,Frank,m,Beavers,9,8,8,2025-07-28 12:40:00
978-0-02-022898-1,Murphy,Christopher,m,Explorers,10,7,9,2025-07-07 18:20:00
978-0-564-85804-0,Jackson,Barbara,f,Beavers,7,7,8,2025-08-26 10:00:00
978-1-886379-63-3,Cox,Michael,m,Beavers,10,8,9,2025-07-26 17:20:00
978-0-7659-2153-6,Santiago,Tyler,m,Trailblazers,6,8,7,2025-08-07 10:00:00
978-0-18-878534-0,Williams,Sheri,f,Trailblazers,8,11,8,2025-06-10 12:40:00
978-0-930784-78-2,Hughes,Amanda,f,Trailblazers,7,8,12,2025-07-21 11:40:00
978-0-675-31466-4,Hoffman,Carmen,f,Explorers,8,6,7,2025-06-12 17:20:00
