id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-7297-0998-9,Ferguson,Calvin,m,Meteors,12,7,8,2025-08-07 23:00:00
978-1-02-992978-7,Lucas,Matthew,m,Beavers,8,11,7,2025-06-11 08:20:00
978-1-06-551682-8,Thomas,Vincent,m,Meteors,8,8,9,2025-06-07 19:40:00
978-1-327-90320-5,Mccoy,Todd,m,Beavers,8,6,8,2025-08-29 13:40:00
978-0-88588-309-7,Reilly,Thomas,m,Meteors,9,12,8,2025-06-24 21:00:00
978-0-7911-4333-9,Clark,Tyler,m,Eagles,10,8,8,2025-08-30 14:20:00
978-0-10-156396-3,Cox,Marc,m,Eagles,8,6,7,2025-08-18 22:40:00
978-1-05-615203-5,Price,Jessica,f,Meteors,10,9,8,2025-07-28 12:20:00
978-1-316-66697-5,Young,Clarence,m,Meteors,9,9,9,2025-08-14 21:40:00
978-0-9631867-7-5,Thomas,Eddie,m,Eagles,7,9,10,2025-06-18 02:20:00
978-0-438-58450-1,Collins,Juan,m,Eagles,9,7,10,2025-08-26 06:20:00
978-0-09-979066-2,Bennett,Tricia,f,Beavers,12,7,8,2025-07-29 18:00:00
978-0-6488347-2-4,Jones,Ashley,f,Meteors,6,12,7,2025-08-15 11:40:00
978-0-8366-5865-1,Strickland,Chelsea,f,Beavers,11,12,11,2025-06-04 12:20:00
978-1-896731-19-3,Bennett,Jose,m,Meteors,10,10,9,2025-08-16 06:40:00
978-0-614-68931-0,Rodriguez,Gary,m,Beavers,8,11,7,2025-08-13 06:20:00
978-0-472-77584-2,Brandt,Cheryl,f,Eagles,10,9,9,2025-07-18 12:20:00
978-0-683-16085-7,Reed,Deborah,f,Meteors,10,10,7,2025-08-22 20:40:00
978-1-360-67362-2,Shannon,Barbara,f,Eagles,7,8,8,2025-08-30 02:00:00
978-1-7395561-4-3,King,David,m,Eagles,8,10,12,2025-07-13 01:00:00
978-0-390-51527-8,Griffith,Kristie,f,Meteors,7,12,9,2025-06-24 01:20:00
978-0-432-70559-9,Lin,Rachel,f,Beavers,11,9,7,2025-08-21 23:00:00
978-0-14-883315-9,Estrada,Zachary,m,Eagles,7,9,8,2025-06-12 00:20:00
978-0-02-050178-7,Mendoza,Gregory,m,Eagles,11,10,9,2025-06-22 17:40:00
978-0-650-90264-0,Reed,Angel,m,Eagles,10,6,7,2025-07-08 18:00:00
978-0-9688331-8-6,Freeman,Brandon,m,Eagles,8,8,9,2025-07-23 01:40:00
978-1-4146-5235-1,Newman,Autumn,f,Eagles,6,6,9,2025-06-17 22:20:00
978-0-933285-59-0,Rhodes,Alexander,m,Eagles,9,9,9,2025-08-06 03:00:00
978-1-57417-918-7,Day,Breanna,f,Meteors,9,10,9,2025-07-31 17:40:00
978-1-7354103-7-1,Green,Christine,f,Meteors,9,9,6,2025-08-07 08:20:00
978-0-2287-6993-4,Rios,Brooke,f,Eagles,12,7,10,2025-08-17 07:40:00
978-0-564-18519-1,Haas,Elizabeth,f,Beavers,9,12,10,2025-06-26 21:00:00
978-0-7727-8293-9,Chang,Christopher,m,Beavers,9,12,10,2025-08-30 02:40:00
978-1-188-04686-8,Gonzalez,Lori,f,Meteors,11,10,10,2025-06-14 14:20:00
978-0-08-598610-9,Cummings,Curtis,m,Eagles,10,7,8,2025-08-01 19:40:00
978-1-280-87124-5,Gomez,Samantha,f,Meteors,7,9,10,2025-07-10 02:00:00
978-0-929428-16-1,Price,Alexandra,f,Eagles,8,8,9,2025-06-13 15:00:00
978-0-423-41673-2,Chaney,Kristin,f,Beavers,9,8,8,2025-06-24 14:40:00
978-1-313-79706-1,Thompson,Toni,f,Meteors,7,6,11,2025-08-15 02:40:00
978-1-386-54997-0,Wilson,Kimberly,f,Beavers,9,7,6,2025-07-21 10:00:00
978-1-4583-5394-8,Burgess,Danielle,f,Beavers,10,8,10,2025-07-29 20:20:00
978-0-376-89402-1,Mendoza,John,m,Beavers,8,6,9,2025-06-13 18:00:00
978-0-18-337579-9,Murray,Michael,m,Meteors,9,8,9,2025-08-30 07:40:00
978-0-85963-084-9,Leach,John,m,Beavers,8,8,9,2025-07-17 18:00:00
978-1-112-40237-1,Castro,Brooke,f,Meteors,10,11,7,2025-07-01 15:20:00
978-0-601-02086-7,Castillo,Anna,f,Beavers,6,9,7,2025-08-27 08:00:00
978-1-07-777516-9,Thomas,Justin,m,Eagles,6,9,10,2025-07-29 20:00:00
978-0-589-11591-3,Ferguson,Elizabeth,f,Beavers,9,9,7,2025-07-09 13:00:00
978-0-16-117913-5,Hays,Shawn,m,Meteors,12,10,6,2025-06-15 19:20:00
978-1-7391607-3-9,Cherry,Brianna,f,Meteors,9,8,8,2025-06-20 15:20:00
