id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-18-377653-4,Dunn,Carolyn,f,Hawks,8,9,7,2025-06-29 11:20:00
978-0-699-96873-7,Thomas,Angela,f,Explorers,9,8,12,2025-07-12 00:20:00
978-1-941324-39-4,Norris,Dylan,m,Hawks,10,7,10,2025-08-10 20:00:00
978-1-961368-96-5,Parker,Alexis,f,Hawks,8,9,9,2025-07-25 03:20:00
978-1-62950-510-7,Davis,Christina,f,Explorers,12,8,8,2025-07-01 01:20:00
978-1-7349862-7-3,Jenkins,Maria,f,Bears,9,11,9,2025-07-06 22:00:00
978-1-58377-925-5,Ryan,Bryan,m,Bears,7,11,7,2025-06-12 23:40:00
978-1-01-514774-4,Christian,Brenda,f,Explorers,8,11,10,2025-06-10 07:20:00
978-1-367-23708-7,Garcia,Kristin,f,Hawks,7,10,9,2025-07-01 10:20:00
978-0-425-49923-8,Moore,Nancy,f,Hawks,11,9,10,2025-08-03 08:20:00
978-1-5197-2338-3,Fitzpatrick,Edward,m,Hawks,8,9,10,2025-07-22 02:40:00
978-1-61481-860-1,Lopez,Cynthia,f,Hawks,8,7,7,2025-07-24 16:40:00
978-0-356-79932-2,Barber,Matthew,m,Hawks,10,11,9,2025-08-05 02:40:00
978-1-07-333356-1,Hawkins,Amy,f,Explorers,9,12,10,2025-06-30 12:40:00
978-1-63663-861-4,Jones,Bradley,m,Hawks,9,8,12,2025-08-12 19:00:00
978-1-318-20103-7,Salazar,Nathaniel,m,Explorers,8,12,9,2025-07-19 00:20:00
978-0-582-93174-9,Delgado,Erika,f,Bears,8,7,9,2025-06-04 05:20:00
978-0-300-55131-0,Hicks,Lauren,f,Hawks,12,11,8,2025-07-15 20:20:00
978-0-284-19474-9,Torres,Tammy,f,Bears,9,11,6,2025-06-16 04:40:00
978-0-459-15545-2,Farley,Eddie,m,Hawks,10,11,9,2025-06-30 22:20:00
978-1-85168-112-9,Lambert,Dawn,f,Bears,9,9,12,2025-07-08 18:00:00
978-1-08-144300-9,Black,Rhonda,f,Bears,10,9,6,2025-07-22 00:00:00
978-1-70927-667-5,Perkins,Erik,m,Hawks,6,12,9,2025-08-15 17:00:00
978-1-397-74403-6,Cook,Bobby,m,Hawks,10,11,8,2025-08-20 18:20:00
978-0-06-660789-4,Rodriguez,Curtis,m,Explorers,12,7,10,2025-07-30 15:20:00
978-1-908276-59-9,Boyd,James,m,Hawks,8,11,10,2025-07-26 12:00:00
978-1-72043-997-4,Mccall,Tim,m,Bears,7,8,7,2025-07-21 06:20:00
978-0-947401-09-2,Hall,Tina,f,Hawks,9,9,8,2025-08-16 06:00:00
978-0-11-113479-5,Cruz,Rita,f,Hawks,9,8,9,2025-07-18 12:20:00
978-1-4940-9118-7,Roberts,Heather,f,Explorers,9,10,6,2025-06-08 03:00:00
978-1-967819-34-8,Young,Rachel,f,Bears,12,10,7,2025-06-29 17:40:00
978-1-287-43584-6,Powers,Joseph,m,Bears,10,8,11,2025-08-18 02:40:00
978-1-5449-1562-3,Pacheco,Christopher,m,Bears,6,10,10,2025-07-14 07:00:00
978-1-958250-31-0,Brown,Brooke,f,Hawks,10,7,8,2025-06-27 06:20:00
978-0-358-59754-4,Reyes,Aaron,m,Hawks,10,6,8,2025-08-02 14:20:00
978-1-939509-43-7,Howell,Ronald,m,Hawks,9,9,10,2025-08-13 17:00:00
978-0-426-52217-1,Ward,Elizabeth,f,Explorers,9,8,9,2025-06-12 10:00:00
978-1-379-76966-8,Underwood,Mason,m,Bears,8,8,10,2025-08-02 20:40:00
978-1-5498-2345-9,Clay,Richard,m,Hawks,6,10,8,2025-06-29 17:00:00
978-0-7896-4722-1,Gonzalez,Kimberly,f,Bears,10,7,10,2025-06-16 16:00:00
978-1-64054-073-6,Reed,Warren,m,Hawks,8,9,7,2025-07-03 19:40:00
978-1-00-031843-2,Cardenas,Anthony,m,Hawks,10,8,12,2025-08-26 17:00:00
978-0-463-65484-2,Parsons,David,m,Bears,10,9,10,2025-08-19 05:40:00
978-1-299-55625-6,West,Daniel,m,Bears,9,8,8,2025-06-20 00:00:00
978-0-2283-8120-4,Williams,Deborah,f,Explorers,9,8,9,2025-06-19 05:00:00
978-1-4240-7250-7,Williams,Stanley,m,Bears,10,8,9,2025-08-28 22:00:00
978-1-209-74400-1,Tucker,Danielle,f,Explorers,10,10,9,2025-08-11 09:00:00
978-0-592-22977-5,White,Kristy,f,Explorers,9,7,7,2025-08-21 10:00:00
978-0-570-23950-5,Hinton,Marissa,f,Hawks,12,9,7,2025-07-24 07:20:00
978-0-7674-1474-6,Moses,James,m,Explorers,9,10,8,2025-07-31 11:20:00
