id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-4526-5489-8,Duke,Xavier,m,Rangers,8,8,9,2025-07-07 05:20:00
978-0-671-86957-1,Torres,Karen,f,Wolves,10,8,8,2025-06-13 19:40:00
978-1-122-05472-0,Blair,Robin,f,Wolves,11,6,8,2025-08-20 16:40:00
978-1-253-53576-1,Buchanan,Tara,f,Meteors,11,8,8,2025-07-03 19:20:00
978-1-4132-4436-6,Proctor,Dominic,m,Meteors,9,7,9,2025-06-15 00:40:00
978-0-01-196140-8,Guzman,Alec,m,Wolves,8,8,9,2025-08-16 22:40:00
978-1-00-114878-6,Gutierrez,Robin,f,Rangers,7,7,11,2025-07-27 12:40:00
978-0-426-65998-3,Bishop,David,m,Rangers,6,6,7,2025-08-14 13:00:00
978-0-19-897289-1,Sullivan,Adam,m,Wolves,10,10,10,2025-07-10 01:00:00
978-0-202-21070-4,Ross,Shannon,m,Meteors,9,11,8,2025-06-09 11:20:00
978-0-7309-4503-1,Holmes,Timothy,m,Wolves,10,10,6,2025-06-15 17:00:00
978-0-9878098-9-6,Hicks,Brittany,f,Wolves,9,12,6,2025-07-26 04:20:00
978-1-193-42841-3,Lynch,Phillip,m,Meteors,7,9,10,2025-08-09 18:40:00
978-0-486-82480-2,Glass,Susan,f,Wolves,6,10,10,2025-08-05 11:00:00
978-1-63265-013-9,Underwood,Roberta,f,Wolves,9,9,8,2025-06-22 12:20:00
978-1-124-85019-1,Lewis,Kayla,f,Meteors,8,10,9,2025-06-27 09:40:00
978-1-82883-293-6,Miller,Russell,m,Wolves,9,10,8,2025-06-10 15:00:00
978-0-943648-19-4,Carr,Nathan,m,Meteors,10,12,7,2025-06-18 10:40:00
978-1-08-546275-4,Lee,Alexander,m,Rangers,8,9,10,2025-08-15 00:20:00
978-1-972398-06-7,Thomas,Megan,f,Meteors,8,9,6,2025-08-27 13:40:00
978-1-70995-524-2,Blankenship,Lisa,f,Wolves,10,7,9,2025-08-18 19:00:00
978-0-00-407698-0,Evans,Benjamin,m,Rangers,7,8,9,2025-08-03 21:00:00
978-0-934048-17-0,Cameron,Joy,f,Meteors,7,10,10,2025-08-19 12:40:00
978-0-04-057811-0,Martin,Michelle,f,Wolves,7,9,10,2025-06-14 21:40:00
978-1-65121-512-8,Small,James,m,Rangers,9,12,10,2025-08-29 14:20:00
978-1-991343-25-3,Johnson,Kevin,m,Wolves,12,12,11,2025-07-21 04:20:00
978-1-4230-0490-5,Martinez,Jessica,f,Rangers,6,7,7,2025-07-19 10:40:00
978-1-78806-878-9,Martinez,Alexander,m,Wolves,9,7,6,2025-08-07 03:20:00
978-1-06-543337-8,Floyd,Ian,m,Rangers,9,9,8,2025-06-27 06:20:00
978-1-5048-0890-3,Hoffman,Jessica,f,Rangers,8,7,10,2025-07-26 05:00:00
978-0-02-547310-2,Johnson,Derrick,m,Wolves,7,8,11,2025-07-11 01:20:00
978-1-5289-3985-0,Nguyen,Steven,m,Wolves,9,8,9,2025-06-27 14:20:00
978-1-232-16186-8,Chapman,Cassandra,f,Rangers,9,10,10,2025-06-20 14:00:00
978-1-78349-898-7,Flores,Christopher,m,Wolves,10,9,9,2025-06-18 10:20:00
978-1-06-753238-3,Brown,Allen,m,Wolves,9,8,9,2025-07-13 04:40:00
978-1-243-84190-2,Mendez,Judy,f,Rangers,7,10,7,2025-08-12 11:00:00
978-0-211-00310-6,Shepard,Kaitlyn,f,Meteors,10,11,8,2025-08-18 00:00:00
978-1-4789-6538-1,Adams,Erica,f,Wolves,6,10,10,2025-08-27 00:00:00
978-1-921829-01-7,Crosby,Brandon,m,Wolves,8,11,8,2025-08-10 06:40:00
978-0-7780-1020-3,Taylor,Lisa,f,Meteors,7,6,8,2025-08-07 19:00:00
978-0-06-539043-8,Flores,Kristin,f,Meteors,7,10,11,2025-06-17 02:20:00
978-0-641-82459-3,Crawford,Briana,f,Wolves,8,10,7,2025-08-30 21:40:00
978-1-69616-887-8,Reese,Jordan,m,Wolves,12,10,8,2025-07-15 18:00:00
978-0-18-280810-6,Humphrey,Amanda,f,Meteors,7,7,7,2025-06-19 17:40:00
978-0-463-48955-0,Ortiz,Travis,m,Meteors,8,12,9,2025-06-20 10:00:00
978-0-03-847082-2,White,Tiffany,f,Rangers,9,12,9,2025-06-29 09:40:00
978-0-309-28382-3,Simmons,Heidi,f,Meteors,11,6,12,2025-07-27 09:40:00
978-0-479-01051-9,Williams,Robert,m,Meteors,6,7,10,2025-06-16 13:40:00
978-1-315-74175-8,Griffith,Brent,m,Meteors,11,6,12,2025-07-01 23:20:00
978-0-8107-3541-5,Bates,Karen,f,Rangers,10,12,9,2025-07-13 08:00:00
