id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-110-53275-9,Collins,Joann,f,Beavers,12,8,9,2025-08-05 12:20:00
978-1-65964-011-3,Romero,Matthew,m,Otters,9,10,8,2025-06-19 01:00:00
978-0-564-43355-1,Lee,Vicki,f,Otters,7,12,8,2025-06-27 03:20:00
978-1-56153-607-8,Meadows,Daniel,m,Hawks,9,7,7,2025-06-08 18:00:00
978-0-430-56414-3,Walker,Jessica,f,Otters,9,8,7,2025-08-08 18:20:00
978-1-5359-7300-7,Gibson,Joy,f,Otters,8,11,8,2025-08-09 00:40:00
978-1-307-05088-2,Walton,Peggy,f,Otters,12,9,9,2025-08-11 20:40:00
978-1-86492-766-5,Torres,Emily,f,Beavers,10,9,9,2025-08-12 22:20:00
978-0-342-57255-7,Sandoval,Joann,f,Beavers,10,9,7,2025-07-31 12:40:00
978-1-134-64390-5,Hampton,Christopher,m,Otters,9,8,12,2025-08-06 12:00:00
978-0-19-363715-3,Parker,Julie,f,Otters,9,9,9,2025-06-22 14:40:00
978-0-7862-8625-6,Keith,Stacy,f,Otters,8,9,6,2025-08-14 00:00:00
978-1-68780-182-1,Roberts,Joseph,m,Beavers,11,11,9,2025-07-08 23:20:00
978-0-87325-505-9,Morris,Johnny,m,Beavers,11,9,12,2025-08-28 22:00:00
978-1-4014-8439-2,Pham,Jamie,f,Otters,7,9,8,2025-07-12 05:20:00
978-0-308-81832-3,Miller,Jordan,f,Beavers,8,9,9,2025-07-19 07:00:00
978-1-01-183358-0,Rodriguez,Ronnie,m,Hawks,6,8,10,2025-06-12 11:40:00
978-1-152-24985-1,Torres,John,m,Otters,12,10,10,2025-07-11 12:00:00
978-0-202-19957-3,Russell,April,f,Otters,10,6,10,2025-08-02 11:40:00
978-0-501-22521-8,Moreno,Ashley,f,Otters,6,10,10,2025-06-01 14:00:00
978-1-00-264026-5,Harris,Diane,f,Hawks,6,6,6,2025-06-17 22:20:00
978-1-266-31194-9,Campbell,Madison,f,Hawks,12,10,12,2025-06-03 05:40:00
978-0-272-87842-2,Hood,Madison,f,Beavers,10,9,9,2025-08-25 15:40:00
978-0-9990181-7-0,Richards,Sean,m,Beavers,8,11,9,2025-07-30 18:20:00
978-0-7938-9124-5,Campbell,Jessica,f,Hawks,7,7,7,2025-08-26 07:20:00
978-0-02-339163-7,Carson,Samuel,m,Otters,8,9,9,2025-06-05 13:00:00
978-0-17-047949-3,Simmons,Kevin,m,Hawks,11,8,8,2025-07-16 00:20:00
978-0-268-43072-6,Le,David,m,Otters,10,10,6,2025-06-26 23:00:00
978-1-186-92453-3,Castillo,Laura,f,Otters,8,7,8,2025-06-11 15:40:00
978-0-334-99660-6,Johnson,Kelly,f,Beavers,7,9,10,2025-07-17 17:20:00
978-1-75699-567-3,Taylor,Courtney,f,Beavers,11,8,7,2025-06-28 09:40:00
978-0-00-512257-0,Wood,Cheryl,f,Hawks,6,10,9,2025-07-09 10:20:00
978-0-05-626190-7,Murray,Jose,m,Hawks,9,10,10,2025-06-03 06:20:00
978-1-229-96437-3,Ramsey,Jennifer,f,Beavers,6,12,10,2025-06-04 15:00:00
978-0-7200-9580-7,Bentley,Elizabeth,f,Beavers,11,11,9,2025-06-17 05:40:00
978-0-00-134728-1,Park,Candace,f,Beavers,9,7,7,2025-06-27 06:40:00
978-0-397-45842-4,Fernandez,Kimberly,f,Hawks,9,6,8,2025-08-14 00:20:00
978-1-285-53917-1,Wilcox,Daniel,m,Otters,6,7,12,2025-06-03 07:00:00
978-0-04-415069-5,Cohen,Jennifer,f,Hawks,12,11,11,2025-07-14 21:40:00
978-1-331-05733-8,Anderson,Jeremiah,m,Otters,9,11,11,2025-08-03 03:20:00
978-1-4622-9888-4,Arroyo,Lonnie,m,Otters,8,8,12,2025-07-28 13:40:00
978-1-144-88568-5,Berry,Elizabeth,f,Otters,7,11,9,2025-06-21 00:20:00
978-0-8284-2382-3,Rios,Carrie,f,Hawks,7,8,9,2025-07-12 10:00:00
978-0-521-09041-4,Gomez,Cynthia,f,Hawks,8,8,8,2025-08-23 00:00:00
978-1-873781-17-3,Mills,Ashley,f,Beavers,12,7,7,2025-06-29 01:20:00
978-1-299-04124-0,Flores,Clifford,m,Beavers,9,8,7,2025-07-04 14:40:00
978-1-4866-1908-5,Alexander,George,m,Hawks,6,9,12,2025-07-09 09:40:00
978-1-5073-5639-5,Estrada,Dylan,m,Beavers,6,9,11,2025-06-29 13:40:00
978-1-363-83231-6,Robertson,Benjamin,m,Otters,9,9,8,2025-08-26 21:40:00
978-1-4045-3023-2,Hicks,Jason,m,Hawks,9,11,10,2025-06-05 21:40:00
