id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-649-60158-5,Dunlap,Karen,f,Bears,9,7,7,2025-06-12 12:00:00
978-1-01-562796-3,Jones,Jasmine,f,Meteors,12,11,10,2025-06-14 16:00:00
978-0-14-966720-3,Clark,David,m,Bears,7,8,9,2025-08-28 04:40:00
978-0-8467-4782-6,Perez,Tracy,f,Explorers,12,8,9,2025-07-30 20:40:00
978-1-85709-577-7,White,Dawn,f,Meteors,10,10,8,2025-08-02 05:20:00
978-1-896670-54-6,Holland,Kevin,m,Explorers,7,9,11,2025-07-26 07:20:00
978-1-4998-5680-4,Higgins,Richard,m,Bears,6,9,12,2025-06-12 00:20:00
978-0-331-73667-0,Freeman,Joseph,m,Bears,8,12,10,2025-07-02 17:40:00
978-1-78852-910-5,Rangel,Christian,m,Meteors,9,7,8,2025-07-12 16:00:00
978-1-932271-51-5,Hunter,Charles,m,Explorers,10,7,9,2025-07-30 03:40:00
978-1-153-08567-0,Dixon,Brooke,f,Explorers,7,8,6,2025-06-24 04:00:00
978-1-316-51355-2,Williams,Alexander,m,Meteors,11,12,9,2025-06-08 15:40:00
978-1-62739-233-4,Davis,Jose,m,Explorers,7,12,10,2025-06-01 13:20:00
978-1-355-56749-3,Davis,Matthew,m,Meteors,11,8,6,2025-07-28 07:40:00
978-0-8024-7147-5,Gardner,Sherry,f,Meteors,9,9,9,2025-08-08 10:40:00
978-1-5050-4241-2,Terry,David,m,Meteors,8,11,9,2025-08-22 22:00:00
978-1-78201-974-9,Gibbs,Paula,f,Meteors,10,7,9,2025-06-02 21:40:00
978-0-203-08885-2,Brewer,Daniel,m,Bears,7,10,7,2025-06-26 02:20:00
978-0-433-72665-4,Hancock,Jennifer,f,Meteors,9,7,9,2025-08-17 15:40:00
978-0-14-438254-5,Barrett,Cheryl,f,Explorers,7,7,9,2025-07-04 17:40:00
978-1-80431-499-9,Perkins,Tammy,f,Bears,10,8,8,2025-07-17 19:20:00
978-0-07-791434-9,Conley,Kristin,f,Meteors,6,9,6,2025-06-09 23:20:00
978-0-12-674680-8,Schmidt,Ryan,m,Explorers,8,10,8,2025-08-26 22:40:00
978-0-341-65292-2,Erickson,Kevin,m,Meteors,10,9,6,2025-06-20 09:40:00
978-0-9683106-7-0,Collins,Edward,m,Bears,9,8,9,2025-07-16 02:00:00
978-1-67177-481-0,Nicholson,Andrew,m,Bears,8,8,9,2025-08-17 18:00:00
978-1-01-613959-5,Martin,Michelle,f,Meteors,8,7,6,2025-08-07 18:00:00
978-0-445-07950-2,Smith,Lori,f,Bears,9,10,9,2025-07-09 00:20:00
978-1-4795-3057-1,Cunningham,Megan,f,Bears,8,8,6,2025-07-14 01:00:00
978-0-635-61870-2,Thomas,Michelle,f,Bears,9,6,11,2025-07-22 01:40:00
978-0-241-70487-5,Medina,Dean,m,Explorers,10,8,9,2025-06-30 03:40:00
978-0-570-06439-8,Kirk,Christine,f,Meteors,10,7,10,2025-08-15 18:40:00
978-0-384-72739-7,Lane,Rachael,f,Explorers,7,12,12,2025-08-06 19:00:00
978-0-7474-3216-6,Vaughn,Samantha,f,Bears,9,12,9,2025-06-26 08:40:00
978-0-13-042594-2,Hartman,Cody,m,Meteors,7,10,10,2025-06-15 22:40:00
978-1-03-917900-4,Cook,John,m,Explorers,11,6,9,2025-06-29 14:00:00
978-0-287-57434-0,Chandler,Paul,m,Bears,9,8,9,2025-07-21 22:20:00
978-0-453-01654-4,Brown,Patricia,f,Bears,11,9,8,2025-08-26 00:40:00
978-0-9840430-5-7,Martin,Lauren,f,Bears,9,7,9,2025-06-04 16:00:00
978-1-74725-899-2,Johnson,Amanda,f,Bears,7,7,9,2025-07-08 22:40:00
978-1-62208-749-5,Anderson,Julie,f,Meteors,7,12,10,2025-06-13 07:00:00
978-0-398-00890-1,West,Daniel,m,Bears,9,7,12,2025-08-14 03:20:00
978-0-492-82700-2,Barnes,Diana,f,Bears,7,12,10,2025-07-19 05:00:00
978-1-4959-0017-4,Shaffer,Maxwell,m,Explorers,11,6,10,2025-08-29 15:00:00
978-1-964595-36-8,Pratt,Michael,m,Explorers,11,8,6,2025-07-03 01:20:00
978-1-59742-390-8,Harvey,Charles,m,Explorers,6,10,9,2025-08-10 10:20:00
978-1-192-21715-5,Wilson,Zachary,m,Bears,9,6,6,2025-08-12 04:20:00
978-1-287-46620-8,David,Kelly,f,Bears,11,10,9,2025-06-24 09:00:00
978-0-332-35516-0,Vasquez,Cassandra,f,Meteors,9,9,6,2025-07-30 12:40:00
978-0-272-02542-0,Delacruz,Charles,m,Explorers,10,10,6,2025-06-16 10:00:00
