id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-13-128180-6,Howard,Derek,m,Outlanders,12,12,10,2025-08-12 10:40:00
978-1-130-00378-9,Dyer,Kristina,f,Outlanders,10,11,10,2025-06-25 12:20:00
978-0-559-69694-7,Lynch,Willie,m,Comets,8,9,9,2025-08-08 14:40:00
978-0-8260-0829-9,Patel,Tara,f,Rangers,10,8,8,2025-08-29 02:00:00
978-1-77519-421-7,Williams,Alice,f,Comets,10,8,9,2025-08-22 12:20:00
978-1-312-01372-8,Mills,David,m,Comets,10,6,10,2025-07-19 14:40:00
978-1-82730-977-4,Henry,Luke,m,Comets,8,7,9,2025-06-09 02:40:00
978-0-558-41173-2,Carter,Roger,m,Outlanders,12,12,8,2025-07-13 03:00:00
978-0-362-55326-0,Lynn,Mariah,f,Rangers,9,11,10,2025-08-24 20:20:00
978-1-77758-535-8,Shaw,Scott,m,Outlanders,7,8,12,2025-07-19 15:00:00
978-0-270-24440-3,Jackson,Shane,m,Outlanders,7,9,8,2025-07-29 03:00:00
978-0-10-333480-6,Martin,Matthew,m,Comets,9,7,12,2025-08-07 22:40:00
978-1-4732-5105-2,Miller,Jason,m,Outlanders,9,8,7,2025-06-25 05:20:00
978-0-234-24050-2,Waters,Kimberly,f,Rangers,9,12,9,2025-07-08 22:40:00
978-0-17-795856-4,Brown,Blake,m,Comets,9,8,10,2025-08-03 01:00:00
978-1-61876-780-6,Parker,Stephanie,f,Comets,9,12,7,2025-08-05 20:00:00
978-0-85816-301-0,Williams,Cynthia,f,Rangers,12,8,8,2025-06-29 09:00:00
978-1-4922-0915-7,Bender,Paul,m,Comets,7,9,9,2025-08-11 05:20:00
978-0-89831-071-9,Rogers,Alyssa,f,Rangers,8,8,7,2025-06-12 10:00:00
978-0-9801978-5-3,Hampton,Beth,f,Comets,7,7,8,2025-08-29 21:00:00
978-1-81988-528-6,Sanchez,Jody,f,Comets,9,10,11,2025-07-17 07:40:00
978-1-75272-256-3,Parks,Darryl,m,Rangers,12,8,8,2025-07-04 01:20:00
978-1-60558-002-9,Moore,Jeffrey,m,Comets,6,11,8,2025-06-16 00:00:00
978-0-15-166211-1,Lewis,Don,m,Comets,11,6,11,2025-07-25 21:20:00
978-1-00-413932-3,Tate,Sandra,f,Comets,7,11,9,2025-08-06 09:20:00
978-1-184-79631-6,Sanchez,Ryan,m,Rangers,9,9,7,2025-06-02 07:20:00
978-1-4453-5979-3,Austin,Randy,m,Outlanders,8,9,9,2025-06-24 07:20:00
978-1-386-65488-9,Williams,Timothy,m,Rangers,10,9,9,2025-06-04 23:40:00
978-0-8200-2130-0,Mccullough,Casey,m,Rangers,8,7,10,2025-07-17 21:00:00
978-0-272-11223-6,Jones,Mitchell,m,Rangers,8,6,9,2025-08-21 19:00:00
978-1-4176-3638-9,Griffin,Nancy,f,Rangers,8,9,10,2025-07-22 07:20:00
978-0-04-903772-4,Novak,Thomas,m,Rangers,8,9,10,2025-07-09 02:40:00
978-0-449-24070-0,Williams,Janet,f,Rangers,12,9,9,2025-06-02 14:40:00
978-1-66813-357-6,Rogers,Laura,f,Rangers,7,11,12,2025-06-14 21:40:00
978-1-4581-2210-0,Jennings,Jerry,m,Rangers,9,9,11,2025-08-25 02:20:00
978-1-62168-810-5,Flores,Marvin,m,Outlanders,7,9,9,2025-07-10 22:20:00
978-1-81163-078-5,Harris,Cheryl,f,Comets,8,8,12,2025-06-15 08:40:00
978-0-04-859134-0,Hood,James,m,Comets,10,10,10,2025-06-08 11:20:00
978-1-62661-875-6,Weaver,Cody,m,Outlanders,6,8,12,2025-07-07 15:20:00
978-0-913764-50-3,Patterson,Tiffany,f,Outlanders,12,10,9,2025-07-21 20:00:00
978-0-287-56093-0,Moore,Tonya,f,Rangers,9,8,9,2025-06-16 05:00:00
978-1-159-64544-1,Davis,Janet,f,Comets,7,10,8,2025-07-06 17:40:00
978-1-943872-09-1,Rodriguez,Austin,m,Outlanders,10,10,7,2025-08-10 06:40:00
978-0-438-53080-5,Murphy,Christopher,m,Rangers,8,9,7,2025-08-18 15:00:00
978-1-55658-153-3,Robertson,Hannah,f,Rangers,7,10,10,2025-08-11 05:20:00
978-0-287-01326-9,Ramirez,Christopher,m,Comets,9,8,7,2025-07-16 07:20:00
978-1-162-14853-3,Murphy,Matthew,m,Rangers,10,6,9,2025-07-22 07:20:00
978-1-221-21609-8,Acevedo,Julie,f,Comets,6,7,9,2025-06-03 15:40:00
978-1-4568-7232-8,Benson,Manuel,m,Comets,10,12,7,2025-07-03 17:00:00
978-0-633-63794-1,Lambert,George,m,Comets,9,7,7,2025-08-15 13:00:00
