id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-69843-725-5,George,Sean,m,Comets,6,9,6,2025-06-20 12:20:00
978-0-9831390-4-1,Townsend,Cody,m,Trailblazers,11,8,9,2025-07-27 06:20:00
978-0-8465-2109-9,Phillips,Benjamin,m,Rangers,12,8,8,2025-06-23 08:20:00
978-0-356-57591-9,Cameron,Tiffany,f,Comets,7,7,10,2025-07-14 16:20:00
978-0-697-18780-2,Merritt,Jeffrey,m,Trailblazers,11,12,9,2025-06-19 03:20:00
978-0-376-03369-7,Johnson,Adrian,m,Comets,7,11,12,2025-08-04 07:20:00
978-1-71554-516-1,Bryant,Mark,m,Trailblazers,8,7,12,2025-07-29 22:00:00
978-0-901944-10-8,Calderon,Samuel,m,Rangers,6,11,11,2025-08-24 17:20:00
978-0-663-56777-5,Carey,Joseph,m,Rangers,8,10,7,2025-07-14 22:40:00
978-0-8432-1201-3,Adams,Jason,m,Trailblazers,12,6,9,2025-06-25 23:20:00
978-0-223-81797-5,Romero,Christopher,m,Comets,9,9,7,2025-08-10 18:20:00
978-0-8488-2703-8,Thomas,Paige,f,Rangers,9,9,8,2025-07-13 15:40:00
978-0-679-69556-1,Smith,Jeffrey,m,Trailblazers,7,10,7,2025-07-04 04:20:00
978-0-01-601072-9,Hill,Richard,m,Rangers,7,8,8,2025-06-13 18:00:00
978-0-337-56663-9,Matthews,Shawn,m,Comets,11,9,6,2025-06-05 10:40:00
978-0-06-230823-8,Taylor,Margaret,f,Comets,9,11,9,2025-08-16 08:40:00
978-0-370-29435-3,Garcia,Cameron,m,Comets,11,8,6,2025-07-24 13:40:00
978-0-933792-98-2,Wallace,Dustin,m,Comets,11,12,7,2025-06-22 14:00:00
978-0-01-667361-0,Dixon,Matthew,m,Rangers,10,10,7,2025-06-21 17:20:00
978-1-257-00119-4,Fields,Karen,f,Comets,10,7,6,2025-07-17 17:40:00
978-0-7914-7197-5,Graves,Louis,m,Rangers,8,6,7,2025-08-24 09:20:00
978-0-681-42714-3,Castillo,Christopher,m,Comets,10,11,10,2025-08-11 20:20:00
978-0-11-656728-4,Mcdaniel,Patrick,m,Rangers,11,9,9,2025-06-03 17:20:00
978-0-89658-384-9,Castillo,Ronald,m,Comets,10,10,10,2025-06-21 22:00:00
978-0-619-83516-3,Stewart,Bryce,m,Rangers,10,6,9,2025-06-02 20:20:00
978-1-72085-659-7,Romero,Carlos,m,Comets,10,8,9,2025-08-10 18:00:00
978-1-166-19079-8,Castillo,Jennifer,f,Rangers,7,11,8,2025-08-03 01:20:00
978-1-363-46662-7,Edwards,Heather,f,Trailblazers,9,7,7,2025-08-06 16:40:00
978-1-309-40554-3,Davidson,Larry,m,Comets,9,7,6,2025-06-28 06:20:00
978-0-257-86991-9,Bradley,Hannah,f,Comets,7,6,7,2025-08-27 16:40:00
978-1-261-00430-3,Parker,Thomas,m,Comets,7,9,9,2025-06-29 13:00:00
978-1-62504-614-7,Jones,Thomas,m,Trailblazers,7,7,7,2025-07-28 17:00:00
978-1-163-72581-8,Garcia,Edward,m,Comets,12,8,10,2025-06-11 21:20:00
978-0-359-57211-3,Moore,Justin,m,Trailblazers,10,11,9,2025-07-26 18:20:00
978-1-08-011407-8,Greene,David,m,Trailblazers,8,10,7,2025-07-21 21:00:00
978-1-78275-216-5,Brown,Brianna,f,Comets,9,10,7,2025-07-27 19:20:00
978-1-143-35634-6,Baker,Jason,m,Rangers,12,10,10,2025-08-20 17:00:00
978-1-965843-88-8,Freeman,Sara,f,Trailblazers,10,10,8,2025-08-11 23:20:00
978-0-86485-486-5,Flores,Jade,f,Rangers,9,6,7,2025-08-14 22:40:00
978-0-9883951-9-0,Christian,Miguel,m,Rangers,8,11,7,2025-08-12 16:40:00
978-1-71975-426-2,Ayala,Renee,f,Trailblazers,10,8,7,2025-08-28 02:00:00
978-1-264-39205-6,Cox,Roger,m,Comets,10,9,7,2025-07-08 20:40:00
978-1-957491-52-3,Schultz,Charles,m,Trailblazers,6,12,6,2025-08-15 20:40:00
978-1-139-53779-7,Russo,Gregory,m,Rangers,10,9,11,2025-07-11 23:20:00
978-0-305-80100-7,Miller,Sandra,f,Comets,10,8,10,2025-06-15 06:20:00
978-1-64863-423-9,Hayes,Ronnie,m,Comets,12,9,10,2025-08-01 20:40:00
978-1-4529-3670-3,Serrano,Jerry,m,Trailblazers,7,11,10,2025-06-29 12:00:00
978-0-9703949-7-2,Bright,Amanda,f,Rangers,10,7,11,2025-06-08 04:20:00
978-0-297-82270-7,Bell,Joseph,m,Comets,6,6,11,2025-07-27 20:40:00
978-0-371-26788-2,Payne,Benjamin,m,Rangers,9,10,9,2025-06-28 20:20:00
