id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-64302-878-1,Barron,Joshua,m,Otters,10,9,11,2025-07-19 12:20:00
978-0-469-78212-9,Bradford,Lance,m,Trailblazers,8,12,7,2025-08-28 12:20:00
978-1-942915-55-3,Massey,Edward,m,Otters,7,8,7,2025-06-29 10:00:00
978-1-62065-955-7,Underwood,Deborah,f,Otters,9,7,9,2025-08-17 05:40:00
978-1-4801-2498-1,Mills,Christopher,m,Otters,12,7,8,2025-08-06 20:00:00
978-0-423-45645-5,Ward,Brenda,f,Otters,10,6,6,2025-08-30 02:00:00
978-1-79306-135-5,Moore,Katherine,f,Explorers,9,10,9,2025-07-21 06:00:00
978-0-7191-3366-4,Cain,Seth,m,Trailblazers,7,10,9,2025-06-16 03:40:00
978-0-7666-4936-1,Ellis,Mitchell,m,Explorers,7,7,8,2025-06-13 20:20:00
978-0-11-862314-8,Stevens,Rebecca,f,Otters,6,8,9,2025-07-01 16:40:00
978-0-8225-0294-4,Jackson,Sophia,f,Explorers,12,11,9,2025-08-10 12:20:00
978-0-11-342407-8,Wyatt,Kenneth,m,Otters,7,10,12,2025-07-19 04:00:00
978-1-08-897028-7,Oneill,Kelli,f,Explorers,10,10,7,2025-07-24 00:20:00
978-1-4634-4882-0,Foster,Diane,f,Trailblazers,12,10,8,2025-07-27 20:40:00
978-0-433-27097-3,Melton,Charles,m,Otters,9,8,7,2025-07-31 06:00:00
978-1-4690-3736-3,Carter,Erin,f,Otters,12,7,7,2025-07-09 07:00:00
978-1-04-651369-3,Hobbs,Jordan,f,Trailblazers,12,11,7,2025-06-05 11:40:00
978-1-248-30064-0,Griffin,Bryce,m,Trailblazers,9,10,9,2025-07-18 08:40:00
978-1-7388612-2-4,Oliver,Gregory,m,Trailblazers,10,9,8,2025-07-12 15:00:00
978-1-287-12708-6,Benjamin,Megan,f,Otters,9,7,8,2025-07-25 05:40:00
978-0-8368-1916-8,Davila,Alejandro,m,Otters,9,12,9,2025-08-30 15:00:00
978-0-382-64355-2,Kennedy,Heidi,f,Otters,12,9,9,2025-06-09 04:20:00
978-0-486-41225-2,Mitchell,Ann,f,Explorers,7,10,10,2025-08-29 15:00:00
978-0-07-479759-4,Shaffer,Carrie,f,Otters,9,6,9,2025-08-16 05:40:00
978-0-212-42565-5,Smith,William,m,Otters,7,10,10,2025-08-10 09:00:00
978-0-16-118352-1,Sheppard,Kimberly,f,Explorers,8,6,9,2025-06-30 13:20:00
978-1-67373-612-0,Acosta,Laura,f,Explorers,9,8,6,2025-08-17 09:40:00
978-0-7617-7946-9,Fields,Scott,m,Explorers,12,10,9,2025-08-08 16:20:00
978-0-7430-5290-0,Johnson,John,m,Explorers,8,8,6,2025-07-07 20:00:00
978-0-01-018640-6,Keith,Jamie,f,Trailblazers,12,8,9,2025-08-10 02:00:00
978-0-493-33904-7,Clayton,Sean,m,Otters,8,12,9,2025-08-21 10:40:00
978-1-943638-83-3,Long,Mackenzie,f,Otters,7,9,9,2025-07-21 03:20:00
978-1-79709-291-1,Brown,Katie,f,Otters,9,8,7,2025-07-22 03:00:00
978-0-9563266-0-7,Black,Jeffery,m,Trailblazers,7,7,6,2025-06-03 05:40:00
978-0-291-16740-8,Smith,Edward,m,Explorers,6,8,12,2025-07-19 17:40:00
978-0-9841214-7-2,Rodriguez,Gilbert,m,Otters,10,9,8,2025-07-30 00:00:00
978-1-174-09210-7,Cuevas,Jeffrey,m,Trailblazers,12,12,9,2025-08-08 08:20:00
978-0-7632-2195-9,Smith,Joseph,m,Otters,7,9,7,2025-06-14 09:40:00
978-1-876513-18-4,Jones,Jeffrey,m,Otters,11,7,9,2025-07-29 07:40:00
978-0-499-99784-5,Freeman,Kendra,f,Trailblazers,9,8,9,2025-06-17 19:00:00
978-0-86571-261-4,Berry,David,m,Explorers,7,12,10,2025-06-14 08:20:00
978-1-00-962674-3,Rich,Lance,m,Trailblazers,10,7,10,2025-07-14 15:00:00
978-0-03-676629-3,Combs,Thomas,m,Explorers,6,7,11,2025-07-27 17:20:00
978-0-622-93501-0,Wilkerson,Linda,f,Explorers,9,8,9,2025-08-30 10:40:00
978-0-224-73966-5,Hodges,Tammy,f,Explorers,7,7,9,2025-07-31 12:20:00
978-1-00-086686-5,Smith,John,m,Explorers,8,9,9,2025-08-16 02:20:00
978-0-330-95320-7,Schmitt,Teresa,f,Otters,7,9,6,2025-06-23 23:20:00
978-1-946775-49-8,Benson,Kelsey,f,Trailblazers,10,10,7,2025-08-28 10:40:00
978-0-85116-178-5,Kim,Abigail,f,Trailblazers,12,11,8,2025-06-29 08:00:00
978-0-9966480-6-6,West,Melissa,f,Otters,10,9,9,2025-08-16 10:20:00
