id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-14-415549-1,Day,Mia,f,Outlanders,11,10,8,2025-06-21 09:00:00
978-1-226-49079-0,Mathis,Kevin,m,Outlanders,9,6,10,2025-06-24 07:20:00
978-0-333-03379-1,Hill,Katrina,f,Meteors,7,8,11,2025-07-01 22:20:00
978-0-00-841695-9,Miller,Timothy,m,Meteors,10,11,9,2025-07-17 03:00:00
978-1-80070-550-0,Golden,Terri,f,Eagles,9,9,9,2025-06-28 16:20:00
978-0-85690-072-3,Vaughan,Pamela,f,Outlanders,10,7,10,2025-07-26 17:00:00
978-1-55869-838-3,Anderson,Antonio,m,Eagles,8,10,10,2025-07-19 04:00:00
978-0-01-739513-9,Turner,Patricia,f,Eagles,8,8,8,2025-07-23 16:20:00
978-0-484-37944-1,Burke,Danny,m,Outlanders,7,9,10,2025-07-05 08:20:00
978-0-421-37697-7,Gomez,Robin,f,Meteors,10,8,9,2025-08-13 10:00:00
978-1-77273-839-1,Delgado,Melinda,f,Meteors,6,10,8,2025-07-16 09:00:00
978-1-09-929916-2,Evans,David,m,Eagles,10,9,7,2025-06-27 16:40:00
978-0-321-57181-6,Novak,Peter,m,Eagles,8,11,9,2025-07-08 21:40:00
978-0-620-81585-7,Hopkins,Jorge,m,Eagles,7,9,8,2025-06-01 08:20:00
978-0-14-234085-1,David,Nicholas,m,Meteors,8,9,12,2025-06-21 05:00:00
978-1-4357-5136-1,Morrison,Brittany,f,Outlanders,12,7,7,2025-08-27 06:40:00
978-1-80338-119-0,Foley,Nicole,f,Eagles,9,7,12,2025-06-09 13:40:00
978-0-561-43139-0,Kelly,Jose,m,Eagles,9,7,9,2025-07-15 17:20:00
978-0-16-524647-5,Rivera,Jeremy,m,Eagles,7,8,10,2025-07-15 00:20:00
978-0-938643-87-6,Miller,Michelle,f,Outlanders,10,10,7,2025-08-29 09:20:00
978-0-86023-170-7,Trevino,Aaron,m,Outlanders,10,9,8,2025-06-29 12:40:00
978-1-04-109287-2,Harper,Angela,f,Eagles,7,8,8,2025-07-24 00:00:00
978-0-213-55576-4,Crawford,Stanley,m,Meteors,11,6,9,2025-07-25 20:00:00
978-1-4181-4980-2,Mcgrath,William,m,Eagles,11,9,10,2025-07-25 19:00:00
978-0-87414-076-7,Olson,John,m,Meteors,12,8,12,2025-07-16 19:00:00
978-0-544-99949-7,Kim,Norma,f,Eagles,8,7,6,2025-08-10 01:00:00
978-1-09-437129-0,Hester,Peter,m,Outlanders,7,10,8,2025-07-20 15:20:00
978-1-70525-940-5,Lynch,Jared,m,Meteors,8,7,7,2025-06-25 21:20:00
978-0-10-225956-8,Bailey,Maria,f,Meteors,9,7,8,2025-07-25 03:00:00
978-0-7900-0676-5,Evans,Amber,f,Outlanders,7,6,8,2025-07-30 04:20:00
978-0-09-978913-0,Hawkins,Sherri,f,Outlanders,11,7,9,2025-08-17 22:40:00
978-1-84434-595-3,Ortiz,Jordan,m,Outlanders,9,9,9,2025-08-15 02:40:00
978-1-351-11639-8,Gonzalez,Bruce,m,Meteors,12,11,9,2025-08-24 04:20:00
978-1-4934-6813-3,Gross,Gregory,m,Meteors,7,9,10,2025-06-17 20:20:00
978-0-7732-6800-5,Sanders,Kathryn,f,Eagles,7,7,10,2025-08-24 10:40:00
978-1-82388-672-9,Davis,Shannon,f,Outlanders,8,6,8,2025-08-11 18:00:00
978-1-372-29441-9,Rodriguez,Heather,f,Meteors,12,7,10,2025-07-13 17:20:00
978-1-71135-548-1,Cruz,Brandon,m,Meteors,6,9,8,2025-08-03 12:00:00
978-1-195-71796-6,Park,Stephanie,f,Eagles,8,9,7,2025-07-28 21:00:00
978-1-78690-301-3,Franklin,Susan,f,Meteors,9,12,6,2025-07-18 06:40:00
978-1-66429-218-5,Cooper,Cheryl,f,Meteors,8,7,9,2025-06-24 03:40:00
978-0-932763-15-0,Garrison,Justin,m,Meteors,9,8,6,2025-06-12 00:20:00
978-1-176-75583-3,Maldonado,Jose,m,Eagles,10,8,12,2025-07-13 01:20:00
978-0-11-227052-2,Peterson,James,m,Meteors,6,9,7,2025-06-10 00:00:00
978-1-367-78086-6,Ryan,James,m,Meteors,7,8,6,2025-07-09 22:20:00
978-1-02-683051-2,Munoz,Edward,m,Outlanders,9,9,10,2025-08-12 13:40:00
978-1-75590-767-7,Perez,Sherri,f,Outlanders,10,7,12,2025-07-13 03:00:00
978-0-476-12695-4,Martin,Daniel,m,Outlanders,7,7,8,2025-08-09 04:20:00
978-0-01-210082-0,Roberts,Alexander,m,Eagles,12,9,8,2025-06-29 05:00:00
978-0-8375-9084-4,Norton,Misty,f,Eagles,7,9,8,2025-08-09 05:00:00
