id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-9850-7452-1,Nash,Amanda,f,Trailblazers,6,9,10,2025-07-31 17:00:00
978-0-7541-0347-9,Miller,Evan,m,Beavers,11,10,9,2025-06-17 10:00:00
978-1-86927-191-6,Moss,Janet,f,Beavers,8,12,12,2025-07-17 17:40:00
978-0-252-91813-1,Ortiz,Nathan,m,Trailblazers,12,10,9,2025-08-27 11:40:00
978-1-82436-840-8,Jacobson,Bradley,m,Trailblazers,12,7,7,2025-06-07 00:20:00
978-0-88026-615-4,Adams,Rhonda,f,Trailblazers,11,10,9,2025-06-23 13:40:00
978-0-8150-2133-9,Brown,Erin,f,Beavers,8,6,6,2025-06-23 07:00:00
978-0-456-43614-1,Mendoza,Matthew,m,Beavers,10,10,8,2025-08-02 21:00:00
978-1-4733-6961-0,Wolfe,Gina,f,Wolves,8,7,7,2025-07-28 20:20:00
978-1-879585-34-8,Moreno,Valerie,f,Wolves,9,10,11,2025-08-07 09:20:00
978-0-393-26602-3,Thompson,Christopher,m,Beavers,10,7,8,2025-08-18 20:40:00
978-1-173-39312-0,Morgan,Anthony,m,Wolves,9,12,10,2025-07-21 11:00:00
978-1-80660-126-4,Black,Kathryn,f,Beavers,12,9,9,2025-08-02 00:20:00
978-0-350-84645-9,Reed,Andrew,m,Wolves,10,10,7,2025-08-07 05:40:00
978-1-75211-349-1,Wright,Susan,f,Trailblazers,12,7,7,2025-08-05 12:20:00
978-1-85657-486-0,Hudson,Rachel,f,Beavers,10,9,11,2025-07-22 19:20:00
978-1-86125-030-8,James,Ethan,m,Wolves,8,9,11,2025-07-25 07:20:00
978-1-69391-758-5,Phelps,Richard,m,Trailblazers,10,7,7,2025-08-03 17:00:00
978-0-04-352744-3,Sanchez,Dorothy,f,Beavers,7,7,11,2025-06-12 01:40:00
978-0-7298-2220-6,Munoz,Justin,m,Trailblazers,10,10,9,2025-06-17 12:00:00
978-1-79874-400-0,Quinn,Shannon,f,Beavers,12,7,11,2025-08-18 10:00:00
978-0-01-393385-4,Graham,Matthew,m,Wolves,8,12,10,2025-06-05 05:40:00
978-1-64363-937-6,Leonard,Nicholas,m,Trailblazers,7,10,9,2025-08-21 00:00:00
978-0-349-94604-7,Mendoza,Misty,f,Trailblazers,7,10,11,2025-08-24 13:20:00
978-0-238-63820-6,Todd,Mercedes,f,Beavers,9,8,10,2025-06-07 08:00:00
978-0-17-799372-5,Mcdowell,Matthew,m,Wolves,7,9,6,2025-08-16 13:00:00
978-1-59949-929-1,Cuevas,Mackenzie,f,Trailblazers,8,6,12,2025-07-21 22:40:00
978-1-60819-541-1,Perry,Carlos,m,Trailblazers,10,10,12,2025-06-09 08:00:00
978-0-907420-29-3,Martin,Amber,f,Trailblazers,9,10,10,2025-06-05 15:40:00
978-0-310-62267-3,Jones,Jose,m,Trailblazers,11,8,9,2025-08-07 20:40:00
978-0-525-44731-3,Rice,Kathryn,f,Trailblazers,10,11,10,2025-07-29 21:40:00
978-0-319-51976-9,Moore,Chad,m,Trailblazers,6,7,8,2025-06-14 04:00:00
978-0-00-237005-9,Taylor,Michelle,f,Trailblazers,9,12,9,2025-08-13 14:40:00
978-1-00-963043-6,Henry,Robin,f,Wolves,7,9,8,2025-08-10 13:20:00
978-0-8337-7375-3,Lucas,Molly,f,Trailblazers,7,8,6,2025-07-02 21:20:00
978-1-915209-56-6,Griffith,Jenna,f,Beavers,9,9,9,2025-07-26 08:40:00
978-1-916233-05-8,Graham,James,m,Wolves,9,8,8,2025-06-05 21:20:00
978-1-300-48451-6,Wells,Robert,m,Wolves,8,10,10,2025-06-18 11:20:00
978-0-8077-5479-5,Maldonado,Susan,f,Beavers,9,6,8,2025-07-12 08:20:00
978-0-9534526-1-3,Burton,Mary,f,Trailblazers,8,10,10,2025-08-26 19:40:00
978-0-567-94021-6,Pham,John,m,Trailblazers,7,6,9,2025-07-04 21:20:00
978-1-85146-620-7,Pena,Veronica,f,Beavers,10,11,9,2025-06-26 22:20:00
978-1-4103-0508-4,Wong,Kelsey,f,Wolves,11,8,8,2025-06-10 10:20:00
978-0-338-76284-9,Frank,Jeremy,m,Trailblazers,6,12,12,2025-06-22 15:40:00
978-1-75241-303-4,Bautista,Renee,f,Beavers,9,7,11,2025-08-24 17:20:00
978-1-388-76015-1,Underwood,David,m,Wolves,10,7,8,2025-07-30 04:20:00
978-1-00-858498-3,Simmons,Terry,m,Wolves,12,9,9,2025-08-07 11:20:00
978-1-09-357176-9,Wu,John,m,Beavers,10,9,10,2025-08-13 14:00:00
978-0-09-320133-1,Castro,Lisa,f,Beavers,7,8,8,2025-06-09 14:00:00
978-0-8125-1723-1,Harris,Aaron,m,Wolves,9,10,11,2025-07-19 00:40:00
