id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-535-69845-3,Mccoy,Zoe,f,Outlanders,8,8,9,2025-08-19 20:00:00
978-0-12-185567-3,Sanchez,Candice,f,Otters,9,7,11,2025-06-17 20:00:00
978-1-65980-724-0,Ramirez,Mary,f,Outlanders,10,8,8,2025-06-22 02:40:00
978-1-219-15807-2,Ferguson,Alicia,f,Otters,7,10,10,2025-07-16 07:20:00
978-1-71318-045-6,Esparza,Benjamin,m,Otters,10,7,12,2025-07-30 14:00:00
978-0-7735-5610-2,George,Sharon,f,Outlanders,9,11,6,2025-08-03 07:20:00
978-0-7206-4078-6,Jones,Latoya,f,Otters,11,6,7,2025-06-02 19:40:00
978-0-06-085236-8,Lewis,Mark,m,Beavers,10,7,9,2025-07-29 09:20:00
978-1-303-01482-6,Thornton,David,m,Otters,9,12,10,2025-07-30 15:00:00
978-0-504-58024-6,Jones,Tiffany,f,Otters,9,12,8,2025-06-04 13:00:00
978-1-295-51656-8,Lawrence,Kelly,f,Outlanders,6,7,9,2025-08-20 04:40:00
978-0-04-124780-0,Moore,Jason,m,Beavers,11,7,10,2025-08-10 16:40:00
978-1-955582-80-3,Thompson,Angela,f,Outlanders,12,7,10,2025-07-04 13:40:00
978-1-114-51361-7,Daniels,Raymond,m,Beavers,9,6,10,2025-07-16 14:20:00
978-1-71311-155-9,Martin,Barbara,f,Otters,9,11,9,2025-06-27 22:20:00
978-1-4702-4111-7,Barnes,Susan,f,Beavers,10,6,9,2025-07-12 10:40:00
978-0-7593-5892-8,Molina,Madison,f,Beavers,9,10,11,2025-07-07 12:40:00
978-1-4013-7105-0,Dixon,Jennifer,f,Outlanders,8,10,10,2025-06-25 15:20:00
978-0-459-30846-9,Ramirez,Darlene,f,Otters,7,9,7,2025-06-14 06:00:00
978-0-8452-8852-8,Mclaughlin,Steven,m,Outlanders,9,12,9,2025-06-09 10:40:00
978-0-656-70054-7,Mcdaniel,Jennifer,f,Beavers,8,10,7,2025-07-01 18:20:00
978-1-988610-47-4,Herring,Teresa,f,Outlanders,7,9,10,2025-07-08 23:40:00
978-0-309-38020-1,Riddle,Brittany,f,Beavers,7,8,8,2025-08-08 04:40:00
978-0-584-91611-9,Williams,Robert,m,Otters,8,12,6,2025-07-01 06:40:00
978-1-75775-800-0,Wallace,Samantha,f,Otters,6,10,6,2025-06-03 15:20:00
978-0-489-53792-1,Sanchez,Amy,f,Outlanders,10,8,9,2025-07-08 21:40:00
978-0-459-34645-4,Espinoza,William,m,Outlanders,8,11,10,2025-06-08 16:00:00
978-1-60445-312-6,Mcdonald,Eric,m,Otters,9,7,6,2025-07-26 04:40:00
978-1-336-71163-1,Montgomery,Debra,f,Beavers,7,8,12,2025-08-19 21:20:00
978-0-408-40428-0,Ho,Cody,m,Beavers,8,9,11,2025-07-02 15:40:00
978-0-87656-299-4,Thomas,William,m,Beavers,10,9,9,2025-08-16 13:00:00
978-1-9748-0961-5,Hughes,Allison,f,Outlanders,7,8,8,2025-07-31 09:40:00
978-0-675-13867-3,Higgins,David,m,Outlanders,7,10,9,2025-08-02 18:00:00
978-0-470-64587-1,Bradley,Jody,f,Beavers,6,9,7,2025-07-25 07:40:00
978-1-06-566664-6,Jones,Elizabeth,f,Outlanders,9,11,11,2025-07-08 06:20:00
978-1-140-89342-4,Smith,Brittany,f,Otters,8,10,11,2025-08-08 02:40:00
978-1-75126-645-7,Murray,Jeremiah,m,Otters,6,7,8,2025-08-22 03:00:00
978-1-67008-679-2,Wright,Kari,f,Outlanders,11,9,6,2025-07-29 18:40:00
978-0-08-342308-8,Mckee,James,m,Otters,8,10,6,2025-07-01 17:00:00
978-0-7732-0385-3,Joseph,Abigail,f,Otters,9,8,6,2025-08-22 07:20:00
978-1-205-75451-6,Reyes,Kelli,f,Beavers,8,12,8,2025-06-06 00:20:00
978-1-9761-1685-8,Burns,Rebecca,f,Outlanders,7,9,8,2025-06-24 17:20:00
978-0-7084-7337-5,Fuller,Sarah,f,Beavers,10,7,10,2025-07-01 23:40:00
978-1-343-10065-7,Smith,Debra,f,Outlanders,12,9,7,2025-07-20 06:00:00
978-1-76203-184-6,Ward,Kimberly,f,Otters,9,8,7,2025-07-16 13:20:00
978-1-4522-2332-2,Castro,Tammy,f,Outlanders,8,9,12,2025-06-22 23:00:00
978-1-86204-752-5,Williams,Joshua,m,Otters,8,9,7,2025-07-17 10:20:00
978-0-524-18443-1,Hughes,Austin,m,Beavers,12,8,10,2025-07-02 05:00:00
978-0-277-48121-4,Foster,Jessica,f,Beavers,12,6,10,2025-08-05 03:20:00
978-0-457-08443-3,Mclaughlin,Derek,m,Outlanders,9,8,11,2025-06-05 00:00:00
