id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-117-94697-9,Hunter,Hannah,f,Pathfinders,7,6,9,2025-07-01 18:20:00
978-0-85510-580-8,Kelly,Dawn,f,Pathfinders,8,9,7,2025-08-08 06:20:00
978-1-75702-503-4,Serrano,Jesse,m,Pathfinders,10,10,6,2025-07-16 23:00:00
978-1-75665-072-5,Thomas,Laura,f,Otters,7,9,12,2025-06-19 00:00:00
978-1-02-849866-6,Daniels,Brianna,f,Rangers,8,10,12,2025-07-10 20:20:00
978-0-310-17581-0,Wright,Jack,m,Rangers,7,11,7,2025-06-08 14:20:00
978-1-877701-22-1,Curtis,Daniel,m,Rangers,6,9,7,2025-06-29 18:20:00
978-0-8174-5752-5,Contreras,Matthew,m,Pathfinders,12,11,7,2025-06-28 09:40:00
978-0-299-03226-5,Lopez,Kayla,f,Pathfinders,11,11,11,2025-08-04 21:20:00
978-0-14-220761-1,Perez,Christina,f,Rangers,12,10,6,2025-08-18 20:20:00
978-0-309-41957-4,Decker,Brianna,f,Rangers,11,11,12,2025-07-01 05:20:00
978-1-80506-391-9,Wilson,Kayla,f,Otters,7,9,10,2025-08-11 23:40:00
978-0-647-95880-3,Ritter,Jennifer,f,Rangers,12,10,11,2025-07-03 02:00:00
978-0-509-80579-5,Glover,Jason,m,Pathfinders,11,6,10,2025-06-22 08:40:00
978-1-340-57105-4,Davis,Daniel,m,Otters,7,11,8,2025-06-21 22:20:00
978-1-79008-163-9,Maldonado,Debbie,f,Otters,7,11,12,2025-06-19 23:00:00
978-1-58214-368-2,Powers,April,f,Otters,9,12,10,2025-08-18 11:00:00
978-0-299-67412-0,Williams,Shawn,m,Rangers,9,7,11,2025-07-27 09:20:00
978-1-4870-9571-0,Flores,Jessica,f,Rangers,8,10,9,2025-07-21 00:00:00
978-0-507-81617-5,Combs,Jose,m,Pathfinders,12,7,7,2025-07-29 18:20:00
978-1-276-52881-8,Moore,Debbie,f,Otters,9,8,9,2025-08-10 09:40:00
978-1-69751-268-7,Carter,Patrick,m,Otters,12,10,6,2025-07-30 07:40:00
978-0-508-39262-3,Wilson,Michele,f,Rangers,8,10,6,2025-06-10 11:00:00
978-0-536-97251-4,Lawson,Charles,m,Pathfinders,10,7,9,2025-08-23 20:40:00
978-1-5197-9136-8,Ross,Jeremy,m,Pathfinders,7,10,8,2025-08-26 13:40:00
978-0-490-85679-0,Payne,Wendy,f,Rangers,10,7,10,2025-07-16 23:00:00
978-1-874530-76-3,Gallagher,Scott,m,Pathfinders,9,8,7,2025-07-24 22:20:00
978-0-519-37033-7,Mcdaniel,Thomas,m,Pathfinders,12,10,6,2025-08-19 09:20:00
978-1-959189-02-2,Bridges,Tiffany,f,Pathfinders,10,9,9,2025-07-30 09:20:00
978-1-4313-6081-9,Brown,Jon,m,Otters,10,7,10,2025-08-06 05:40:00
978-1-885885-78-4,Hernandez,Todd,m,Otters,7,7,8,2025-08-13 13:20:00
978-1-5188-2882-9,Goodwin,Michael,m,Otters,8,10,8,2025-07-24 11:00:00
978-1-4631-4473-9,Daniels,Kayla,f,Rangers,6,9,8,2025-07-06 19:20:00
978-0-616-53521-9,Hale,Sarah,f,Rangers,11,10,10,2025-08-06 03:20:00
978-0-612-03203-3,Williams,Robin,f,Pathfinders,10,10,9,2025-08-14 11:00:00
978-0-212-08889-8,Matthews,Debra,f,Otters,8,8,8,2025-07-13 12:40:00
978-0-9709711-8-0,Grant,Erica,f,Pathfinders,10,7,12,2025-06-21 12:00:00
978-1-79370-887-8,Roth,Kristen,f,Rangers,10,9,8,2025-07-22 14:00:00
978-0-244-23624-3,Mcmahon,Joshua,m,Otters,8,7,9,2025-08-19 09:20:00
978-1-59714-957-0,Rogers,Brandi,f,Pathfinders,8,12,9,2025-07-19 01:00:00
978-1-893569-95-9,Hernandez,Megan,f,Otters,10,6,6,2025-08-22 14:20:00
978-0-7217-6654-6,Wright,Michelle,f,Otters,12,8,8,2025-08-23 21:00:00
978-0-516-65463-8,Pitts,Jeremy,m,Rangers,11,7,11,2025-07-13 02:20:00
978-0-316-02661-1,Liu,Robert,m,Rangers,11,12,6,2025-07-30 14:00:00
978-0-7437-9180-9,Baker,Crystal,f,Otters,8,8,9,2025-08-01 01:20:00
978-0-665-06354-1,Mcintosh,Carmen,f,Otters,12,6,9,2025-06-29 23:40:00
978-1-188-81695-9,Valentine,Donna,f,Pathfinders,12,10,7,2025-07-21 03:40:00
978-1-220-71011-5,Richards,Robert,m,Pathfinders,6,9,9,2025-08-25 11:20:00
978-0-213-41690-4,Reynolds,Joyce,f,Otters,12,7,7,2025-08-15 12:20:00
978-0-449-15429-8,Weaver,Lauren,f,Otters,11,9,9,2025-06-13 10:20:00
