id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-72058-039-3,Griffith,Derek,m,Hawks,9,9,9,2025-06-23 15:40:00
978-1-229-24214-3,Shaw,Lawrence,m,Hawks,8,8,9,2025-07-07 01:00:00
978-1-07-268167-0,Blackwell,Matthew,m,Pathfinders,10,10,12,2025-08-20 09:40:00
978-0-226-63961-1,Palmer,Elizabeth,f,Rangers,9,9,10,2025-07-30 16:40:00
978-0-8096-0899-7,Foster,Jacob,m,Hawks,8,7,7,2025-08-06 02:00:00
978-1-888704-95-2,Brown,Sarah,f,Rangers,9,10,8,2025-07-22 19:00:00
978-0-921061-74-8,Johnson,Angela,f,Rangers,7,8,9,2025-06-27 11:00:00
978-1-256-40621-1,Boyd,Richard,m,Hawks,6,9,8,2025-07-11 13:20:00
978-1-4157-8685-7,Krause,Bonnie,f,Pathfinders,7,8,9,2025-07-16 03:40:00
978-1-57854-484-4,Brooks,Todd,m,Rangers,6,7,12,2025-07-11 17:40:00
978-1-311-70452-8,Costa,Ryan,m,Pathfinders,9,7,8,2025-06-08 01:20:00
978-1-173-50013-9,Barnes,Vanessa,f,Rangers,11,10,12,2025-06-04 14:00:00
978-1-78139-856-2,Hunt,James,m,Hawks,7,7,12,2025-08-07 14:20:00
978-0-278-73957-4,Rush,Jamie,f,Pathfinders,11,12,7,2025-06-08 07:20:00
978-0-11-442301-8,Trujillo,Nathan,m,Hawks,7,9,10,2025-06-26 03:00:00
978-0-87375-497-2,Diaz,Chad,m,Pathfinders,10,9,10,2025-07-20 06:20:00
978-1-71877-945-7,Cooley,Lance,m,Rangers,10,10,10,2025-08-16 10:20:00
978-0-7249-5761-3,Gillespie,Melissa,f,Pathfinders,8,11,12,2025-06-09 08:40:00
978-1-63877-964-3,Thomas,Cory,m,Hawks,12,9,9,2025-08-20 07:00:00
978-0-11-984494-8,Valdez,Michael,m,Rangers,7,12,9,2025-06-25 23:40:00
978-1-111-75169-2,Hale,Gregory,m,Rangers,8,11,11,2025-08-17 09:00:00
978-0-682-16099-5,Kelly,Ricardo,m,Hawks,11,10,10,2025-08-13 06:20:00
978-0-7791-8385-2,Wallace,Kathy,f,Hawks,8,6,10,2025-08-08 17:40:00
978-1-08-793042-8,Ortiz,Danielle,f,Hawks,6,12,9,2025-07-03 15:20:00
978-1-79959-587-8,Hanson,Stacey,f,Rangers,7,12,11,2025-06-22 05:20:00
978-0-547-16238-6,Sutton,Jeffrey,m,Hawks,9,12,10,2025-08-21 08:00:00
978-0-475-90849-0,Stephens,Michael,m,Rangers,9,9,7,2025-07-02 03:20:00
978-0-372-68482-4,Chandler,Timothy,m,Pathfinders,10,12,10,2025-08-19 15:20:00
978-1-134-76679-6,Monroe,Heidi,f,Hawks,9,9,7,2025-08-06 16:20:00
978-1-923506-58-9,Alexander,Brandy,f,Pathfinders,6,10,9,2025-07-26 13:40:00
978-1-386-12463-4,Robbins,Brad,m,Rangers,8,12,7,2025-07-12 15:00:00
978-1-998942-94-7,Hall,Kelsey,f,Hawks,8,7,12,2025-06-19 15:00:00
978-1-02-894658-7,Gardner,Diana,f,Hawks,11,12,6,2025-07-14 13:40:00
978-0-7684-6697-3,Ray,Bill,m,Rangers,9,6,7,2025-08-06 21:00:00
978-0-699-18149-5,Love,Fernando,m,Pathfinders,12,10,7,2025-06-20 07:20:00
978-0-367-00343-2,Henson,Alexandra,f,Rangers,11,10,9,2025-06-04 13:00:00
978-1-86400-568-4,Stokes,Richard,m,Pathfinders,11,8,9,2025-06-23 17:00:00
978-0-7335-4677-8,Calhoun,Christina,f,Pathfinders,6,8,7,2025-07-29 10:20:00
978-1-85004-780-3,Jennings,Barbara,f,Hawks,11,9,10,2025-07-24 03:00:00
978-1-901626-96-4,Wall,Carlos,m,Rangers,10,7,9,2025-06-29 14:20:00
978-0-04-875510-0,Preston,Tammie,f,Pathfinders,9,8,9,2025-07-29 09:20:00
978-1-5148-9528-3,Ryan,John,m,Rangers,7,7,9,2025-06-05 20:00:00
978-1-288-12526-5,Durham,Donna,f,Rangers,9,10,6,2025-07-14 23:00:00
978-1-05-735716-3,Lee,David,m,Rangers,10,7,9,2025-07-11 18:40:00
978-1-162-19127-0,Wilson,Barbara,f,Pathfinders,8,7,11,2025-08-19 18:00:00
978-0-670-06977-4,Davis,Victoria,f,Hawks,9,8,8,2025-06-04 03:40:00
978-0-328-06227-0,Griffin,Heather,f,Pathfinders,9,8,11,2025-06-28 19:40:00
978-0-638-59534-5,Simpson,Lisa,f,Pathfinders,9,9,10,2025-07-12 20:20:00
978-1-55708-021-9,Wells,William,m,Pathfinders,9,9,9,2025-08-15 04:20:00
978-0-613-89938-3,Brown,Janice,f,Pathfinders,6,10,10,2025-06-19 17:40:00
