id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-4738-8770-1,Drake,Ronald,m,Otters,6,7,9,2025-08-08 15:00:00
978-0-10-947925-9,Rodriguez,Jon,m,Explorers,11,10,7,2025-08-02 18:00:00
978-0-580-95942-4,Huerta,Tina,f,Explorers,9,7,9,2025-06-28 16:20:00
978-0-9839885-3-3,Huffman,Olivia,f,Explorers,10,8,9,2025-06-30 19:20:00
978-1-952385-00-1,Dominguez,Richard,m,Otters,7,12,12,2025-06-23 14:00:00
978-0-662-92381-7,Blankenship,Jessica,f,Rangers,6,7,8,2025-06-10 22:00:00
978-0-7224-9157-7,Walker,Dustin,m,Explorers,9,8,8,2025-06-17 05:40:00
978-1-4439-8089-0,Hernandez,Mary,f,Otters,9,11,8,2025-07-24 08:40:00
978-1-5491-4470-7,Moreno,Deborah,f,Otters,9,9,11,2025-08-30 12:00:00
978-0-348-50274-9,Mckenzie,Heather,f,Rangers,8,12,9,2025-07-04 15:20:00
978-0-390-85364-6,Nelson,Joseph,m,Explorers,9,9,9,2025-07-09 22:20:00
978-0-263-85998-0,Rodriguez,Elizabeth,f,Otters,8,12,11,2025-08-02 03:40:00
978-0-9916694-7-9,Vazquez,Candice,f,Explorers,8,7,12,2025-06-30 00:20:00
978-1-78971-274-2,Sharp,Kimberly,f,Rangers,8,9,8,2025-08-12 23:40:00
978-0-15-842033-2,Smith,Michael,m,Otters,8,6,10,2025-08-27 01:00:00
978-0-651-31345-2,Wilson,Jose,m,Otters,8,10,10,2025-07-22 10:40:00
978-1-80631-561-1,Contreras,Anna,f,Explorers,9,9,6,2025-06-23 20:00:00
978-0-641-53425-6,Carpenter,Taylor,f,Explorers,12,6,12,2025-06-24 15:00:00
978-0-938244-93-6,Garcia,Katherine,f,Rangers,8,9,8,2025-07-24 09:20:00
978-1-877014-66-6,Smith,Timothy,m,Otters,9,9,10,2025-06-07 02:00:00
978-1-56208-347-2,Hernandez,Curtis,m,Explorers,7,9,10,2025-08-22 09:00:00
978-0-303-95006-6,Kennedy,Amy,f,Rangers,9,9,11,2025-07-27 10:20:00
978-0-921887-20-1,Davis,Edward,m,Rangers,8,7,10,2025-08-29 18:00:00
978-0-288-57192-8,Sanchez,Amy,f,Rangers,9,8,8,2025-08-22 04:40:00
978-0-7267-0721-6,Compton,Sonya,f,Rangers,7,9,11,2025-08-19 20:20:00
978-0-01-872034-3,Brown,Carol,f,Rangers,9,9,9,2025-08-25 18:40:00
978-1-09-102627-8,Schmidt,Zachary,m,Explorers,9,6,7,2025-06-22 19:20:00
978-0-567-13475-2,Gonzalez,Stephanie,f,Otters,10,8,9,2025-07-24 16:40:00
978-1-127-15397-8,Smith,Megan,f,Otters,9,10,9,2025-07-24 14:00:00
978-0-16-376214-4,Lynn,Andrew,m,Otters,9,7,7,2025-08-27 19:40:00
978-1-85961-118-0,Howard,Leslie,f,Otters,9,9,9,2025-08-06 23:00:00
978-0-8004-8327-2,Hill,Pamela,f,Explorers,10,9,12,2025-08-06 22:20:00
978-0-7164-6983-4,Porter,Shelley,f,Rangers,10,6,7,2025-07-04 03:00:00
978-1-63907-019-0,Lyons,Christopher,m,Otters,9,9,11,2025-07-20 22:00:00
978-0-7380-3425-6,Johnson,Jessica,f,Rangers,12,6,8,2025-06-13 19:40:00
978-1-224-42799-6,Fuller,Gary,m,Explorers,9,10,10,2025-08-01 08:40:00
978-0-10-811730-5,Ortiz,Stephanie,f,Otters,8,10,8,2025-08-29 23:20:00
978-1-264-79992-3,Ortega,Pedro,m,Explorers,9,6,6,2025-07-01 02:40:00
978-0-545-02959-9,Palmer,Karen,f,Otters,12,7,7,2025-08-02 01:00:00
978-1-57514-713-0,Lee,Heather,f,Rangers,10,9,10,2025-06-16 01:00:00
978-0-926718-99-9,Pope,Chelsea,f,Rangers,9,10,11,2025-07-29 20:20:00
978-0-02-055652-7,Moran,Meredith,f,Explorers,7,10,11,2025-07-07 04:20:00
978-1-62154-525-5,Lee,Brittany,f,Otters,10,12,8,2025-07-15 22:40:00
978-0-16-332544-8,Hawkins,Scott,m,Explorers,7,9,7,2025-07-14 20:40:00
978-1-187-88211-5,Weaver,Ryan,m,Otters,6,9,9,2025-06-01 12:40:00
978-0-04-493737-1,Roach,Teresa,f,Rangers,9,8,8,2025-06-20 10:40:00
978-0-01-191144-1,Brown,Terri,f,Rangers,9,9,9,2025-07-15 00:00:00
978-1-69820-802-2,Gonzalez,Ashley,f,Otters,10,6,12,2025-07-15 22:40:00
978-1-167-85698-3,Smith,Rebecca,f,Otters,8,9,10,2025-07-15 17:00:00
978-1-210-25366-0,Brown,Kelly,f,Explorers,11,10,7,2025-07-23 08:20:00
