id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-185-51364-6,Valdez,Cindy,f,Explorers,7,9,12,2025-08-28 09:00:00
978-1-82188-218-1,Young,Peter,m,Trailblazers,9,10,10,2025-08-05 15:40:00
978-1-4467-6429-9,Crawford,James,m,Rangers,9,7,9,2025-07-13 08:20:00
978-1-55325-749-3,Myers,Daniel,m,Trailblazers,8,10,8,2025-07-16 01:20:00
978-1-73198-381-7,Pennington,Brian,m,Rangers,8,8,6,2025-07-28 15:00:00
978-0-523-98857-3,Jimenez,Bobby,m,Trailblazers,9,8,12,2025-06-20 01:20:00
978-1-67642-936-4,Morris,Sarah,f,Explorers,6,7,10,2025-08-12 21:40:00
978-0-87526-391-5,Ramirez,Megan,f,Rangers,7,11,10,2025-08-15 08:40:00
978-1-55218-641-1,Morales,Steven,m,Explorers,9,9,11,2025-06-14 07:00:00
978-1-4687-6807-7,Cooper,Ryan,m,Explorers,10,9,8,2025-06-12 00:20:00
978-1-106-94151-0,Vargas,Terry,m,Rangers,10,6,10,2025-08-15 17:40:00
978-0-85312-990-5,Armstrong,Mark,m,Trailblazers,6,10,7,2025-06-09 22:20:00
978-0-596-78317-4,Green,Antonio,m,Rangers,7,9,9,2025-06-05 18:00:00
978-1-00-286153-0,Patterson,Joseph,m,Rangers,7,7,9,2025-08-15 06:40:00
978-1-275-02535-6,Wells,Cameron,m,Explorers,9,7,6,2025-06-24 14:20:00
978-1-239-94135-7,Weber,Derrick,m,Trailblazers,6,8,7,2025-08-21 07:00:00
978-1-70926-695-9,Bird,Edward,m,Explorers,7,8,7,2025-08-11 23:20:00
978-1-80418-253-6,Nelson,Rhonda,f,Trailblazers,10,9,9,2025-08-11 16:20:00
978-1-82968-971-3,Moore,Janet,f,Explorers,9,12,9,2025-07-11 01:00:00
978-0-554-95546-9,Lewis,Diana,f,Rangers,11,10,10,2025-07-15 01:40:00
978-0-7038-6576-2,Moody,Jason,m,Rangers,10,7,6,2025-08-16 03:20:00
978-1-4671-8570-7,Brady,Samantha,f,Rangers,10,9,10,2025-08-16 21:00:00
978-0-8156-5101-7,Douglas,Eric,m,Rangers,9,8,10,2025-08-13 21:20:00
978-0-7827-2959-7,Camacho,Andrew,m,Rangers,8,10,9,2025-07-10 09:20:00
978-1-71472-435-2,Mcdonald,Tricia,f,Trailblazers,9,9,12,2025-07-10 13:20:00
978-0-433-98394-1,Stone,Morgan,f,Rangers,11,6,10,2025-08-26 05:00:00
978-1-9736-9898-2,Ellis,Brittany,f,Explorers,10,10,10,2025-06-16 12:00:00
978-0-7762-3788-6,Mccormick,William,m,Explorers,6,9,9,2025-07-09 06:20:00
978-1-243-59349-8,Lawson,Michael,m,Trailblazers,9,10,10,2025-08-27 11:00:00
978-0-8117-2912-3,Carroll,Gene,m,Explorers,6,11,6,2025-06-07 06:40:00
978-0-279-14109-3,Golden,Jennifer,f,Explorers,8,12,6,2025-06-11 05:00:00
978-1-229-52908-4,Smith,Frank,m,Rangers,8,10,9,2025-08-22 14:40:00
978-0-383-86025-5,Craig,Phillip,m,Rangers,8,7,9,2025-07-12 10:00:00
978-0-8324-6426-3,Goodwin,Kyle,m,Trailblazers,8,9,8,2025-07-16 08:00:00
978-0-361-32067-2,Jones,Elizabeth,f,Rangers,11,7,9,2025-07-03 10:20:00
978-1-58700-692-0,Henderson,Alexis,f,Rangers,7,9,7,2025-07-13 13:40:00
978-1-73022-230-6,Vasquez,Julie,f,Rangers,9,6,7,2025-07-07 22:40:00
978-1-933104-28-7,Vaughn,Tommy,m,Explorers,6,11,10,2025-08-09 00:40:00
978-1-4155-1035-3,Hoover,Erin,f,Rangers,9,6,10,2025-08-10 12:20:00
978-1-298-15790-4,Flores,Daniel,m,Explorers,9,6,10,2025-07-09 04:40:00
978-0-9838422-3-1,Taylor,Stephen,m,Rangers,9,9,10,2025-06-14 03:40:00
978-0-552-75365-4,Cervantes,Ruben,m,Rangers,8,7,10,2025-07-08 13:40:00
978-0-942352-26-9,Brennan,Brian,m,Explorers,9,8,10,2025-06-14 20:20:00
978-1-01-337304-6,Hernandez,Courtney,f,Rangers,7,7,6,2025-07-16 00:00:00
978-1-64517-415-8,Landry,Philip,m,Trailblazers,9,10,6,2025-06-25 05:00:00
978-1-03-556787-4,Smith,Jacob,m,Rangers,8,8,9,2025-08-15 17:20:00
978-0-421-19895-1,Hernandez,Phillip,m,Explorers,9,8,9,2025-08-04 23:00:00
978-1-63315-241-0,Spence,Eddie,m,Trailblazers,7,11,10,2025-08-11 12:40:00
978-0-573-74540-9,Clark,Mathew,m,Explorers,7,10,11,2025-08-20 17:20:00
978-0-7351-3918-3,Sanchez,Kimberly,f,Rangers,9,6,11,2025-06-04 01:20:00
