id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-972859-92-6,Hamilton,Jenna,f,Rangers,9,6,7,2025-07-29 13:40:00
978-1-291-98184-1,Fletcher,Heather,f,Stars,7,9,8,2025-07-13 17:20:00
978-0-13-404934-2,Obrien,Holly,f,Rangers,12,9,8,2025-08-21 21:40:00
978-1-969276-90-3,Wilson,Heather,f,Bears,10,10,9,2025-07-18 18:40:00
978-1-968484-28-6,Nguyen,Sabrina,f,Stars,7,9,7,2025-06-11 19:40:00
978-0-482-37574-2,Ramirez,Lindsey,f,Stars,9,8,9,2025-06-26 19:00:00
978-0-8255-6688-2,Wagner,Emily,f,Stars,8,9,9,2025-08-01 13:20:00
978-0-7749-8776-9,Carter,Mary,f,Bears,8,8,6,2025-08-18 20:00:00
978-0-226-62752-6,Baker,Christina,f,Stars,10,12,9,2025-07-22 13:00:00
978-1-5184-7608-2,Wilkins,Patrick,m,Rangers,10,9,12,2025-06-03 23:40:00
978-1-362-73011-8,Love,Jason,m,Stars,7,7,11,2025-08-30 12:00:00
978-1-210-73028-4,Jones,Amanda,f,Rangers,12,8,9,2025-08-13 22:00:00
978-0-18-801582-9,Green,Hannah,f,Rangers,11,10,9,2025-06-14 01:20:00
978-1-105-50604-8,Williams,Sean,m,Rangers,6,8,9,2025-08-19 13:40:00
978-1-72147-408-0,Brown,Brenda,f,Stars,10,9,10,2025-08-02 01:20:00
978-1-76572-939-9,Mcdowell,Kimberly,f,Rangers,11,11,11,2025-08-22 03:00:00
978-0-04-739635-9,Hill,Charlene,f,Rangers,7,8,8,2025-08-01 04:40:00
978-1-137-04177-7,Collier,Christina,f,Bears,9,7,8,2025-06-17 22:20:00
978-1-147-91712-3,Mckinney,Ralph,m,Stars,12,9,9,2025-07-04 18:00:00
978-0-7825-2978-4,Faulkner,Mary,f,Bears,6,7,8,2025-06-28 04:40:00
978-0-07-398285-4,Garcia,Tracy,f,Bears,9,7,10,2025-07-14 00:40:00
978-0-7418-7749-9,Dennis,Melanie,f,Stars,10,9,12,2025-06-29 01:00:00
978-0-9782486-2-8,Thomas,Alyssa,f,Bears,8,10,12,2025-07-05 18:40:00
978-0-201-65172-0,English,Rhonda,f,Stars,12,9,10,2025-07-12 16:20:00
978-0-04-551333-8,Nelson,Kara,f,Bears,6,7,11,2025-07-17 16:40:00
978-0-431-97650-1,Morales,Kevin,m,Stars,8,11,7,2025-06-11 15:20:00
978-0-7771-7656-6,Miles,Julie,f,Rangers,12,10,9,2025-08-06 20:20:00
978-0-04-636023-8,Pratt,Jordan,f,Bears,6,9,9,2025-06-29 15:00:00
978-0-391-11428-9,Tapia,Holly,f,Rangers,7,12,10,2025-06-03 17:00:00
978-1-7329713-3-2,Bird,Kelli,f,Stars,7,8,11,2025-08-03 18:20:00
978-0-248-59381-6,Peterson,Matthew,m,Rangers,7,7,9,2025-08-16 03:40:00
978-0-200-03465-4,Rivera,Lisa,f,Rangers,7,8,6,2025-06-06 21:00:00
978-0-07-768123-4,Johnson,Melissa,f,Rangers,10,8,7,2025-06-23 20:00:00
978-1-08-640922-2,Russell,Claudia,f,Bears,9,7,6,2025-08-29 09:00:00
978-0-416-75008-9,Miller,Ashley,f,Bears,11,10,6,2025-08-24 18:40:00
978-1-960957-16-0,Weiss,Shane,m,Rangers,6,7,11,2025-07-21 14:20:00
978-0-7875-2480-7,Osborn,Christy,f,Rangers,10,7,8,2025-06-22 02:40:00
978-1-03-762640-1,Soto,Stephanie,f,Stars,6,7,12,2025-07-28 00:20:00
978-0-208-89362-8,Willis,Heather,f,Stars,11,7,6,2025-06-19 20:40:00
978-0-9593202-0-6,Sanchez,Kristin,f,Bears,8,11,11,2025-07-30 09:40:00
978-0-8391-0294-6,Jenkins,Michelle,f,Rangers,8,8,9,2025-06-10 03:40:00
978-0-546-58937-5,Lee,Johnny,m,Stars,7,9,10,2025-06-08 18:00:00
978-0-647-31643-6,Salas,Lori,f,Rangers,10,6,10,2025-06-21 09:20:00
978-1-390-90367-6,Cook,Laura,f,Bears,9,7,10,2025-06-24 22:00:00
978-1-4256-4299-0,Pitts,John,m,Stars,10,9,8,2025-08-30 13:20:00
978-0-15-620021-9,Massey,Joseph,m,Stars,9,8,8,2025-07-13 16:00:00
978-1-288-08040-3,Boyle,Glenn,m,Bears,9,10,9,2025-07-18 12:00:00
978-0-941178-15-0,Lee,Patricia,f,Bears,9,11,10,2025-08-10 12:00:00
978-0-8408-4048-6,Cooper,Brooke,f,Stars,8,9,12,2025-08-13 17:40:00
978-0-246-21170-5,Rose,Alexis,f,Bears,10,9,7,2025-06-07 02:40:00
