id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-17-746956-5,Morgan,Jill,f,Wolves,8,8,10,2025-06-01 13:00:00
978-1-57082-536-1,Martinez,Brittany,f,Wolves,9,8,8,2025-08-17 12:20:00
978-0-559-74725-0,Chang,Erin,f,Wolves,10,6,9,2025-07-20 20:40:00
978-1-217-05017-0,Henderson,Chad,m,Wolves,7,12,7,2025-08-28 20:00:00
978-0-611-24341-6,Washington,Shane,m,Rangers,10,7,8,2025-07-28 23:00:00
978-1-04-558793-0,Turner,Sherri,f,Wolves,9,12,6,2025-08-12 05:00:00
978-0-357-49409-7,Price,Danielle,f,Rangers,8,7,12,2025-08-07 02:00:00
978-0-14-315614-7,Davis,Alexis,f,Beavers,8,9,7,2025-08-30 02:20:00
978-0-09-900570-4,Jackson,Elizabeth,f,Beavers,9,9,8,2025-06-22 15:20:00
978-1-4563-0314-3,Brady,Edward,m,Wolves,9,10,9,2025-07-04 22:40:00
978-0-564-21173-9,Warren,Jacqueline,f,Rangers,10,7,7,2025-08-25 04:20:00
978-1-335-09219-9,Phillips,Megan,f,Beavers,9,10,9,2025-07-12 08:00:00
978-0-7254-7251-1,Graham,Kristi,f,Rangers,8,7,12,2025-07-10 13:40:00
978-0-646-06561-8,Rodriguez,Edward,m,Rangers,6,10,10,2025-08-30 09:40:00
978-1-5196-5861-6,Galvan,Stacey,f,Rangers,9,9,6,2025-06-30 00:20:00
978-0-7817-6401-8,Wells,Steven,m,Beavers,8,10,11,2025-06-03 10:00:00
978-0-583-37826-0,Brown,Beverly,f,Wolves,9,9,7,2025-08-02 15:20:00
978-1-83420-394-2,Francis,Desiree,f,Rangers,7,8,9,2025-08-10 22:00:00
978-1-56203-370-5,Green,Jessica,f,Beavers,10,12,8,2025-08-08 03:40:00
978-1-58624-316-6,Thompson,Kevin,m,Wolves,11,11,7,2025-08-16 14:40:00
978-1-890195-81-6,Gonzalez,Rachel,f,Rangers,10,10,9,2025-07-18 05:00:00
978-1-68077-425-2,Rice,Erin,f,Wolves,7,7,12,2025-08-24 22:20:00
978-1-4300-0324-3,Martin,Shane,m,Wolves,12,6,10,2025-06-27 15:20:00
978-1-249-81403-0,Martin,Evan,m,Beavers,10,10,11,2025-08-15 18:00:00
978-0-206-84987-0,Doyle,Marcus,m,Wolves,7,9,6,2025-07-15 04:20:00
978-0-10-567708-6,Potter,Whitney,f,Wolves,10,7,6,2025-06-25 17:00:00
978-0-9872922-1-6,Padilla,James,m,Beavers,7,11,10,2025-08-06 14:20:00
978-0-260-37082-2,Webb,Amy,f,Wolves,9,9,6,2025-08-25 02:40:00
978-1-899451-42-5,Smith,Anthony,m,Rangers,8,10,8,2025-08-04 08:00:00
978-1-81914-171-9,Jackson,Joe,m,Wolves,7,7,10,2025-08-10 02:40:00
978-1-392-11369-1,Dixon,William,m,Rangers,12,12,7,2025-07-16 23:00:00
978-0-920571-46-0,Ellis,Samuel,m,Beavers,12,7,9,2025-06-16 12:40:00
978-1-244-18048-2,Vazquez,Joshua,m,Beavers,8,9,7,2025-06-15 16:00:00
978-0-466-72181-7,Miller,Timothy,m,Rangers,8,8,10,2025-08-15 20:00:00
978-1-989032-92-3,Rodriguez,Ashley,f,Wolves,10,9,9,2025-06-05 20:40:00
978-0-7125-5948-5,Wilkerson,Anthony,m,Beavers,8,7,12,2025-07-08 15:20:00
978-0-00-237717-1,Hill,Brittney,f,Rangers,8,10,7,2025-08-02 09:00:00
978-1-62635-662-7,Benitez,Ricky,m,Wolves,9,11,9,2025-07-18 08:40:00
978-0-446-07350-9,Rodriguez,Todd,m,Rangers,9,10,6,2025-08-08 10:00:00
978-1-63886-288-8,Dixon,Jordan,f,Beavers,10,8,10,2025-06-15 15:20:00
978-0-676-43192-6,Yang,Charles,m,Wolves,8,11,6,2025-07-29 22:40:00
978-0-578-63056-4,Ford,Jaime,m,Wolves,8,7,9,2025-07-23 15:40:00
978-0-613-84448-2,Roberts,Kurt,m,Rangers,8,12,7,2025-06-20 15:40:00
978-0-87846-376-3,Thompson,William,m,Wolves,12,7,10,2025-08-18 18:20:00
978-0-371-45577-7,Harrison,Michelle,f,Rangers,6,7,6,2025-06-19 03:20:00
978-1-85063-291-7,Smith,George,m,Beavers,10,7,12,2025-08-03 18:20:00
978-1-159-41532-7,Wilson,Daniel,m,Beavers,10,9,9,2025-06-12 11:20:00
978-1-68155-756-4,Miller,Matthew,m,Rangers,10,10,8,2025-06-10 02:20:00
978-0-553-37877-1,Brown,Anthony,m,Rangers,10,7,9,2025-07-12 03:00:00
978-0-9958705-5-0,Potter,Benjamin,m,Rangers,8,8,9,2025-06-06 07:20:00
