id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-246-28512-6,Curtis,Margaret,f,Wolves,11,7,11,2025-07-27 09:40:00
978-0-8420-5057-9,Henderson,Natalie,f,Wolves,10,9,6,2025-07-07 06:40:00
978-1-4171-9638-8,Little,Lisa,f,Adventurers,11,9,8,2025-08-09 15:20:00
978-1-5003-2808-5,Jones,Mary,f,Wolves,7,8,9,2025-06-28 20:20:00
978-1-366-93694-3,Hartman,Carla,f,Adventurers,6,10,10,2025-06-19 14:00:00
978-0-8478-8972-3,Terry,Benjamin,m,Pathfinders,6,9,10,2025-08-26 09:00:00
978-0-251-82122-7,Hardy,Nicholas,m,Wolves,8,9,12,2025-07-29 20:20:00
978-0-03-917901-4,Cunningham,Barry,m,Adventurers,10,10,10,2025-08-25 11:20:00
978-1-877741-19-7,Tyler,Wendy,f,Adventurers,9,8,10,2025-06-30 05:20:00
978-0-7803-6738-8,Liu,Maria,f,Adventurers,10,8,10,2025-08-25 06:20:00
978-0-394-04875-8,Rodriguez,Kenneth,m,Pathfinders,8,11,10,2025-07-31 10:20:00
978-1-124-95392-2,Meyers,Larry,m,Wolves,7,7,8,2025-07-06 02:40:00
978-0-239-34149-5,Jenkins,Sabrina,f,Wolves,10,9,9,2025-06-09 21:20:00
978-1-392-31755-6,Wood,Arthur,m,Pathfinders,7,9,11,2025-07-03 11:20:00
978-0-224-38325-7,Duran,Robert,m,Wolves,8,9,8,2025-07-30 16:20:00
978-1-238-70820-3,Smith,Lee,m,Adventurers,9,9,6,2025-06-26 19:20:00
978-1-252-82642-6,Woods,Sarah,f,Adventurers,7,12,8,2025-07-06 20:40:00
978-1-04-721208-3,Jones,David,m,Pathfinders,7,7,9,2025-07-20 16:40:00
978-0-947089-58-0,Howard,Michael,m,Adventurers,7,8,9,2025-07-27 18:00:00
978-0-88196-347-2,Jones,Brian,m,Pathfinders,7,9,7,2025-07-16 02:40:00
978-0-206-08280-2,Watkins,Travis,m,Pathfinders,10,9,10,2025-06-11 06:20:00
978-1-4061-0781-4,Obrien,Mallory,f,Pathfinders,9,7,7,2025-07-02 08:40:00
978-0-335-83549-2,Becker,Tiffany,f,Pathfinders,9,9,10,2025-06-07 17:20:00
978-0-408-08768-1,Daniels,Shane,m,Pathfinders,12,6,7,2025-08-28 04:40:00
978-1-4981-2914-5,Torres,Jodi,f,Adventurers,10,11,10,2025-06-04 08:20:00
978-0-597-86820-7,Silva,Michael,m,Pathfinders,8,7,11,2025-08-17 23:40:00
978-1-330-92926-1,Hayes,Dominique,f,Wolves,8,7,11,2025-06-27 17:40:00
978-1-65786-270-8,Williams,Eric,m,Adventurers,7,8,12,2025-06-15 08:40:00
978-1-4522-3335-2,Mann,Miranda,f,Pathfinders,11,9,9,2025-07-10 08:20:00
978-0-9831289-6-0,Lynn,Carly,f,Wolves,11,12,8,2025-07-26 02:20:00
978-1-66721-384-2,Beard,Lisa,f,Wolves,7,12,12,2025-07-05 18:40:00
978-1-78249-598-7,Moore,Stephen,m,Wolves,9,8,7,2025-07-09 06:00:00
978-1-71542-304-9,Kim,Nicole,f,Pathfinders,7,9,7,2025-07-30 02:40:00
978-1-09-030402-5,Torres,Kim,f,Wolves,11,9,7,2025-08-04 08:00:00
978-0-10-147677-5,Nunez,Angela,f,Adventurers,11,11,11,2025-07-20 04:20:00
978-1-63426-183-8,Mcclain,Kristin,f,Pathfinders,12,12,6,2025-06-22 02:00:00
978-0-06-512130-8,Glenn,Casey,m,Adventurers,9,12,10,2025-08-24 05:40:00
978-0-652-07194-8,Clarke,Jennifer,f,Wolves,8,8,7,2025-06-08 05:20:00
978-1-5194-8989-0,Sanders,Melissa,f,Adventurers,6,7,7,2025-07-08 05:00:00
978-1-00-711437-2,Whitney,David,m,Pathfinders,7,10,8,2025-06-28 08:00:00
978-1-83314-756-8,King,Philip,m,Wolves,9,7,10,2025-06-24 18:40:00
978-0-319-63224-6,Robinson,Debra,f,Pathfinders,7,7,7,2025-08-06 13:40:00
978-1-105-74690-1,Wright,John,m,Pathfinders,9,10,12,2025-06-18 14:40:00
978-0-455-61603-2,Gonzalez,Sheena,f,Wolves,10,9,9,2025-08-01 20:20:00
978-1-71802-431-1,Burnett,Elizabeth,f,Wolves,6,8,10,2025-06-17 04:20:00
978-0-933585-51-5,Phillips,Troy,m,Pathfinders,10,10,11,2025-07-20 17:20:00
978-1-364-49347-9,Jackson,Jennifer,f,Adventurers,6,7,7,2025-06-22 21:20:00
978-1-150-29935-3,Weaver,Robert,m,Pathfinders,9,7,6,2025-07-24 07:40:00
978-0-332-29433-9,Sloan,Stacey,f,Pathfinders,9,9,7,2025-08-21 22:20:00
978-0-244-92262-7,Roberts,Wesley,m,Adventurers,8,7,9,2025-06-13 01:40:00
