id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-5352-6972-8,Simpson,James,m,Hawks,12,9,11,2025-07-27 15:20:00
978-0-512-07606-9,Mueller,Kimberly,f,Hawks,9,6,6,2025-06-26 15:00:00
978-1-66724-723-6,Smith,John,m,Eagles,8,8,9,2025-07-10 12:00:00
978-0-04-833251-6,Salinas,Keith,m,Eagles,6,8,12,2025-07-16 22:00:00
978-0-7386-7558-9,Blake,Steven,m,Hawks,10,7,8,2025-07-18 18:20:00
978-0-300-05120-9,Walker,Joshua,m,Hawks,9,7,11,2025-08-26 20:40:00
978-0-930243-83-8,Hawkins,Catherine,f,Eagles,8,7,10,2025-07-11 19:00:00
978-0-370-35954-0,Hernandez,Jessica,f,Hawks,10,8,12,2025-06-03 03:00:00
978-0-926178-51-9,Russell,Patrick,m,Outlanders,6,9,8,2025-07-02 03:00:00
978-0-7847-9133-2,Moore,Lee,m,Eagles,12,7,9,2025-07-21 12:40:00
978-0-659-14743-1,Bailey,James,m,Hawks,9,8,9,2025-07-11 17:00:00
978-0-05-475438-8,Hernandez,Tiffany,f,Hawks,9,11,9,2025-07-03 01:00:00
978-1-55484-384-8,Williams,Robert,m,Eagles,10,8,7,2025-08-21 13:00:00
978-1-4185-1396-2,Moore,Joan,f,Outlanders,9,7,9,2025-07-09 12:00:00
978-0-15-330633-4,Jackson,Christine,f,Outlanders,10,9,7,2025-07-19 12:40:00
978-1-282-32591-3,Hayes,Jessica,f,Eagles,12,11,10,2025-08-01 23:20:00
978-1-74614-195-0,Anderson,Veronica,f,Outlanders,11,9,6,2025-08-28 12:00:00
978-1-74789-365-0,Gardner,Mary,f,Outlanders,12,8,9,2025-07-09 01:00:00
978-1-4225-3385-7,Fernandez,Tara,f,Outlanders,9,7,6,2025-06-22 22:20:00
978-1-216-86609-3,Watson,Brianna,f,Eagles,9,7,10,2025-08-09 04:20:00
978-0-283-33537-2,Hall,Brooke,f,Outlanders,7,9,10,2025-07-09 07:00:00
978-1-4170-8233-9,Kent,Tammy,f,Hawks,8,9,8,2025-08-14 09:00:00
978-1-992170-27-8,Gaines,William,m,Eagles,9,6,9,2025-06-12 02:00:00
978-0-574-08479-8,Fernandez,Lindsey,f,Outlanders,10,10,8,2025-06-05 21:20:00
978-0-403-67236-3,Robinson,Christine,f,Outlanders,9,11,7,2025-08-09 14:00:00
978-0-317-32411-2,Thomas,Kayla,f,Outlanders,10,12,7,2025-07-01 23:20:00
978-1-76475-820-8,Owens,Thomas,m,Eagles,6,8,10,2025-08-17 18:20:00
978-1-952080-07-4,Ortega,Monica,f,Outlanders,10,12,9,2025-06-06 01:20:00
978-1-342-53348-7,Butler,Jim,m,Outlanders,12,8,9,2025-08-06 00:00:00
978-0-478-60906-6,Jones,Gary,m,Eagles,9,7,8,2025-07-14 17:20:00
978-1-5478-5831-6,Wilcox,Emily,f,Hawks,8,12,11,2025-08-15 14:20:00
978-0-396-01243-6,Rojas,Thomas,m,Eagles,9,9,8,2025-08-22 11:00:00
978-1-227-80504-3,Baker,Amanda,f,Outlanders,6,9,9,2025-07-15 01:00:00
978-1-259-77979-4,Fletcher,Monique,f,Outlanders,7,6,7,2025-07-14 23:40:00
978-0-8061-4324-8,Duran,Sarah,f,Hawks,10,8,9,2025-06-12 21:20:00
978-1-291-01815-8,Trujillo,Lauren,f,Eagles,11,10,7,2025-07-24 09:40:00
978-1-05-117334-9,Hernandez,Brian,m,Outlanders,11,12,7,2025-07-30 23:40:00
978-1-889761-39-8,Stark,Susan,f,Eagles,10,9,7,2025-06-27 15:20:00
978-1-4801-6162-7,Woods,Timothy,m,Hawks,11,9,9,2025-06-08 03:20:00
978-0-87199-761-6,Conrad,Robert,m,Outlanders,10,10,9,2025-07-27 19:00:00
978-0-00-008926-7,Hood,Luis,m,Outlanders,7,9,11,2025-07-20 14:40:00
978-1-231-59086-7,Gonzalez,Linda,f,Eagles,11,10,6,2025-08-25 21:00:00
978-0-7518-0111-8,Powers,Jennifer,f,Eagles,8,12,12,2025-07-05 01:00:00
978-0-931168-13-0,Harris,Catherine,f,Outlanders,7,10,9,2025-07-21 20:40:00
978-0-10-501148-4,Hamilton,Crystal,f,Outlanders,6,10,10,2025-07-23 06:40:00
978-1-4995-8271-0,Kline,Andrew,m,Outlanders,9,10,10,2025-07-13 20:20:00
978-1-299-72600-0,Palmer,Veronica,f,Eagles,8,9,7,2025-07-14 15:20:00
978-1-9999517-7-1,Edwards,Stacy,f,Hawks,9,8,8,2025-06-02 19:40:00
978-1-4127-4430-0,Taylor,Donna,f,Outlanders,7,11,9,2025-07-09 14:40:00
978-0-592-25051-9,Ramirez,Rick,m,Eagles,10,10,9,2025-07-23 22:20:00
