id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-909259-75-4,Lewis,Daniel,m,Stars,9,9,8,2025-06-21 15:20:00
978-1-149-37571-6,Thompson,Linda,f,Hawks,9,11,12,2025-07-04 07:40:00
978-0-14-868931-2,Mitchell,Barbara,f,Explorers,7,8,11,2025-08-30 20:20:00
978-1-4690-6332-4,Escobar,Erika,f,Explorers,10,6,9,2025-06-13 11:20:00
978-0-544-57729-9,Atkinson,James,m,Explorers,9,10,8,2025-07-09 14:20:00
978-0-580-74097-8,Bentley,Joseph,m,Stars,6,7,10,2025-06-15 12:20:00
978-1-09-415313-1,Robinson,Jodi,f,Hawks,6,12,8,2025-08-06 21:20:00
978-1-64576-499-1,Smith,Adam,m,Hawks,10,9,10,2025-07-04 21:00:00
978-0-257-81741-5,Robinson,Tracey,f,Explorers,8,11,11,2025-07-17 10:20:00
978-1-194-56023-5,Dominguez,William,m,Hawks,9,10,9,2025-06-02 23:20:00
978-1-01-883121-3,Hopkins,Darrell,m,Explorers,8,6,6,2025-08-06 08:20:00
978-0-376-25105-3,Miles,Mariah,f,Explorers,7,10,8,2025-06-26 01:40:00
978-0-13-148387-3,Acosta,Patricia,f,Stars,7,10,8,2025-07-20 14:00:00
978-0-85109-800-5,Scott,Lydia,f,Hawks,7,10,11,2025-07-20 01:00:00
978-0-211-65913-6,Chang,Connie,f,Hawks,6,11,8,2025-06-20 00:00:00
978-1-59095-970-1,Alvarado,David,m,Explorers,10,7,11,2025-08-07 09:00:00
978-0-340-52576-0,Lucero,Kimberly,f,Explorers,10,8,9,2025-07-02 03:00:00
978-0-594-15781-6,Butler,Nathan,m,Hawks,9,9,10,2025-08-28 07:40:00
978-1-62358-975-2,Hines,Mary,f,Explorers,10,9,12,2025-08-08 07:00:00
978-0-235-43419-1,Adams,Richard,m,Explorers,10,10,8,2025-08-14 22:40:00
978-1-264-25279-4,Collier,Sabrina,f,Hawks,9,7,12,2025-07-03 06:40:00
978-1-80098-358-8,Clark,Jennifer,f,Hawks,8,9,10,2025-06-22 06:00:00
978-0-485-62081-8,Christian,Angela,f,Stars,8,12,7,2025-06-07 08:00:00
978-1-4910-9107-4,Anderson,Melissa,f,Explorers,9,9,7,2025-08-04 16:40:00
978-0-925178-72-5,White,Sarah,f,Hawks,12,9,11,2025-07-01 11:20:00
978-0-431-63327-5,Collins,John,m,Stars,7,10,7,2025-08-06 17:00:00
978-1-119-44491-6,Conrad,Ashley,f,Stars,9,12,10,2025-08-01 10:00:00
978-1-310-79736-1,Cardenas,Brenda,f,Explorers,10,9,8,2025-08-25 14:40:00
978-1-931480-34-5,Wyatt,Amanda,f,Explorers,8,10,9,2025-06-11 01:40:00
978-1-198-36644-4,Brown,Allen,m,Stars,8,7,10,2025-08-28 12:20:00
978-0-220-86980-9,Dickerson,Kelly,f,Explorers,6,8,11,2025-07-15 00:00:00
978-0-918156-75-4,Woods,Lauren,f,Explorers,8,7,10,2025-08-20 17:20:00
978-0-456-31409-8,Wright,Jeremy,m,Hawks,10,9,9,2025-08-30 16:20:00
978-0-8428-3043-0,Mitchell,Jeffrey,m,Explorers,10,9,8,2025-07-20 12:40:00
978-0-468-94217-3,Bowman,Laura,f,Explorers,8,9,11,2025-08-21 02:40:00
978-1-968674-64-9,Harper,Alicia,f,Explorers,9,9,8,2025-08-16 06:20:00
978-0-548-82533-4,Peterson,Lisa,f,Explorers,10,9,9,2025-08-08 06:40:00
978-1-68296-150-6,Torres,Blake,m,Hawks,11,9,7,2025-08-17 11:40:00
978-1-189-48882-7,Mullen,Norma,f,Stars,9,10,8,2025-08-22 13:40:00
978-0-276-43093-0,Franklin,Cheyenne,f,Explorers,7,8,9,2025-06-01 13:40:00
978-0-635-67797-6,Mccarthy,Megan,f,Stars,9,10,7,2025-08-12 22:40:00
978-0-489-76621-5,Holland,Frederick,m,Hawks,9,10,9,2025-06-01 12:00:00
978-0-9867796-8-8,Welch,Christopher,m,Hawks,6,7,12,2025-06-25 01:40:00
978-0-11-102333-4,Peters,Shannon,f,Explorers,8,8,7,2025-06-10 03:40:00
978-1-227-43733-6,Graves,Kristen,f,Explorers,8,7,6,2025-07-29 03:20:00
978-1-164-00730-2,Tucker,Elijah,m,Stars,9,7,8,2025-06-20 09:40:00
978-1-02-485373-5,Arnold,Raymond,m,Hawks,9,10,7,2025-08-02 12:00:00
978-0-8356-3349-9,Miller,Olivia,f,Explorers,10,9,9,2025-07-31 13:20:00
978-0-15-146509-5,Smith,Cameron,m,Stars,6,9,9,2025-08-12 16:20:00
978-1-4629-5740-8,Miller,Benjamin,m,Hawks,7,7,12,2025-06-07 13:20:00
