id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-614-77498-6,Rojas,Ashley,f,Pathfinders,9,12,7,2025-07-07 17:40:00
978-1-247-89478-2,Daniels,Daniel,m,Meteors,9,6,7,2025-08-14 10:00:00
978-0-410-37731-2,Bonilla,Bailey,f,Pathfinders,7,8,8,2025-06-23 16:20:00
978-0-576-36867-4,Frazier,Eric,m,Pathfinders,10,10,8,2025-08-16 07:00:00
978-0-8331-0660-5,Brown,Teresa,f,Pathfinders,10,9,7,2025-08-08 23:20:00
978-1-381-78211-2,Friedman,Mary,f,Pathfinders,11,7,7,2025-08-23 15:40:00
978-0-03-749101-9,Herman,Terri,f,Pathfinders,11,9,7,2025-08-08 19:20:00
978-1-4159-9005-6,Green,William,m,Meteors,10,8,10,2025-08-03 20:00:00
978-0-276-51874-4,Wong,Troy,m,Meteors,10,9,8,2025-07-05 15:20:00
978-0-416-69233-4,Escobar,Vincent,m,Meteors,9,9,7,2025-07-14 20:20:00
978-1-65356-759-1,Fisher,Tammy,f,Trailblazers,7,10,7,2025-07-11 19:40:00
978-1-344-47571-6,Chang,Leonard,m,Pathfinders,11,11,8,2025-06-13 05:40:00
978-1-4865-7039-3,Smith,Bernard,m,Meteors,6,8,7,2025-07-31 00:40:00
978-1-281-03111-2,Walker,Brandon,m,Meteors,8,12,11,2025-08-25 10:20:00
978-1-64695-745-3,Shelton,Brandon,m,Trailblazers,7,8,9,2025-07-21 04:00:00
978-1-945016-80-6,Mccarty,Tamara,f,Meteors,9,10,6,2025-06-25 17:40:00
978-1-870204-40-8,Day,Bryan,m,Trailblazers,9,10,12,2025-07-31 00:20:00
978-0-275-90043-4,Baker,Tracy,f,Trailblazers,9,11,8,2025-08-05 19:00:00
978-1-381-27560-7,Figueroa,Steven,m,Pathfinders,10,8,8,2025-06-27 12:00:00
978-0-501-84067-1,Allison,Bryan,m,Trailblazers,12,7,7,2025-07-31 10:40:00
978-1-02-212286-4,Coleman,Samuel,m,Trailblazers,9,8,10,2025-08-25 19:00:00
978-1-58193-856-2,Allen,Alyssa,f,Pathfinders,9,9,7,2025-06-15 22:20:00
978-1-378-54881-3,Thomas,Courtney,f,Pathfinders,8,10,9,2025-07-05 02:40:00
978-1-62437-912-3,Brown,Tara,f,Pathfinders,12,7,10,2025-07-12 07:00:00
978-0-9934107-3-4,Leon,Richard,m,Pathfinders,7,12,12,2025-06-13 03:20:00
978-1-84580-472-5,Sanchez,Brian,m,Meteors,10,6,7,2025-08-04 11:00:00
978-1-68888-178-5,Carr,Lauren,f,Meteors,10,9,9,2025-06-19 23:20:00
978-1-231-77802-9,Jensen,Ryan,m,Pathfinders,11,7,9,2025-07-09 21:40:00
978-1-4336-2562-6,Jones,Deborah,f,Meteors,11,8,6,2025-07-22 14:00:00
978-0-552-07904-4,Yu,Steven,m,Meteors,10,10,11,2025-07-14 16:40:00
978-0-376-90756-1,Mann,Heather,f,Trailblazers,12,8,7,2025-07-03 01:20:00
978-0-13-418631-3,Gonzales,Robert,m,Pathfinders,9,10,7,2025-07-29 05:40:00
978-1-309-70225-3,Pierce,Johnathan,m,Trailblazers,7,8,8,2025-07-12 14:00:00
978-1-74339-408-3,Gregory,Terrence,m,Meteors,9,10,6,2025-08-25 20:00:00
978-0-03-964758-2,Maldonado,Rebecca,f,Pathfinders,10,9,7,2025-06-20 20:40:00
978-1-4199-5065-0,Rogers,Robert,m,Pathfinders,9,10,7,2025-06-14 07:00:00
978-1-5064-6657-6,Miller,Sarah,f,Trailblazers,6,11,8,2025-07-03 03:00:00
978-1-918669-76-3,Haynes,Tiffany,f,Meteors,9,12,10,2025-08-15 16:40:00
978-0-88827-208-9,Cox,Ryan,m,Trailblazers,11,8,9,2025-06-09 04:20:00
978-0-529-35612-3,Jacobs,Michael,m,Pathfinders,6,6,6,2025-08-27 05:00:00
978-1-02-539163-2,Bradford,Timothy,m,Trailblazers,10,7,9,2025-08-21 12:00:00
978-0-226-67697-5,Young,Lawrence,m,Trailblazers,9,9,8,2025-08-06 15:20:00
978-1-200-70531-5,Chavez,William,m,Meteors,9,8,8,2025-07-11 06:00:00
978-0-511-38581-0,Evans,Lauren,f,Meteors,12,8,6,2025-08-27 23:00:00
978-0-18-958048-7,Patel,Samantha,f,Pathfinders,10,9,10,2025-08-16 19:40:00
978-0-519-09338-0,George,Anne,f,Pathfinders,10,7,9,2025-08-19 16:00:00
978-0-581-89296-6,Roman,Kevin,m,Pathfinders,6,7,11,2025-07-26 05:40:00
978-0-7742-7739-6,Potter,David,m,Pathfinders,9,7,9,2025-08-13 15:40:00
978-0-418-78221-7,Franklin,William,m,Meteors,6,10,9,2025-06-08 10:00:00
978-0-8469-0530-1,Clark,James,m,Meteors,6,12,8,2025-08-08 06:20:00
