id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-673-04013-8,Roberts,Jenny,f,Bears,8,10,9,2025-07-08 10:40:00
978-0-694-07206-4,Martin,Eric,m,Bears,9,10,9,2025-07-06 05:20:00
978-0-14-426393-6,Miranda,Ashley,f,Comets,10,12,9,2025-07-10 14:40:00
978-1-125-86683-2,Molina,Donna,f,Outlanders,9,9,11,2025-08-09 20:20:00
978-0-362-91308-8,Joseph,Ryan,m,Outlanders,9,7,7,2025-08-24 14:00:00
978-0-412-61819-2,Mueller,Christopher,m,Bears,8,9,8,2025-07-13 05:00:00
978-0-499-80966-7,Carr,Cory,m,Bears,10,7,10,2025-08-04 02:40:00
978-1-57461-768-9,Smith,Lawrence,m,Bears,9,7,10,2025-08-23 05:40:00
978-1-204-00367-7,Landry,Donald,m,Bears,12,9,12,2025-07-02 08:00:00
978-1-03-376909-6,Sandoval,James,m,Outlanders,8,9,9,2025-07-29 00:20:00
978-0-436-91424-9,Palmer,Jesus,m,Outlanders,9,9,10,2025-08-18 10:40:00
978-1-929306-24-4,Rollins,Robert,m,Bears,9,7,11,2025-06-23 08:00:00
978-0-369-64903-4,Snyder,Angela,f,Outlanders,6,7,12,2025-06-01 20:00:00
978-1-206-95470-0,Pruitt,John,m,Comets,9,8,10,2025-07-15 06:00:00
978-1-4704-8150-6,Smith,Benjamin,m,Comets,11,7,9,2025-07-07 04:20:00
978-0-88616-792-9,Weber,Thomas,m,Outlanders,8,10,11,2025-06-28 15:40:00
978-0-501-94472-0,Harrington,Kristine,f,Outlanders,6,12,9,2025-07-25 08:20:00
978-1-57127-381-9,Morris,Samuel,m,Comets,12,10,8,2025-07-03 09:00:00
978-0-660-86988-9,Hughes,William,m,Comets,7,9,12,2025-08-29 14:20:00
978-0-19-250636-8,Jones,Joe,m,Comets,8,8,10,2025-07-10 21:00:00
978-1-59869-307-2,Gallegos,Steven,m,Outlanders,6,10,7,2025-08-07 20:00:00
978-0-9885436-4-5,Johnson,Jean,f,Bears,7,7,6,2025-07-01 02:40:00
978-1-309-80269-4,Foley,Kirsten,f,Outlanders,9,12,7,2025-07-08 19:00:00
978-0-02-501386-5,Delgado,Emily,f,Bears,8,9,9,2025-08-14 09:20:00
978-1-69088-970-0,Higgins,Jeremy,m,Comets,8,8,7,2025-08-02 13:20:00
978-1-302-04427-5,Taylor,Roy,m,Bears,9,9,7,2025-08-14 22:20:00
978-0-07-958825-8,Peterson,Kara,f,Comets,11,9,8,2025-06-15 21:40:00
978-1-352-33299-5,Peterson,John,m,Outlanders,8,9,6,2025-08-02 02:00:00
978-1-4832-2758-0,Johnson,Denise,f,Bears,10,10,9,2025-07-31 05:20:00
978-0-643-29746-3,Hampton,Christopher,m,Outlanders,6,7,6,2025-08-19 23:20:00
978-1-04-363908-2,Villanueva,Darren,m,Bears,9,11,9,2025-07-09 14:20:00
978-0-7310-2647-0,Brown,Andrea,f,Bears,7,7,8,2025-08-04 08:20:00
978-0-85387-469-0,Miller,Robin,f,Bears,9,9,9,2025-06-01 06:00:00
978-1-80418-026-6,Moyer,James,m,Bears,9,11,7,2025-08-02 15:40:00
978-1-74881-472-2,Lucero,Leslie,f,Bears,10,7,9,2025-07-15 18:20:00
978-0-02-101007-3,Mitchell,James,m,Comets,12,12,10,2025-06-09 09:00:00
978-0-455-61622-3,Barajas,Erica,f,Bears,9,8,8,2025-07-03 17:40:00
978-1-65394-280-0,Calderon,Kevin,m,Bears,6,7,6,2025-06-09 21:00:00
978-1-349-23018-1,Harris,Jeffrey,m,Bears,8,8,9,2025-08-11 19:00:00
978-1-9811-2066-6,Cruz,Angelica,f,Comets,7,11,7,2025-08-04 19:20:00
978-1-81603-486-1,Webster,Jeffrey,m,Outlanders,9,10,10,2025-07-08 08:00:00
978-0-7043-0736-0,Ford,Catherine,f,Bears,7,11,7,2025-07-02 15:00:00
978-0-7127-8639-3,Moody,Richard,m,Outlanders,9,10,7,2025-07-03 02:20:00
978-1-4300-3644-9,Davis,Robert,m,Outlanders,6,12,10,2025-07-27 07:00:00
978-0-89539-767-6,Williams,Jason,m,Outlanders,12,10,11,2025-07-25 05:20:00
978-0-02-409089-8,Day,Blake,m,Outlanders,9,7,9,2025-08-05 19:40:00
978-0-903556-81-1,Orozco,Roy,m,Bears,12,7,11,2025-08-23 17:40:00
978-1-61419-372-2,Dougherty,Frank,m,Bears,9,10,6,2025-08-30 12:20:00
978-0-9941535-5-5,Ingram,Haley,f,Comets,9,7,12,2025-08-08 07:40:00
978-0-420-56056-8,Rodriguez,Daniel,m,Comets,9,8,7,2025-08-27 23:00:00
