id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-9524782-9-4,Lowe,Alex,m,Adventurers,8,6,9,2025-08-22 21:00:00
978-1-293-75528-0,Sparks,Benjamin,m,Rangers,6,7,9,2025-06-17 07:20:00
978-1-5437-1360-2,Ross,Phyllis,f,Rangers,12,8,11,2025-06-25 11:20:00
978-1-62653-955-6,Garcia,Sandra,f,Rangers,7,8,6,2025-08-17 08:00:00
978-0-386-51805-4,Graham,Jerry,m,Adventurers,7,7,8,2025-07-03 13:40:00
978-0-09-028740-6,Crosby,Franklin,m,Rangers,9,7,7,2025-07-11 05:40:00
978-1-149-15434-2,Bishop,Ryan,m,Stars,10,7,9,2025-08-14 03:20:00
978-1-894276-75-7,Salazar,Tina,f,Rangers,9,8,8,2025-08-04 14:40:00
978-0-7471-8871-1,White,Christopher,m,Adventurers,8,8,9,2025-07-18 22:00:00
978-0-415-82875-8,Perez,Christine,f,Adventurers,10,7,6,2025-08-03 20:20:00
978-1-66409-873-2,Calhoun,Raymond,m,Stars,8,8,7,2025-06-01 12:20:00
978-1-08-536075-3,Nelson,Hailey,f,Stars,9,11,7,2025-08-30 00:40:00
978-0-8018-4444-7,Sanford,Kevin,m,Rangers,8,8,9,2025-06-27 03:00:00
978-1-5472-0655-1,Wilkinson,Tony,m,Adventurers,9,8,12,2025-07-23 22:00:00
978-0-654-04227-4,Campbell,Lori,f,Rangers,9,7,7,2025-07-13 17:20:00
978-0-04-073041-9,Barnes,Alexis,f,Adventurers,9,9,9,2025-08-07 22:20:00
978-1-184-74310-5,Stephens,Michael,m,Rangers,6,10,6,2025-06-29 21:20:00
978-1-4361-1535-3,Greene,Jose,m,Stars,8,10,8,2025-06-23 13:40:00
978-0-684-93090-9,Terrell,David,m,Rangers,7,9,9,2025-08-14 02:20:00
978-0-9522304-5-8,Hill,Michael,m,Stars,9,12,9,2025-07-14 08:40:00
978-0-621-09740-5,Wallace,Bethany,f,Adventurers,9,9,6,2025-08-20 15:20:00
978-0-420-16140-6,Mueller,Tiffany,f,Adventurers,6,9,10,2025-08-01 18:40:00
978-0-915643-54-7,Sanders,Jessica,f,Stars,9,12,9,2025-08-19 07:20:00
978-1-69371-534-1,Silva,Adam,m,Rangers,7,6,7,2025-06-11 16:00:00
978-0-650-74767-8,Meyer,John,m,Rangers,9,11,10,2025-07-15 19:20:00
978-0-531-24829-4,Stevenson,Jillian,f,Rangers,8,10,8,2025-08-09 02:20:00
978-0-670-00995-4,Martin,Jeffrey,m,Rangers,8,7,10,2025-06-13 06:40:00
978-0-357-69351-3,Willis,Kayla,f,Stars,9,10,6,2025-08-01 19:00:00
978-0-444-93834-3,Patterson,Erica,f,Adventurers,12,8,12,2025-08-12 23:20:00
978-0-232-41726-5,Curtis,Joe,m,Rangers,6,12,8,2025-06-25 13:20:00
978-0-8279-3690-4,Braun,Christopher,m,Stars,8,6,9,2025-08-26 14:40:00
978-0-237-94033-1,Jones,Wesley,m,Stars,11,9,8,2025-07-13 02:20:00
978-1-995609-90-4,Schmidt,Michael,m,Stars,9,12,11,2025-07-26 00:20:00
978-0-292-65434-1,Franco,Erika,f,Stars,10,8,10,2025-07-28 17:40:00
978-1-302-57249-5,Alvarez,Danny,m,Rangers,9,12,8,2025-08-14 16:40:00
978-0-12-050477-0,Cruz,Tracy,f,Adventurers,10,8,8,2025-07-01 22:00:00
978-0-9797581-8-8,Allen,Debra,f,Adventurers,10,11,12,2025-06-29 13:20:00
978-1-304-72688-9,Hernandez,Dan,m,Stars,8,8,7,2025-08-12 05:40:00
978-1-70855-132-2,Patel,Kathleen,f,Stars,7,9,10,2025-08-21 08:40:00
978-1-62551-805-7,Walters,Ashley,f,Adventurers,9,9,9,2025-06-05 12:40:00
978-1-00-926754-0,Smith,Amanda,f,Stars,9,9,10,2025-07-23 20:20:00
978-0-617-80954-8,Hobbs,Kevin,m,Adventurers,11,12,10,2025-06-04 23:20:00
978-1-889222-97-4,Shepherd,Timothy,m,Stars,10,11,11,2025-06-27 07:40:00
978-1-4570-7229-1,Silva,Ashley,f,Adventurers,7,9,10,2025-06-18 11:40:00
978-0-268-17040-0,Nielsen,Melanie,f,Adventurers,12,10,9,2025-07-09 00:00:00
978-0-7348-4092-9,Conway,Amber,f,Rangers,9,8,6,2025-07-19 12:00:00
978-1-376-04481-2,Christensen,Jennifer,f,Rangers,8,6,8,2025-06-04 06:40:00
978-1-61491-666-6,Thompson,Ashley,f,Rangers,10,11,9,2025-06-11 15:20:00
978-1-905310-45-6,Young,Erika,f,Rangers,8,10,8,2025-07-18 04:00:00
978-1-228-38254-3,Bradley,Kevin,m,Stars,9,9,7,2025-08-28 14:20:00
