id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-515-81551-1,Gonzalez,Kelly,f,Wolves,7,10,7,2025-07-20 20:20:00
978-0-492-80309-9,Rowe,Leslie,f,Explorers,8,10,11,2025-08-22 20:20:00
978-0-935295-03-0,Gonzales,Andrew,m,Wolves,8,6,12,2025-06-03 08:40:00
978-0-17-680725-2,Sanders,Tammy,f,Meteors,7,11,9,2025-06-05 22:00:00
978-0-14-610031-4,Jackson,Melissa,f,Meteors,10,9,8,2025-08-04 00:40:00
978-0-531-21475-6,Ford,Jonathan,m,Wolves,10,8,12,2025-08-13 19:00:00
978-1-57283-115-5,Ponce,Glenn,m,Explorers,7,7,10,2025-08-27 05:20:00
978-0-15-258602-7,Larson,Allison,f,Meteors,8,9,11,2025-06-12 05:20:00
978-1-4454-4026-2,Pineda,Marcus,m,Meteors,11,8,7,2025-06-23 10:00:00
978-0-85616-690-7,Wheeler,Micheal,m,Explorers,12,9,8,2025-07-22 05:20:00
978-1-5387-2826-0,Cunningham,Jared,m,Explorers,9,12,7,2025-08-20 20:20:00
978-0-520-24098-8,Moreno,Alejandro,m,Meteors,7,7,9,2025-07-23 07:20:00
978-0-8386-0798-5,Newton,James,m,Explorers,10,6,9,2025-07-12 06:20:00
978-1-4915-9146-8,West,Susan,f,Explorers,10,12,10,2025-06-12 07:40:00
978-1-113-05165-3,Zavala,Eric,m,Explorers,7,12,11,2025-07-25 08:20:00
978-0-88725-882-4,Grant,Laura,f,Wolves,12,9,8,2025-08-07 14:00:00
978-1-56800-964-3,Lawson,Dean,m,Meteors,10,7,9,2025-08-23 03:00:00
978-0-03-651160-2,Torres,John,m,Wolves,7,9,7,2025-06-01 00:00:00
978-1-57938-109-7,Smith,Ashley,f,Explorers,12,8,11,2025-08-28 21:40:00
978-0-7055-3630-1,Simmons,Jordan,f,Wolves,9,7,8,2025-08-07 12:20:00
978-1-239-10144-7,Simpson,Paul,m,Explorers,8,8,8,2025-08-29 06:40:00
978-0-417-42675-4,King,Anna,f,Meteors,6,9,8,2025-07-28 19:40:00
978-0-518-05504-4,Palmer,Nathaniel,m,Explorers,10,10,6,2025-06-05 03:40:00
978-0-553-00478-6,Cameron,Stephanie,f,Meteors,9,10,10,2025-08-21 11:00:00
978-1-80854-896-3,Thomas,Mark,m,Meteors,9,10,8,2025-07-09 04:40:00
978-0-614-43856-7,Hart,Roy,m,Meteors,10,8,9,2025-08-07 05:40:00
978-1-56390-791-3,Gonzales,Steven,m,Meteors,10,8,6,2025-07-24 21:00:00
978-1-285-36686-9,Campbell,Tina,f,Wolves,12,9,10,2025-06-27 08:40:00
978-1-9848-9503-5,Waters,Zachary,m,Explorers,8,11,9,2025-06-30 04:40:00
978-0-449-75532-7,Krueger,Tina,f,Wolves,8,12,7,2025-06-13 01:20:00
978-0-7070-0191-3,Bates,Stephanie,f,Explorers,10,9,7,2025-08-23 22:00:00
978-0-523-71052-5,Shelton,Heather,f,Wolves,11,11,10,2025-06-19 16:00:00
978-1-249-50442-9,Meyer,Betty,f,Explorers,7,6,9,2025-07-01 03:20:00
978-1-09-969565-0,Lambert,Michael,m,Wolves,9,11,7,2025-08-25 07:20:00
978-0-200-89289-6,Carter,Zachary,m,Wolves,10,8,12,2025-07-23 17:20:00
978-1-366-65998-9,Mendoza,Keith,m,Wolves,7,7,10,2025-06-24 10:40:00
978-0-362-24284-3,Jenkins,Michael,m,Meteors,7,6,9,2025-07-05 02:40:00
978-1-57626-407-2,Silva,Thomas,m,Explorers,9,7,7,2025-08-13 10:40:00
978-0-384-66626-9,Johnson,Clarence,m,Explorers,8,10,9,2025-08-01 14:00:00
978-1-249-75448-0,Stevens,Shelby,f,Wolves,9,11,8,2025-06-16 03:40:00
978-1-00-064995-6,Brooks,Justin,m,Wolves,7,9,7,2025-06-25 14:20:00
978-0-05-498806-6,Aguilar,Judith,f,Meteors,9,10,6,2025-07-04 06:40:00
978-0-06-774455-0,Graham,James,m,Meteors,9,9,8,2025-07-10 01:40:00
978-0-557-76207-1,Schroeder,Melissa,f,Meteors,9,7,9,2025-06-21 04:20:00
978-1-59940-695-4,Fletcher,Stacey,f,Meteors,6,7,11,2025-08-18 15:40:00
978-1-07-464880-0,Lee,Shannon,f,Explorers,9,9,12,2025-07-20 02:40:00
978-0-10-198640-3,Harvey,Dustin,m,Explorers,10,7,12,2025-06-29 19:20:00
978-0-906737-37-8,Decker,Casey,f,Explorers,7,9,8,2025-07-15 22:20:00
978-0-08-322436-4,Cervantes,Mark,m,Wolves,9,7,9,2025-06-20 18:00:00
978-1-4684-3049-3,Montgomery,Laurie,f,Explorers,7,9,10,2025-07-29 09:00:00
