id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-12-971205-3,Jackson,Gerald,m,Outlanders,11,10,12,2025-07-17 04:00:00
978-0-7724-3131-8,Moody,James,m,Wolves,10,10,12,2025-08-21 20:20:00
978-0-8498-3590-2,Harper,William,m,Wolves,10,8,7,2025-08-19 14:20:00
978-1-06-021527-6,Norris,Connie,f,Meteors,10,11,8,2025-08-20 03:40:00
978-1-909943-07-0,Fowler,Walter,m,Meteors,7,9,12,2025-08-21 09:40:00
978-0-16-272062-6,Acosta,Victoria,f,Outlanders,9,12,9,2025-08-03 17:40:00
978-0-16-396076-2,Wiggins,Justin,m,Meteors,9,10,8,2025-06-27 00:00:00
978-0-344-29699-4,Griffin,Sarah,f,Wolves,10,9,6,2025-06-09 15:00:00
978-1-4420-8635-7,Mata,Jennifer,f,Wolves,9,7,7,2025-08-10 02:20:00
978-0-559-73927-9,Jackson,Todd,m,Outlanders,6,10,7,2025-06-16 20:20:00
978-1-340-87850-4,Rodriguez,Victoria,f,Meteors,12,7,9,2025-08-13 13:40:00
978-1-367-26867-8,Fitzpatrick,Charles,m,Meteors,7,10,8,2025-06-03 16:40:00
978-1-70280-171-3,Willis,Jacob,m,Meteors,8,11,8,2025-08-04 19:20:00
978-1-894008-44-0,Ford,Tracy,f,Outlanders,9,10,8,2025-07-21 16:00:00
978-1-184-17838-9,Coleman,Victoria,f,Meteors,9,12,11,2025-08-22 18:20:00
978-0-480-75497-6,Young,Jon,m,Meteors,12,6,10,2025-08-02 01:20:00
978-1-64625-288-6,Hanson,Phillip,m,Wolves,11,12,7,2025-07-28 08:00:00
978-1-916604-32-2,Walker,Michael,m,Wolves,7,6,9,2025-08-06 23:20:00
978-0-407-73634-4,Harris,Ian,m,Meteors,10,9,11,2025-06-07 02:40:00
978-0-233-27144-6,Randolph,Noah,m,Wolves,9,9,11,2025-06-28 09:00:00
978-1-988852-89-8,Sanders,Angela,f,Meteors,11,8,9,2025-06-07 17:00:00
978-0-629-65316-0,Hernandez,Paul,m,Outlanders,8,6,11,2025-07-01 19:20:00
978-1-910271-36-0,Thompson,Mary,f,Meteors,10,9,6,2025-06-22 04:40:00
978-0-387-03454-6,Smith,Steven,m,Outlanders,6,10,9,2025-06-17 14:40:00
978-0-224-28056-3,Hill,Jake,m,Meteors,6,6,6,2025-08-15 04:20:00
978-0-05-785356-9,Keller,Jared,m,Wolves,8,8,12,2025-06-03 04:20:00
978-1-4785-9154-2,Adkins,Jerome,m,Wolves,9,7,8,2025-06-20 00:20:00
978-0-607-78367-4,Norman,Matthew,m,Outlanders,6,7,7,2025-06-26 13:20:00
978-1-70001-733-8,Buck,Gary,m,Wolves,9,7,6,2025-08-17 10:40:00
978-0-7924-6023-7,Barrett,Jennifer,f,Wolves,7,6,10,2025-06-09 17:40:00
978-1-145-59312-1,May,William,m,Meteors,6,6,7,2025-06-04 01:40:00
978-0-11-024798-4,Evans,Sean,m,Meteors,9,10,9,2025-07-08 12:40:00
978-0-04-352904-1,Morales,Kayla,f,Wolves,11,6,11,2025-08-20 05:00:00
978-0-416-76015-6,Hernandez,Susan,f,Outlanders,10,9,9,2025-08-28 18:00:00
978-0-7626-3094-3,Taylor,Wesley,m,Meteors,9,6,10,2025-06-13 15:20:00
978-1-4808-0406-7,Cardenas,Teresa,f,Outlanders,9,10,9,2025-06-11 15:40:00
978-0-395-48608-5,Welch,Philip,m,Outlanders,9,7,8,2025-07-27 05:00:00
978-0-89253-191-2,Allen,Andrew,m,Meteors,9,9,10,2025-06-23 12:40:00
978-1-75012-572-4,Diaz,Olivia,f,Wolves,7,10,8,2025-06-28 05:00:00
978-0-10-347668-1,Henry,Stephen,m,Meteors,9,12,8,2025-06-15 03:20:00
978-1-79617-812-8,Moon,Amy,f,Outlanders,10,6,8,2025-07-30 16:20:00
978-1-62396-972-1,Johnson,Harold,m,Meteors,12,8,12,2025-08-28 07:00:00
978-1-81901-820-2,House,Rickey,m,Wolves,8,9,11,2025-08-16 16:40:00
978-0-7486-0480-7,Griffith,Dominic,m,Wolves,6,8,11,2025-06-23 15:00:00
978-1-4524-7056-6,Mcdaniel,Lauren,f,Meteors,8,11,9,2025-07-26 14:40:00
978-1-84403-309-6,Beasley,Victoria,f,Meteors,10,9,7,2025-06-16 03:40:00
978-1-158-05011-6,Powers,Randall,m,Meteors,8,7,12,2025-08-02 10:20:00
978-0-04-240492-9,Little,Kevin,m,Wolves,8,9,9,2025-07-20 16:00:00
978-1-335-23300-4,Edwards,Jesus,m,Meteors,7,6,8,2025-08-18 14:20:00
978-0-10-536296-8,Anderson,Kenneth,m,Meteors,9,10,12,2025-08-30 19:20:00
