id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-488-79862-0,Decker,Daniel,m,Stars,9,9,12,2025-06-17 06:20:00
978-1-4567-9904-5,Robinson,Patricia,f,Stars,8,9,9,2025-07-10 02:00:00
978-0-533-85238-3,Aguilar,Deanna,f,Beavers,9,9,7,2025-07-11 14:20:00
978-1-64469-392-6,Lambert,Tyler,m,Beavers,11,7,8,2025-08-24 22:00:00
978-1-916293-20-5,Franco,Mike,m,Otters,9,8,7,2025-06-10 17:20:00
978-1-00-964826-4,Thompson,Tammy,f,Beavers,8,10,7,2025-07-27 00:40:00
978-0-14-204085-0,Bass,Audrey,f,Otters,10,9,10,2025-07-09 02:20:00
978-0-694-38236-1,Smith,Amanda,f,Otters,12,7,8,2025-06-11 16:20:00
978-0-643-43738-8,Rivera,Bonnie,f,Beavers,9,9,10,2025-08-23 08:20:00
978-0-492-98462-0,Collins,Ricky,m,Otters,12,10,8,2025-07-12 08:40:00
978-1-4384-4101-6,Barron,John,m,Beavers,7,7,8,2025-08-01 06:20:00
978-0-7285-8418-1,Nash,Robert,m,Beavers,10,9,7,2025-06-30 22:40:00
978-0-7361-1040-2,Kirby,Jennifer,f,Otters,8,7,11,2025-06-04 22:00:00
978-0-7104-9152-7,Nielsen,Amy,f,Stars,9,9,7,2025-07-05 07:20:00
978-0-293-33485-3,Jones,Monique,f,Stars,7,8,7,2025-08-24 06:00:00
978-0-547-67910-5,Romero,Mathew,m,Beavers,8,6,8,2025-06-20 19:40:00
978-1-326-83421-0,Hudson,Charles,m,Beavers,7,12,12,2025-08-01 17:20:00
978-0-465-05238-7,Lee,Nicole,f,Otters,8,9,11,2025-08-03 13:40:00
978-0-324-25848-6,Townsend,Gina,f,Otters,9,6,6,2025-06-28 21:40:00
978-0-291-31264-8,Werner,Judith,f,Stars,8,7,7,2025-06-28 07:40:00
978-1-347-13305-7,Stewart,Amanda,f,Stars,7,8,7,2025-07-12 02:00:00
978-0-495-51262-2,Smith,James,m,Otters,10,9,7,2025-06-30 23:20:00
978-1-4624-2788-8,Shelton,Kathleen,f,Stars,10,10,12,2025-07-11 14:00:00
978-0-581-26382-7,Ruiz,Steven,m,Stars,11,8,10,2025-07-20 10:20:00
978-1-263-05964-6,Walters,Trevor,m,Stars,9,11,7,2025-08-12 01:20:00
978-0-12-713730-8,Wilson,Megan,f,Otters,10,9,9,2025-07-25 14:00:00
978-1-04-057396-9,Shaw,Chloe,f,Beavers,9,7,9,2025-08-10 07:00:00
978-0-500-29344-7,Simpson,Bobby,m,Stars,8,12,10,2025-07-10 22:40:00
978-0-7802-6267-6,Davis,Melissa,f,Otters,8,9,6,2025-06-24 23:40:00
978-1-66630-159-5,Hudson,Kelsey,f,Beavers,10,7,7,2025-06-11 18:00:00
978-1-389-91035-7,Brown,Joshua,m,Otters,11,11,12,2025-06-12 17:20:00
978-1-108-80071-6,Daugherty,Brandon,m,Otters,8,7,9,2025-07-19 14:00:00
978-0-634-12519-5,Johnson,Ricardo,m,Otters,10,9,12,2025-08-20 22:40:00
978-0-313-09687-7,Smith,Matthew,m,Beavers,11,8,8,2025-06-15 19:20:00
978-0-16-753707-6,Brown,Brandon,m,Stars,7,7,11,2025-08-22 03:40:00
978-1-5196-4725-2,Reyes,Joshua,m,Otters,6,8,9,2025-06-23 16:40:00
978-1-317-06219-6,Robinson,James,m,Otters,9,9,10,2025-08-11 13:00:00
978-0-355-82935-8,Walker,Marcia,f,Stars,9,9,12,2025-07-31 23:20:00
978-1-140-71625-9,Ramirez,Mary,f,Stars,6,7,7,2025-07-20 11:40:00
978-0-7277-8677-7,Harris,Anna,f,Beavers,9,12,7,2025-06-19 22:20:00
978-1-4613-5277-8,Benson,Nathan,m,Beavers,7,8,10,2025-07-30 06:00:00
978-1-901632-39-2,Lozano,Lisa,f,Beavers,8,10,11,2025-08-03 17:40:00
978-0-7275-1748-7,Moore,Christine,f,Beavers,9,10,9,2025-08-01 15:20:00
978-1-5495-5906-8,Hood,Heather,f,Beavers,8,7,8,2025-07-27 18:40:00
978-1-899424-31-3,Lopez,Brent,m,Beavers,6,9,9,2025-07-26 07:00:00
978-1-213-46687-6,Hernandez,Joseph,m,Stars,12,6,12,2025-08-24 22:20:00
978-1-59452-373-1,Park,Courtney,f,Beavers,9,8,7,2025-06-06 22:40:00
978-0-19-325371-1,Cook,Sara,f,Beavers,9,7,11,2025-07-23 14:20:00
978-1-59928-448-4,Joseph,Paul,m,Beavers,10,9,8,2025-06-23 11:00:00
978-1-899251-26-1,Smith,Mary,f,Otters,10,9,9,2025-07-14 06:40:00
