id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-665-15126-2,Cook,Marc,m,Otters,9,7,7,2025-07-02 07:40:00
978-0-87062-297-7,Michael,Ariel,f,Otters,10,9,6,2025-07-09 05:00:00
978-1-5079-0304-9,Kelly,James,m,Otters,9,7,10,2025-08-20 01:00:00
978-1-115-71578-2,Gonzalez,Margaret,f,Otters,9,9,7,2025-08-28 10:00:00
978-1-74700-011-9,Powell,Tina,f,Bears,8,9,9,2025-07-20 10:40:00
978-0-602-59079-6,Yang,Hannah,f,Otters,10,7,11,2025-07-26 23:20:00
978-1-218-58436-0,Ramos,Eric,m,Eagles,12,6,10,2025-07-04 06:40:00
978-1-76036-839-5,Terrell,Joe,m,Eagles,11,8,10,2025-07-19 12:20:00
978-1-78858-713-6,Jenkins,Brian,m,Otters,9,9,12,2025-08-17 21:20:00
978-0-00-218977-4,Aguilar,Nicole,f,Eagles,9,6,6,2025-07-04 16:00:00
978-0-596-00787-4,George,Jean,f,Eagles,10,10,7,2025-07-11 11:20:00
978-0-19-395213-3,Krueger,Kimberly,f,Otters,9,6,8,2025-06-18 14:00:00
978-0-9993909-1-7,Parker,Robert,m,Otters,7,8,9,2025-08-12 14:40:00
978-1-889855-08-0,Washington,Darryl,m,Bears,7,9,7,2025-07-20 21:00:00
978-1-02-914511-8,Holmes,Julia,f,Otters,7,8,7,2025-07-19 08:40:00
978-0-01-660298-6,Buckley,Donna,f,Eagles,11,12,7,2025-06-15 17:20:00
978-0-591-62413-7,Davis,Alyssa,f,Eagles,9,9,10,2025-07-08 21:20:00
978-0-259-23415-9,Fisher,Andrea,f,Otters,8,9,9,2025-07-04 06:40:00
978-0-500-28910-5,Alexander,Logan,m,Eagles,9,11,10,2025-06-09 02:20:00
978-0-19-374163-8,Nguyen,Tiffany,f,Bears,9,8,9,2025-08-20 22:00:00
978-0-486-27725-7,Roberts,Jonathan,m,Eagles,9,9,9,2025-08-15 03:00:00
978-0-7828-7760-1,Lucas,Frank,m,Eagles,9,10,11,2025-07-14 08:00:00
978-0-03-033042-1,Mcdonald,Helen,f,Otters,12,8,12,2025-07-12 17:20:00
978-0-85072-966-5,Blake,Elizabeth,f,Bears,10,10,9,2025-08-23 00:20:00
978-0-425-27700-3,Campbell,Daniel,m,Eagles,11,8,11,2025-08-29 16:00:00
978-1-4198-9721-4,Sanchez,Kelly,f,Eagles,10,10,7,2025-06-19 14:40:00
978-1-4242-4090-6,Mercer,Jason,m,Otters,11,9,8,2025-07-17 12:20:00
978-1-928550-19-8,Hughes,Tonya,f,Bears,7,7,7,2025-07-03 17:20:00
978-1-71422-141-7,Powell,Michael,m,Bears,9,12,7,2025-06-01 04:00:00
978-0-446-67122-4,Thompson,Brandon,m,Otters,12,9,11,2025-06-18 19:00:00
978-0-8064-4510-6,Perry,Brandy,f,Otters,6,6,8,2025-08-08 03:00:00
978-0-455-93294-1,Barrett,Sue,f,Eagles,9,9,10,2025-06-07 08:20:00
978-1-5422-4592-0,Ross,Michael,m,Otters,6,7,8,2025-07-06 23:40:00
978-0-04-193099-3,Park,Monica,f,Otters,7,12,11,2025-08-06 05:40:00
978-0-923200-42-8,Johnston,Aaron,m,Eagles,10,8,10,2025-08-29 21:40:00
978-0-444-78992-1,Harvey,John,m,Bears,7,9,10,2025-08-25 13:40:00
978-1-67268-591-7,Bell,Austin,m,Eagles,12,12,7,2025-07-17 08:40:00
978-0-332-74997-6,Weaver,James,m,Bears,8,10,10,2025-08-14 00:00:00
978-0-9523404-9-2,Lee,Nichole,f,Eagles,8,10,7,2025-07-28 15:40:00
978-1-85123-662-6,Reyes,Nicole,f,Bears,11,6,11,2025-06-02 11:00:00
978-0-8171-5826-2,Rodriguez,Sandy,f,Eagles,9,11,7,2025-07-07 19:40:00
978-1-179-67026-3,Becker,Sydney,f,Bears,7,10,8,2025-06-23 04:40:00
978-1-194-53829-6,Moon,Hannah,f,Otters,12,12,10,2025-08-22 14:00:00
978-0-8300-7750-2,Chandler,Abigail,f,Eagles,8,9,10,2025-06-16 01:40:00
978-1-4092-5062-3,Harmon,Sharon,f,Bears,7,9,9,2025-08-27 20:20:00
978-0-8088-2197-7,Weaver,Stephanie,f,Otters,6,12,10,2025-06-12 15:20:00
978-0-9895560-9-5,Moody,Mario,m,Otters,11,7,10,2025-06-01 02:00:00
978-1-71502-884-8,Hart,Linda,f,Otters,9,6,6,2025-06-06 14:20:00
978-1-85233-126-9,Barnes,Rebekah,f,Eagles,11,10,7,2025-07-27 02:00:00
978-0-9630278-0-1,Dorsey,Michael,m,Bears,9,6,9,2025-06-16 03:40:00
