id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-12-670256-9,Dominguez,Vanessa,f,Eagles,7,9,12,2025-08-23 11:40:00
978-0-9575173-7-0,Higgins,Amber,f,Wolves,9,8,10,2025-06-03 07:40:00
978-1-399-82972-4,Simmons,Mathew,m,Wolves,10,9,8,2025-06-10 18:00:00
978-0-9588247-7-4,Webster,Caroline,f,Trailblazers,10,12,9,2025-07-15 17:00:00
978-0-672-64502-0,Vang,Hannah,f,Trailblazers,9,7,9,2025-08-22 20:40:00
978-0-338-84294-7,Shepherd,Ricardo,m,Wolves,8,9,8,2025-06-06 02:40:00
978-1-01-283058-8,Pugh,Jennifer,f,Trailblazers,12,7,9,2025-07-12 05:40:00
978-1-390-55115-0,Reid,Carolyn,f,Wolves,8,9,11,2025-08-16 01:40:00
978-0-291-39602-0,Pearson,Juan,m,Trailblazers,11,7,8,2025-06-05 19:20:00
978-1-4987-9965-2,Phillips,Joanne,f,Wolves,11,11,12,2025-06-27 16:20:00
978-0-264-88505-6,Bridges,Erica,f,Trailblazers,10,10,6,2025-07-07 04:40:00
978-0-7852-9587-7,Brown,Caroline,f,Eagles,11,9,8,2025-06-08 13:20:00
978-0-357-24658-0,Carr,Mary,f,Trailblazers,8,9,8,2025-07-22 14:40:00
978-1-4078-6457-0,Wilson,Jennifer,f,Wolves,9,9,12,2025-08-18 15:40:00
978-1-906384-56-2,Ewing,David,m,Wolves,7,10,9,2025-06-10 09:20:00
978-0-00-735216-6,Anthony,Deborah,f,Wolves,9,12,7,2025-08-09 06:40:00
978-1-4447-7239-5,Allison,Daniel,m,Trailblazers,10,7,10,2025-07-21 19:40:00
978-0-402-18198-9,Mccoy,Martin,m,Wolves,10,9,7,2025-07-28 17:20:00
978-1-872048-15-4,Medina,Lori,f,Wolves,9,9,10,2025-07-11 18:40:00
978-0-370-63108-0,Taylor,Kimberly,f,Eagles,10,12,9,2025-08-11 01:00:00
978-0-8244-0537-3,Jennings,Megan,f,Eagles,6,9,12,2025-07-26 21:40:00
978-0-404-35417-6,Arnold,Andrew,m,Wolves,9,8,6,2025-06-28 06:40:00
978-0-444-20397-7,Davis,Evan,m,Wolves,8,12,8,2025-07-30 19:00:00
978-1-189-34827-5,Beltran,Amanda,f,Trailblazers,8,9,9,2025-06-26 19:40:00
978-1-04-035449-0,Cox,Carrie,f,Wolves,10,11,9,2025-08-29 07:40:00
978-0-223-24223-4,Knight,Karen,f,Trailblazers,12,9,9,2025-08-24 10:20:00
978-1-952294-45-7,Hernandez,Joseph,m,Trailblazers,11,6,7,2025-07-08 22:00:00
978-0-01-377384-9,Clark,Matthew,m,Trailblazers,11,12,9,2025-08-12 11:20:00
978-1-58540-319-6,Oliver,Julie,f,Trailblazers,7,10,9,2025-08-12 05:40:00
978-1-4526-9341-5,Diaz,Sarah,f,Wolves,11,8,9,2025-07-29 02:40:00
978-1-296-47480-5,Wang,Seth,m,Trailblazers,12,7,6,2025-08-26 01:40:00
978-0-277-42416-7,Lawson,Gregory,m,Trailblazers,8,8,9,2025-08-30 03:40:00
978-1-5438-1117-9,Young,Kimberly,f,Eagles,12,10,11,2025-06-09 18:40:00
978-0-396-74572-3,Andrews,Bruce,m,Eagles,10,12,6,2025-08-14 02:20:00
978-0-8198-9251-5,Sanchez,Rebecca,f,Eagles,9,9,10,2025-06-07 04:00:00
978-1-249-95233-6,Gardner,Gabriella,f,Wolves,11,6,8,2025-06-29 22:40:00
978-1-58482-865-5,King,Justin,m,Eagles,10,12,9,2025-08-06 18:00:00
978-1-08-590978-5,Dunn,Martha,f,Trailblazers,10,7,7,2025-07-21 06:40:00
978-0-19-422344-7,Cordova,Marvin,m,Wolves,11,8,9,2025-06-18 07:40:00
978-0-581-46735-5,Jones,Scott,m,Eagles,10,9,9,2025-06-05 13:40:00
978-0-381-36938-5,Padilla,Donna,f,Wolves,9,11,9,2025-07-02 23:00:00
978-1-386-67255-5,Sloan,Lisa,f,Eagles,11,10,11,2025-06-28 17:20:00
978-0-13-995280-7,Lane,Lisa,f,Eagles,9,9,6,2025-06-03 13:20:00
978-0-655-87672-4,Gonzalez,Evan,m,Wolves,8,11,8,2025-07-27 14:00:00
978-1-262-30120-3,Hoffman,Christine,f,Wolves,8,9,10,2025-06-13 12:20:00
978-1-02-414741-4,Williams,Karen,f,Wolves,9,6,9,2025-08-22 10:40:00
978-0-596-20630-7,Hunter,Anna,f,Wolves,8,6,7,2025-07-10 21:20:00
978-0-927696-59-3,White,Jennifer,f,Trailblazers,10,6,8,2025-07-21 23:40:00
978-0-9637842-3-0,Wheeler,Daniel,m,Eagles,8,9,8,2025-06-28 19:00:00
978-0-7172-4966-4,Schultz,Ashley,f,Trailblazers,9,9,10,2025-07-01 04:00:00
