id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-609-18232-1,Gilbert,Michael,m,Adventurers,6,8,6,2025-06-05 21:20:00
978-0-9624530-8-3,Ferguson,Dustin,m,Meteors,8,9,7,2025-07-08 19:00:00
978-0-9723163-6-1,Robinson,Hayden,m,Adventurers,8,6,7,2025-07-11 00:00:00
978-0-528-77868-1,Jenkins,Crystal,f,Meteors,7,9,12,2025-07-11 02:00:00
978-0-210-31677-1,Rodriguez,Tyrone,m,Adventurers,9,9,6,2025-07-06 22:20:00
978-1-01-748975-0,Sanders,Kimberly,f,Beavers,6,7,11,2025-06-16 09:20:00
978-0-556-07926-2,Norman,Daniel,m,Meteors,9,7,9,2025-08-29 15:00:00
978-0-06-006966-7,Matthews,Timothy,m,Beavers,6,6,11,2025-07-19 23:20:00
978-0-623-55778-5,Carpenter,Cindy,f,Beavers,8,7,6,2025-07-18 01:20:00
978-1-64182-212-1,Miller,Joseph,m,Meteors,12,8,10,2025-07-07 19:20:00
978-1-5267-6144-6,Adams,Gary,m,Beavers,9,8,8,2025-06-01 01:40:00
978-1-74883-935-0,Lindsey,Allen,m,Beavers,7,11,7,2025-06-16 15:40:00
978-1-58649-868-9,Mcdonald,Savannah,f,Meteors,10,9,10,2025-06-20 14:40:00
978-0-942745-00-9,Miller,Stacy,f,Meteors,8,12,9,2025-06-18 20:20:00
978-0-9533209-4-3,Turner,Erica,f,Meteors,6,8,6,2025-06-26 16:20:00
978-1-84601-584-7,Kane,Michelle,f,Beavers,12,8,10,2025-06-07 04:20:00
978-1-86650-354-6,Smith,Cameron,m,Meteors,8,9,8,2025-08-14 20:40:00
978-0-537-86437-5,Davis,Matthew,m,Adventurers,8,8,12,2025-08-08 08:40:00
978-0-929231-74-7,Barnes,Vanessa,f,Beavers,6,9,12,2025-06-19 05:20:00
978-1-326-61472-0,Mccoy,Mary,f,Beavers,12,10,9,2025-07-10 04:00:00
978-1-880811-76-4,Griffin,Deborah,f,Adventurers,10,11,10,2025-07-13 03:40:00
978-1-924213-79-0,Morrison,Jose,m,Beavers,9,6,10,2025-06-02 21:20:00
978-0-443-90601-5,Herrera,Kelsey,f,Adventurers,9,7,9,2025-08-29 01:20:00
978-1-06-020140-8,Thompson,Bobby,m,Meteors,8,9,10,2025-06-15 02:00:00
978-0-944777-48-0,Le,Miranda,f,Beavers,8,12,8,2025-08-17 00:20:00
978-1-893240-70-4,Phelps,Michael,m,Meteors,10,6,9,2025-07-10 07:40:00
978-1-4235-1703-0,Chavez,James,m,Adventurers,6,8,10,2025-06-22 15:20:00
978-1-125-61826-4,Young,Brenda,f,Adventurers,9,7,10,2025-08-01 17:40:00
978-0-08-886608-8,Hanna,David,m,Adventurers,9,10,10,2025-08-21 14:40:00
978-0-86247-591-8,Jones,Laurie,f,Beavers,9,10,8,2025-06-06 19:40:00
978-1-4425-3901-3,Mendez,Tracy,f,Adventurers,10,7,12,2025-08-06 00:00:00
978-0-534-94169-7,Pitts,Dennis,m,Beavers,12,8,10,2025-07-10 08:00:00
978-1-114-76860-4,Cunningham,Joseph,m,Beavers,9,6,9,2025-08-12 05:20:00
978-1-873320-72-3,Baker,William,m,Adventurers,9,12,12,2025-08-01 06:20:00
978-1-302-95988-3,Miller,Oscar,m,Adventurers,9,12,9,2025-06-23 01:20:00
978-0-09-010361-4,Barton,Breanna,f,Beavers,12,9,10,2025-08-27 16:20:00
978-0-424-26484-4,Douglas,Amy,f,Beavers,7,9,9,2025-07-29 09:00:00
978-1-5310-0694-5,Delacruz,Shawn,m,Adventurers,7,10,10,2025-07-28 03:40:00
978-0-88273-008-0,Cooper,Michael,m,Adventurers,7,8,11,2025-08-22 16:20:00
978-0-10-583730-5,Bush,David,m,Meteors,10,7,11,2025-07-31 00:20:00
978-0-593-65631-0,Choi,Alyssa,f,Meteors,12,10,12,2025-06-22 06:20:00
978-0-682-79204-2,Morrison,Joshua,m,Adventurers,10,9,9,2025-07-07 20:20:00
978-1-923578-15-9,Horn,John,m,Beavers,8,6,9,2025-06-28 06:20:00
978-1-135-60102-7,Clements,Amber,f,Beavers,6,12,8,2025-08-21 17:00:00
978-1-7323501-8-2,Miller,Melissa,f,Adventurers,9,7,11,2025-06-12 23:20:00
978-0-634-74630-7,Brown,Peter,m,Meteors,7,8,11,2025-07-13 12:20:00
978-0-04-992896-1,Hunt,Jesse,m,Meteors,6,6,7,2025-08-15 11:00:00
978-0-7145-3901-0,Thompson,Ellen,f,Adventurers,10,6,10,2025-08-30 14:00:00
978-0-597-12899-8,Francis,Cameron,m,Meteors,9,7,9,2025-08-04 12:40:00
978-0-201-96391-5,Brown,Willie,m,Beavers,12,10,6,2025-07-31 10:40:00
