id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-10-488965-7,Clark,Christy,f,Stars,10,9,9,2025-06-27 11:40:00
978-1-248-23183-8,Thompson,Brandy,f,Stars,12,11,11,2025-08-03 00:00:00
978-1-02-760953-7,Holder,Tammy,f,Outlanders,11,8,9,2025-08-28 13:20:00
978-1-80015-923-5,Davis,Madeline,f,Stars,9,9,11,2025-07-31 11:40:00
978-1-01-576076-9,Cantrell,Timothy,m,Stars,6,10,10,2025-08-02 01:20:00
978-0-316-89048-9,Downs,Lisa,f,Stars,11,9,10,2025-06-28 14:00:00
978-0-8052-5629-1,Villegas,Tracey,f,Stars,10,9,9,2025-06-28 20:20:00
978-0-01-895902-6,Olsen,Sabrina,f,Stars,9,9,12,2025-06-12 10:20:00
978-1-180-35161-8,Goodwin,Amanda,f,Outlanders,9,9,12,2025-07-22 13:00:00
978-0-421-09065-1,Waters,Robert,m,Outlanders,6,8,8,2025-07-27 05:40:00
978-1-174-12144-9,Potter,Judy,f,Stars,9,10,9,2025-06-13 07:20:00
978-0-685-45387-2,Cook,Hannah,f,Stars,7,10,10,2025-07-13 04:40:00
978-0-489-91929-1,Garcia,Angela,f,Comets,11,9,9,2025-08-13 13:00:00
978-1-938493-17-1,Tucker,Stephanie,f,Stars,11,11,6,2025-06-24 00:00:00
978-1-61693-428-6,Douglas,Jason,m,Stars,8,11,11,2025-08-03 23:40:00
978-1-917567-92-3,Williams,Patrick,m,Outlanders,12,10,10,2025-06-04 15:00:00
978-1-285-22308-7,Michael,Valerie,f,Stars,10,9,12,2025-08-08 08:00:00
978-1-373-21781-3,Harper,Debbie,f,Stars,10,9,8,2025-07-08 02:00:00
978-1-84488-365-3,Hampton,Austin,m,Comets,9,8,10,2025-06-14 09:40:00
978-1-297-09256-5,Lee,Nathaniel,m,Stars,8,9,7,2025-08-07 20:20:00
978-1-83630-607-8,Tran,Valerie,f,Stars,9,10,7,2025-06-16 16:00:00
978-1-4732-2663-0,Abbott,Thomas,m,Comets,8,9,7,2025-07-10 17:00:00
978-0-551-54232-7,Nelson,Amy,f,Comets,11,10,10,2025-08-05 15:40:00
978-0-609-87187-4,Mueller,Tammy,f,Outlanders,9,10,9,2025-07-07 22:00:00
978-1-4828-7444-0,Hernandez,Jacob,m,Stars,11,8,12,2025-06-30 06:20:00
978-1-940816-16-6,Bentley,Donald,m,Stars,10,8,10,2025-08-23 04:20:00
978-0-360-74694-7,Browning,Jessica,f,Outlanders,10,10,10,2025-08-12 21:20:00
978-0-467-19759-8,Clarke,Brianna,f,Stars,9,9,6,2025-07-07 02:40:00
978-0-06-961240-6,Tucker,Jennifer,f,Outlanders,12,7,9,2025-06-05 11:20:00
978-0-7563-3892-3,Taylor,Anna,f,Comets,11,8,7,2025-06-10 18:40:00
978-0-7650-7424-9,Morse,Jessica,f,Stars,10,10,10,2025-08-22 20:40:00
978-1-06-976127-9,Gonzalez,Joshua,m,Outlanders,8,8,10,2025-06-07 10:40:00
978-0-472-29371-1,Garrett,Louis,m,Stars,9,6,9,2025-07-14 20:40:00
978-0-654-98898-5,Hudson,Elizabeth,f,Outlanders,10,7,11,2025-07-12 23:40:00
978-0-13-376428-4,Morrison,Alyssa,f,Comets,12,9,11,2025-08-14 08:20:00
978-1-86008-154-5,Avila,Tiffany,f,Outlanders,9,9,8,2025-06-24 20:40:00
978-0-949345-26-4,Miller,Stephen,m,Comets,8,9,8,2025-06-14 17:00:00
978-0-373-86648-9,Sullivan,Samantha,f,Stars,10,9,8,2025-07-15 12:20:00
978-0-520-07326-5,Brown,Joshua,m,Comets,9,12,8,2025-07-27 20:40:00
978-1-75605-682-4,Smith,Monica,f,Outlanders,8,10,10,2025-06-15 21:00:00
978-0-19-351580-2,Johnson,Sylvia,f,Stars,9,8,12,2025-07-04 03:00:00
978-0-87037-527-9,Lindsey,Michael,m,Stars,9,10,7,2025-08-07 18:40:00
978-0-476-69931-1,Williams,Chad,m,Comets,9,12,10,2025-07-25 03:20:00
978-1-04-469211-6,Cochran,Katrina,f,Comets,7,11,8,2025-07-06 11:20:00
978-1-5084-9383-9,Stephens,Erica,f,Outlanders,9,9,10,2025-06-04 08:00:00
978-1-929623-72-3,Trevino,Angela,f,Comets,12,12,9,2025-06-25 20:00:00
978-0-05-399961-2,Garcia,Sara,f,Outlanders,9,8,7,2025-06-03 13:40:00
978-0-519-05452-7,Thomas,Christopher,m,Outlanders,9,9,12,2025-08-01 18:40:00
978-0-9998429-4-2,Martinez,Julie,f,Comets,7,12,12,2025-06-18 21:00:00
978-0-409-70438-9,Meyer,Shawn,m,Stars,7,7,8,2025-06-04 02:40:00
