id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-7164-1984-6,Rivera,Hannah,f,Stars,6,6,10,2025-08-01 08:00:00
978-1-80992-518-3,King,Joseph,m,Outlanders,7,9,10,2025-07-12 04:20:00
978-0-356-50186-4,Summers,Janice,f,Outlanders,7,7,10,2025-07-12 13:20:00
978-0-7917-4373-7,Hays,Nicole,f,Pathfinders,7,10,9,2025-07-30 23:40:00
978-1-289-53938-2,Wright,Jeffery,m,Outlanders,6,6,9,2025-06-26 17:40:00
978-0-340-51815-1,Kaufman,Crystal,f,Stars,9,9,6,2025-07-31 06:20:00
978-1-74157-036-6,Hayes,Dominique,f,Outlanders,7,9,8,2025-08-09 14:20:00
978-0-02-653327-0,Palmer,Kyle,m,Stars,12,6,9,2025-06-13 07:20:00
978-1-5202-7826-1,White,Jessica,f,Pathfinders,8,7,12,2025-07-15 04:40:00
978-1-06-872420-6,Hill,Jessica,f,Outlanders,8,10,9,2025-06-07 04:20:00
978-1-4545-5397-7,Flores,Christopher,m,Pathfinders,9,11,10,2025-06-24 20:00:00
978-0-919682-73-3,Matthews,Daniel,m,Pathfinders,8,11,12,2025-07-07 07:40:00
978-1-4590-5488-2,Gonzalez,Michael,m,Pathfinders,6,12,12,2025-08-29 17:00:00
978-1-05-028330-8,Morris,Michael,m,Stars,9,9,9,2025-06-14 12:00:00
978-1-168-04028-2,Smith,Rebecca,f,Outlanders,9,9,10,2025-07-26 00:00:00
978-0-630-38287-5,Wu,Krista,f,Pathfinders,10,10,7,2025-06-25 21:00:00
978-0-510-33170-2,Wolfe,Kimberly,f,Pathfinders,12,7,9,2025-06-14 01:00:00
978-1-4322-5478-0,Jackson,Heather,f,Outlanders,10,9,9,2025-07-16 05:20:00
978-1-270-17788-3,Pugh,Brian,m,Outlanders,12,9,9,2025-08-12 23:40:00
978-1-02-896111-5,Salazar,Alyssa,f,Pathfinders,10,12,7,2025-06-26 06:40:00
978-1-128-33219-8,Gutierrez,Deborah,f,Pathfinders,9,12,11,2025-07-19 11:00:00
978-1-07-660023-3,Richardson,Lauren,f,Stars,9,6,9,2025-08-01 06:40:00
978-1-970869-30-9,Smith,Cody,m,Pathfinders,12,8,8,2025-07-19 19:00:00
978-0-590-95463-1,Wilson,Crystal,f,Pathfinders,8,11,10,2025-07-23 15:00:00
978-1-80959-320-7,Vaughn,Laura,f,Pathfinders,8,7,7,2025-06-13 15:40:00
978-1-75347-559-8,Nguyen,Brett,m,Outlanders,9,10,9,2025-07-09 22:00:00
978-1-308-90593-8,Nelson,Brian,m,Stars,9,11,7,2025-07-23 06:20:00
978-0-296-05685-1,Perez,Melissa,f,Stars,8,12,6,2025-07-15 21:20:00
978-0-532-89295-3,Wells,Nathan,m,Pathfinders,8,9,9,2025-07-09 07:00:00
978-1-202-78523-0,Russo,Patrick,m,Pathfinders,9,8,6,2025-08-02 09:40:00
978-0-8143-3750-9,Krueger,Monica,f,Pathfinders,7,7,9,2025-08-10 17:20:00
978-0-86937-253-1,Martinez,Mariah,f,Outlanders,8,10,12,2025-07-04 05:00:00
978-0-487-69511-1,Smith,Keith,m,Outlanders,7,6,12,2025-06-30 20:40:00
978-1-322-47629-2,Martinez,Angela,f,Pathfinders,7,7,11,2025-07-07 14:00:00
978-0-8341-6770-4,Hill,Frances,f,Pathfinders,9,9,10,2025-07-04 10:20:00
978-1-391-03471-3,Harris,Jeff,m,Outlanders,7,12,9,2025-06-01 00:00:00
978-1-4637-8885-8,Jenkins,Jessica,f,Stars,10,6,9,2025-06-26 21:40:00
978-1-4867-1712-5,Smith,Isaac,m,Outlanders,8,9,9,2025-07-18 15:00:00
978-1-74015-601-1,Mitchell,Brooke,f,Stars,7,10,8,2025-08-01 12:40:00
978-1-56953-800-5,Johnson,Corey,m,Outlanders,10,7,11,2025-08-23 06:00:00
978-1-4070-2371-7,Nichols,Joseph,m,Pathfinders,12,9,8,2025-06-24 14:00:00
978-0-02-819958-0,Washington,Nicole,f,Stars,10,7,6,2025-08-27 14:40:00
978-0-485-58955-9,Williams,Kathy,f,Outlanders,9,10,7,2025-07-11 22:00:00
978-1-187-53025-2,Orr,Stephanie,f,Stars,9,7,9,2025-08-13 15:20:00
978-0-293-09017-9,Avery,Madison,f,Stars,7,7,7,2025-08-12 02:20:00
978-0-313-85806-2,Blankenship,Connie,f,Pathfinders,7,9,10,2025-08-03 18:20:00
978-0-7323-3379-9,Summers,Stephanie,f,Outlanders,9,9,12,2025-06-26 13:40:00
978-1-86465-824-8,Fields,Jonathan,m,Outlanders,8,9,9,2025-07-09 14:00:00
978-0-04-166690-8,White,Robert,m,Outlanders,12,6,8,2025-07-15 12:00:00
978-1-85475-234-5,Young,Emily,f,Pathfinders,7,8,7,2025-07-03 18:00:00
