id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-599-43860-6,Baker,Michelle,f,Eagles,9,8,9,2025-07-08 11:40:00
978-0-10-562640-4,York,Anthony,m,Bears,12,7,7,2025-08-18 17:00:00
978-1-80841-251-6,Cox,Margaret,f,Bears,11,9,12,2025-06-14 14:40:00
978-1-4716-9911-5,Clark,Jane,f,Otters,9,8,9,2025-08-30 13:00:00
978-0-517-92353-5,Mcconnell,Mary,f,Eagles,12,11,12,2025-08-14 03:00:00
978-0-13-372076-1,Jackson,Victoria,f,Bears,6,11,8,2025-08-10 08:00:00
978-1-219-95328-8,Huynh,Amanda,f,Otters,12,9,7,2025-08-15 00:20:00
978-1-78734-978-0,Gross,James,m,Otters,9,7,10,2025-07-28 21:00:00
978-0-8415-6960-7,Miller,Colleen,f,Bears,11,10,10,2025-06-20 11:40:00
978-0-633-41298-2,Brown,Richard,m,Otters,8,10,6,2025-06-21 18:20:00
978-0-498-51595-8,Robinson,Michael,m,Eagles,9,7,11,2025-08-22 07:00:00
978-1-902063-32-4,Mccoy,Dale,m,Eagles,12,7,6,2025-07-12 22:40:00
978-1-09-410714-1,Young,Bruce,m,Otters,7,7,6,2025-06-27 00:20:00
978-1-7328646-8-9,Anderson,Morgan,f,Eagles,9,12,12,2025-08-29 11:20:00
978-1-59688-376-5,Ramirez,Robert,m,Bears,9,11,11,2025-07-24 05:00:00
978-1-894215-74-9,Sanchez,Brandi,f,Eagles,7,10,7,2025-06-19 01:40:00
978-1-362-78555-2,Young,Eric,m,Otters,6,8,7,2025-07-23 07:20:00
978-0-8103-1471-9,Gregory,Zachary,m,Bears,12,8,6,2025-07-09 03:20:00
978-1-57349-657-5,Booker,James,m,Eagles,10,9,11,2025-06-19 21:40:00
978-1-227-81611-7,Lee,Kathleen,f,Otters,9,8,7,2025-08-24 05:40:00
978-0-01-396851-1,Taylor,Michael,m,Eagles,6,9,10,2025-07-12 20:40:00
978-0-419-19791-1,Garcia,Sandra,f,Otters,7,9,7,2025-07-29 03:40:00
978-0-08-556712-4,Nguyen,Jonathan,m,Otters,9,9,11,2025-07-27 06:20:00
978-1-4738-1564-3,Ramos,Gary,m,Bears,11,6,6,2025-07-15 16:00:00
978-1-303-30048-6,King,Rebecca,f,Eagles,9,10,10,2025-07-27 14:00:00
978-0-388-89331-9,Powell,Adam,m,Eagles,9,9,9,2025-07-07 09:40:00
978-0-283-63717-9,Ramsey,Andrea,f,Otters,9,6,11,2025-06-10 05:40:00
978-0-18-376685-6,Montgomery,Suzanne,f,Bears,7,10,10,2025-08-11 18:40:00
978-1-85245-623-8,Guerrero,James,m,Eagles,8,10,11,2025-07-24 15:00:00
978-1-889349-86-2,Sullivan,Jesse,m,Otters,7,9,12,2025-06-06 19:00:00
978-1-170-64496-6,Myers,Andrew,m,Eagles,10,9,7,2025-07-06 09:00:00
978-1-873469-92-7,Strickland,Francisco,m,Otters,12,7,10,2025-08-26 06:40:00
978-0-251-47243-6,Harris,Jose,m,Otters,9,9,7,2025-06-05 20:40:00
978-0-15-920064-3,Perry,Jose,m,Eagles,10,10,7,2025-08-03 08:40:00
978-1-913685-06-5,Mcdaniel,Dawn,f,Eagles,8,9,7,2025-06-28 12:40:00
978-0-317-23796-2,Long,Brian,m,Otters,7,9,7,2025-07-25 12:40:00
978-1-60206-808-7,Williamson,Gregory,m,Eagles,7,9,10,2025-08-11 11:40:00
978-0-672-65374-2,Donaldson,John,m,Bears,6,7,8,2025-07-27 03:40:00
978-0-207-26464-1,Peters,Christopher,m,Bears,7,10,8,2025-07-08 18:40:00
978-1-353-88413-4,Cordova,Jared,m,Bears,9,6,10,2025-06-10 15:00:00
978-0-683-35923-7,Anderson,Cheryl,f,Otters,6,10,10,2025-07-29 21:40:00
978-0-696-25977-7,Murphy,Nicholas,m,Otters,7,9,9,2025-08-29 00:00:00
978-1-09-638651-3,Shea,Danielle,f,Eagles,7,9,9,2025-07-03 21:20:00
978-0-466-53892-7,Cunningham,Robert,m,Otters,7,9,10,2025-08-24 15:20:00
978-1-307-27753-1,Holden,Aaron,m,Bears,7,7,7,2025-08-21 05:20:00
978-0-7423-4674-1,Price,James,m,Bears,7,6,7,2025-08-22 12:40:00
978-1-314-49614-7,Barnett,Brent,m,Bears,7,11,11,2025-08-02 10:40:00
978-0-649-52072-5,Butler,Christina,f,Eagles,9,8,7,2025-08-22 13:20:00
978-0-15-462516-8,Horton,Robert,m,Bears,11,9,11,2025-06-21 06:00:00
978-0-14-229025-5,Golden,Sherri,f,Otters,11,7,12,2025-08-18 16:20:00
