id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-162-30375-8,Bray,Cindy,f,Rangers,8,8,10,2025-06-05 08:40:00
978-1-80067-302-1,Cannon,Randall,m,Bears,9,9,11,2025-06-13 16:40:00
978-0-321-61183-3,Morgan,Patrick,m,Eagles,10,9,8,2025-08-17 13:00:00
978-1-5295-6571-3,Shelton,Jerry,m,Eagles,6,8,10,2025-08-17 09:40:00
978-1-04-285550-6,Johnson,George,m,Rangers,11,7,8,2025-07-21 23:40:00
978-0-948365-77-5,Parker,Steven,m,Rangers,7,8,10,2025-06-29 17:00:00
978-0-463-95137-8,Vega,Alexander,m,Eagles,8,8,10,2025-06-29 06:20:00
978-1-82557-724-3,Thomas,Peter,m,Rangers,9,6,10,2025-08-08 11:20:00
978-0-626-88229-7,Ford,Janice,f,Bears,9,10,6,2025-07-15 12:00:00
978-0-02-211380-3,Adams,Sonya,f,Eagles,8,8,9,2025-06-03 00:40:00
978-0-87119-603-3,Parks,Danny,m,Eagles,7,9,7,2025-08-12 08:40:00
978-1-4253-1476-7,Bailey,Anne,f,Rangers,8,10,7,2025-06-08 18:40:00
978-0-677-12694-4,Scott,Wesley,m,Bears,7,6,6,2025-07-13 04:20:00
978-1-883555-37-5,Parker,Christine,f,Bears,12,7,10,2025-07-25 05:00:00
978-0-7666-1432-1,Vaughn,Lisa,f,Bears,11,10,9,2025-06-17 11:20:00
978-1-72434-752-7,Campbell,Thomas,m,Rangers,7,9,10,2025-08-06 16:00:00
978-0-7904-3532-9,Reynolds,Thomas,m,Bears,7,6,7,2025-06-19 03:00:00
978-0-8208-3350-7,Anderson,Stephen,m,Rangers,9,6,6,2025-06-17 15:20:00
978-1-152-15072-0,James,Christine,f,Eagles,10,10,9,2025-07-10 19:40:00
978-1-64771-038-5,Williams,Shane,m,Eagles,8,7,10,2025-07-08 07:40:00
978-1-177-04000-6,Diaz,Phyllis,f,Eagles,10,10,6,2025-06-14 11:00:00
978-0-9748650-4-1,Allen,Christopher,m,Bears,9,9,6,2025-08-14 03:00:00
978-1-06-467423-9,Russo,Lisa,f,Eagles,9,8,11,2025-08-17 20:00:00
978-0-936808-15-4,Stewart,Clarence,m,Bears,12,12,8,2025-08-12 14:00:00
978-0-395-98701-8,Turner,Christopher,m,Bears,8,9,7,2025-07-06 15:00:00
978-1-75089-706-5,Rich,Carrie,f,Bears,9,7,12,2025-07-03 18:20:00
978-1-876228-41-5,Avery,Sarah,f,Eagles,9,8,8,2025-08-09 03:00:00
978-0-224-86727-6,Bruce,Kathleen,f,Rangers,9,9,9,2025-06-01 08:00:00
978-0-7643-2531-1,Short,Austin,m,Eagles,11,10,9,2025-08-30 10:00:00
978-1-370-28803-8,Johnson,Joshua,m,Eagles,9,7,9,2025-07-06 11:20:00
978-1-887676-85-4,Faulkner,Sarah,f,Rangers,9,11,6,2025-08-05 04:20:00
978-0-86685-954-7,Hayes,Kelsey,f,Bears,9,10,9,2025-06-09 07:20:00
978-0-938318-07-1,Taylor,Blake,m,Rangers,8,10,9,2025-08-17 14:00:00
978-1-137-00728-5,Herrera,Kevin,m,Bears,12,7,10,2025-07-22 15:40:00
978-0-470-08543-1,Malone,Caitlin,f,Eagles,6,12,11,2025-06-24 18:40:00
978-1-131-59681-5,Garcia,Derek,m,Eagles,9,8,8,2025-06-09 21:00:00
978-0-653-99784-1,Moss,Lindsay,f,Bears,10,12,7,2025-08-29 04:00:00
978-0-462-59632-7,Hughes,Eric,m,Rangers,9,10,6,2025-06-10 01:20:00
978-1-71756-894-6,Jimenez,Kimberly,f,Rangers,10,8,12,2025-07-10 09:40:00
978-0-545-46668-4,Wilson,Matthew,m,Bears,10,12,6,2025-08-25 23:20:00
978-0-609-12852-7,Frost,Jordan,m,Bears,7,11,11,2025-06-07 16:40:00
978-0-8136-9585-3,Johnson,Kathryn,f,Rangers,10,8,6,2025-08-06 15:20:00
978-1-70037-078-5,Sutton,Gerald,m,Rangers,12,9,9,2025-08-27 05:00:00
978-0-346-41435-8,Duarte,Stephanie,f,Bears,11,8,9,2025-07-05 10:00:00
978-1-5058-2574-9,Martin,Maria,f,Bears,9,9,7,2025-08-08 04:40:00
978-1-75572-579-0,Carter,Richard,m,Bears,9,7,8,2025-06-18 01:40:00
978-0-449-89675-4,Mann,Catherine,f,Bears,7,7,7,2025-07-23 18:40:00
978-1-77697-688-1,Brooks,Jonathan,m,Eagles,6,9,8,2025-08-16 17:00:00
978-1-243-50129-5,Hoffman,Robert,m,Bears,6,6,10,2025-08-04 19:20:00
978-0-87541-883-4,Bates,Matthew,m,Eagles,8,10,10,2025-08-04 01:40:00
