id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-492-56209-5,Beck,Alexis,f,Adventurers,12,9,11,2025-06-19 12:20:00
978-1-59632-497-8,Barber,Linda,f,Outlanders,8,11,9,2025-06-21 11:20:00
978-1-60828-650-8,Campbell,Katelyn,f,Adventurers,12,9,12,2025-08-28 04:20:00
978-0-7124-6837-4,Martin,Lawrence,m,Pathfinders,7,9,10,2025-06-02 11:00:00
978-0-86256-750-7,Scott,Matthew,m,Adventurers,8,11,8,2025-06-11 19:00:00
978-1-313-15786-5,Guerra,Shawn,m,Pathfinders,8,9,9,2025-07-15 05:20:00
978-0-437-06051-8,Jackson,Zachary,m,Outlanders,7,9,9,2025-06-24 02:20:00
978-1-67011-967-4,King,Christie,f,Pathfinders,9,6,10,2025-07-21 15:40:00
978-1-147-02428-9,Potts,Brian,m,Pathfinders,8,8,9,2025-07-09 18:00:00
978-0-315-80823-2,Becker,Angela,f,Pathfinders,7,9,7,2025-08-12 18:40:00
978-1-66414-554-2,Friedman,Joanne,f,Pathfinders,12,8,9,2025-08-08 09:00:00
978-1-4463-9807-4,Jordan,James,m,Pathfinders,10,8,8,2025-06-28 18:00:00
978-1-943720-41-5,Turner,Amber,f,Pathfinders,7,6,7,2025-07-25 04:00:00
978-1-197-74954-5,Hutchinson,Alexandra,f,Outlanders,9,9,9,2025-06-06 20:00:00
978-0-8126-0839-7,Guerrero,Lisa,f,Outlanders,6,11,9,2025-08-30 04:20:00
978-0-516-49694-8,Smith,Natalie,f,Outlanders,11,11,7,2025-06-30 14:20:00
978-0-334-85065-6,Harris,Lauren,f,Pathfinders,7,9,10,2025-06-01 13:00:00
978-1-374-79341-5,Williams,Gregory,m,Adventurers,10,8,12,2025-07-13 12:20:00
978-0-8212-4047-2,Myers,Deborah,f,Outlanders,8,10,12,2025-07-30 13:20:00
978-1-4506-8703-4,Rogers,Hector,m,Adventurers,12,8,9,2025-07-01 20:00:00
978-1-190-60338-7,Fisher,Rebecca,f,Adventurers,9,9,11,2025-08-29 15:00:00
978-0-505-62335-5,Sawyer,Lori,f,Adventurers,8,9,6,2025-08-27 10:40:00
978-1-881540-67-0,Nicholson,Donna,f,Outlanders,9,6,10,2025-06-15 11:40:00
978-0-311-27367-6,Camacho,Jo,f,Pathfinders,8,11,6,2025-07-13 10:20:00
978-0-910899-88-8,Mejia,Todd,m,Adventurers,7,10,9,2025-06-19 16:20:00
978-0-546-27052-5,Sanders,Manuel,m,Adventurers,10,12,10,2025-06-23 01:20:00
978-1-4116-6847-8,Porter,Andrea,f,Adventurers,10,10,8,2025-07-20 10:20:00
978-0-86284-626-8,Cooper,Ricky,m,Outlanders,9,9,9,2025-06-02 01:20:00
978-0-944669-82-2,Barnett,Hannah,f,Pathfinders,7,10,7,2025-06-24 12:00:00
978-0-506-42197-4,Hernandez,Kelly,f,Pathfinders,8,12,10,2025-06-24 07:40:00
978-1-78804-509-4,Duncan,Jamie,f,Outlanders,8,10,6,2025-06-02 14:40:00
978-0-86891-017-8,Thomas,Melissa,f,Outlanders,9,9,12,2025-07-01 13:00:00
978-0-482-29042-7,Williams,Heather,f,Pathfinders,8,10,9,2025-07-19 11:40:00
978-1-67080-704-5,Warner,Jamie,f,Adventurers,10,8,11,2025-06-25 10:20:00
978-1-163-03630-3,Johnston,Patricia,f,Outlanders,11,9,8,2025-07-27 04:00:00
978-0-9881157-6-7,Sellers,Glenda,f,Pathfinders,7,12,10,2025-08-19 00:20:00
978-0-373-21045-9,Johnson,Janet,f,Pathfinders,7,6,8,2025-06-02 06:20:00
978-0-557-32858-1,Ramirez,Amanda,f,Adventurers,12,9,9,2025-08-10 12:20:00
978-1-352-85943-0,Clark,Anna,f,Adventurers,9,6,6,2025-08-29 11:00:00
978-0-384-79995-0,Hines,Elizabeth,f,Pathfinders,7,10,7,2025-08-04 03:00:00
978-1-4955-8658-3,Hicks,Doris,f,Outlanders,6,7,6,2025-08-02 03:00:00
978-0-233-74324-0,Evans,Holly,f,Adventurers,9,12,10,2025-07-13 12:40:00
978-0-675-76106-2,Christensen,Angela,f,Outlanders,6,12,7,2025-06-10 15:40:00
978-1-193-20459-8,Cole,Lauren,f,Pathfinders,9,6,8,2025-07-28 02:00:00
978-0-487-46424-3,Shaffer,Steven,m,Adventurers,8,9,9,2025-06-24 22:40:00
978-0-14-237334-7,Montes,Keith,m,Adventurers,10,9,12,2025-07-09 20:20:00
978-1-899983-72-8,Simmons,Tracey,f,Adventurers,11,9,8,2025-08-09 04:40:00
978-0-571-87681-5,Hall,Jennifer,f,Pathfinders,10,12,8,2025-06-12 20:40:00
978-0-8086-0613-0,Taylor,Deborah,f,Pathfinders,10,9,6,2025-07-31 00:20:00
978-1-07-200618-3,Patel,Tiffany,f,Adventurers,9,8,7,2025-07-09 15:20:00
