id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-69679-704-7,Miller,Michael,m,Eagles,9,9,10,2025-06-03 13:20:00
978-0-458-45752-6,Kim,Steven,m,Eagles,8,10,12,2025-07-24 00:40:00
978-1-79670-374-0,Gomez,David,m,Beavers,11,8,7,2025-08-24 03:00:00
978-1-5437-3382-2,Burch,Ashley,f,Pathfinders,10,6,8,2025-06-21 12:20:00
978-1-117-85948-4,Perez,Linda,f,Beavers,6,11,9,2025-08-18 18:00:00
978-1-72672-708-2,Fuentes,Emily,f,Beavers,9,7,10,2025-06-03 08:00:00
978-0-15-837264-8,Estrada,Carlos,m,Pathfinders,10,9,9,2025-06-02 05:20:00
978-1-05-683670-6,Smith,Melanie,f,Eagles,8,9,9,2025-06-25 08:40:00
978-1-4698-5959-0,Barker,Benjamin,m,Eagles,8,9,11,2025-07-29 07:00:00
978-0-85418-613-6,Baker,Caleb,m,Beavers,6,9,6,2025-06-23 10:00:00
978-0-7925-2582-0,Goodwin,Laura,f,Beavers,7,10,8,2025-06-11 11:00:00
978-0-314-53420-0,Jackson,Patricia,f,Pathfinders,8,6,11,2025-07-14 13:40:00
978-0-07-713843-1,Bender,Nancy,f,Pathfinders,10,8,7,2025-07-02 07:20:00
978-1-5259-2384-5,Perez,Charles,m,Beavers,10,8,8,2025-07-10 08:00:00
978-1-877746-45-1,Morris,Rhonda,f,Pathfinders,10,10,7,2025-08-19 14:00:00
978-0-02-443583-5,Williams,John,m,Pathfinders,10,7,11,2025-08-20 18:40:00
978-1-75531-272-3,Carr,Ray,m,Eagles,8,9,10,2025-06-20 04:40:00
978-0-256-50464-4,Berg,Lisa,f,Pathfinders,9,7,7,2025-06-24 17:00:00
978-1-61868-852-1,Lane,Jeremiah,m,Pathfinders,8,9,11,2025-08-04 08:00:00
978-0-7412-6252-3,Dyer,Matthew,m,Eagles,9,8,10,2025-06-02 09:00:00
978-0-201-63413-6,Morales,Kevin,m,Beavers,9,9,7,2025-06-24 02:20:00
978-1-77658-842-8,Pace,Peter,m,Pathfinders,11,12,10,2025-08-06 11:00:00
978-1-67088-408-4,Wright,Bryce,m,Pathfinders,10,11,10,2025-06-22 19:20:00
978-0-333-29453-6,Wong,James,m,Beavers,7,6,10,2025-06-20 04:00:00
978-1-149-61082-4,Carter,Juan,m,Pathfinders,8,12,7,2025-06-30 00:40:00
978-0-663-37496-0,Brooks,Caitlin,f,Eagles,9,9,8,2025-06-07 23:40:00
978-1-01-716887-7,Thompson,Jason,m,Eagles,6,9,7,2025-08-08 21:40:00
978-0-219-54688-9,Snyder,David,m,Eagles,11,11,6,2025-07-15 10:40:00
978-1-177-60244-0,Evans,Alyssa,f,Eagles,11,9,9,2025-07-17 03:40:00
978-1-110-10084-2,Burnett,Joshua,m,Eagles,9,9,12,2025-06-25 09:00:00
978-1-78644-164-5,Martinez,Jared,m,Eagles,7,12,9,2025-07-06 03:20:00
978-0-7131-9020-5,Riddle,Eric,m,Pathfinders,6,7,9,2025-07-12 02:20:00
978-0-420-33837-2,Collins,Bernard,m,Pathfinders,9,12,6,2025-06-19 20:00:00
978-0-89642-545-3,Matthews,Tamara,f,Pathfinders,8,12,8,2025-07-24 14:00:00
978-1-878193-91-9,Hunt,Richard,m,Eagles,10,9,9,2025-06-26 22:40:00
978-0-7957-5214-8,Sanford,Destiny,f,Beavers,12,9,8,2025-07-16 04:00:00
978-1-83006-346-5,Smith,Monique,f,Beavers,12,7,10,2025-07-28 07:00:00
978-1-82702-200-0,Obrien,Robert,m,Beavers,9,12,11,2025-07-27 19:00:00
978-1-870592-46-8,Harris,Kenneth,m,Beavers,10,8,9,2025-08-27 02:00:00
978-1-74022-892-3,Hardin,Dominique,f,Eagles,8,6,9,2025-08-01 05:40:00
978-1-5252-3945-8,Walker,Debra,f,Beavers,9,10,9,2025-07-19 09:00:00
978-1-236-60783-6,Sullivan,Joshua,m,Eagles,8,9,10,2025-07-21 08:00:00
978-0-253-51870-5,Gibson,Jose,m,Eagles,7,11,9,2025-06-10 19:00:00
978-1-83643-798-7,Compton,Christina,f,Eagles,9,9,11,2025-08-17 12:40:00
978-1-58556-537-5,Tran,Tonya,f,Beavers,9,11,12,2025-06-23 04:20:00
978-1-5096-8741-1,Jenkins,Julie,f,Eagles,8,9,6,2025-08-22 14:40:00
978-0-260-44318-2,Harrison,Kaylee,f,Pathfinders,11,9,9,2025-07-14 14:00:00
978-0-86838-746-8,Vargas,Andrea,f,Eagles,8,9,11,2025-08-15 21:40:00
978-0-932784-17-9,Robinson,Tammy,f,Pathfinders,9,10,10,2025-06-17 17:00:00
978-1-4372-5503-4,Taylor,Kristina,f,Beavers,8,9,7,2025-06-25 13:00:00
