id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-590-73275-8,Summers,Matthew,m,Comets,6,8,7,2025-06-19 04:40:00
978-1-00-499008-5,Ramsey,Melissa,f,Eagles,11,9,9,2025-06-12 04:20:00
978-0-235-07491-5,Mckinney,Jodi,f,Comets,10,12,9,2025-08-02 11:20:00
978-0-9558842-7-6,Walton,Gordon,m,Comets,9,10,7,2025-08-06 16:20:00
978-1-08-521485-8,Stone,Stanley,m,Eagles,7,9,11,2025-06-04 22:40:00
978-0-05-108786-1,Davis,John,m,Comets,7,7,11,2025-06-25 08:20:00
978-1-344-32129-7,Waller,Jeffrey,m,Comets,8,9,11,2025-07-28 00:20:00
978-1-61943-648-0,Maldonado,Michael,m,Eagles,12,7,7,2025-07-19 20:00:00
978-1-116-47758-0,Foster,Patricia,f,Comets,8,10,9,2025-07-24 18:40:00
978-1-80324-093-0,Klein,Ronald,m,Comets,9,9,10,2025-06-09 17:20:00
978-0-392-12382-2,Thomas,Matthew,m,Beavers,10,9,7,2025-06-05 12:40:00
978-0-583-82760-7,Chandler,Laura,f,Comets,6,11,9,2025-06-05 22:20:00
978-1-83474-789-7,Morris,Shannon,f,Comets,7,10,12,2025-06-20 00:00:00
978-0-15-774200-8,Calderon,Keith,m,Beavers,9,7,10,2025-07-13 22:00:00
978-0-922219-00-1,Harvey,James,m,Eagles,9,12,9,2025-08-16 06:20:00
978-1-04-091493-9,Gill,Tracy,f,Beavers,7,6,11,2025-07-09 16:20:00
978-0-366-55408-9,Rogers,Dylan,m,Eagles,8,9,9,2025-07-10 22:20:00
978-0-420-66876-9,Carter,Rebecca,f,Beavers,10,8,8,2025-06-10 13:20:00
978-1-164-38565-3,Reese,Daniel,m,Beavers,11,9,9,2025-07-13 13:20:00
978-0-8157-1222-0,Valdez,Dave,m,Comets,9,9,11,2025-08-20 07:20:00
978-1-4881-8429-1,Edwards,Bruce,m,Comets,11,10,12,2025-06-23 00:40:00
978-1-85289-874-8,Harmon,Jason,m,Beavers,9,6,9,2025-08-24 10:00:00
978-0-509-89678-6,Rodgers,Douglas,m,Comets,9,9,10,2025-07-17 01:40:00
978-1-4628-8897-9,Ashley,Krista,f,Comets,9,6,8,2025-06-29 18:20:00
978-1-75682-021-0,Sawyer,Kimberly,f,Comets,10,10,8,2025-07-16 14:20:00
978-0-277-08350-0,Mcguire,Mason,m,Beavers,8,10,10,2025-07-02 12:00:00
978-1-871771-40-4,Morales,Michelle,f,Comets,8,7,9,2025-08-03 00:00:00
978-0-235-36288-3,Neal,Allen,m,Eagles,8,6,10,2025-06-06 05:00:00
978-0-388-11275-5,Lamb,Tammy,f,Eagles,11,9,8,2025-07-15 03:40:00
978-0-279-70154-9,Sandoval,Steven,m,Beavers,9,7,11,2025-08-23 00:40:00
978-0-9546866-0-4,Taylor,James,m,Eagles,7,11,9,2025-07-18 05:00:00
978-0-7207-3702-8,Tyler,Christine,f,Beavers,7,6,9,2025-07-15 03:40:00
978-1-928647-29-4,Rivera,Roy,m,Beavers,8,8,7,2025-07-14 16:00:00
978-1-00-846048-5,Rice,Alicia,f,Eagles,11,7,9,2025-07-01 07:00:00
978-0-7809-9078-4,Brown,James,m,Eagles,10,7,8,2025-06-03 02:20:00
978-0-921747-17-8,David,Mathew,m,Eagles,8,12,7,2025-06-15 21:40:00
978-1-4186-6067-3,Peters,Nicole,f,Eagles,12,11,10,2025-06-26 02:40:00
978-0-361-37657-0,Johnson,William,m,Comets,7,9,9,2025-06-06 11:20:00
978-0-676-69680-6,Brock,Michael,m,Eagles,8,7,9,2025-07-11 13:40:00
978-1-4314-4124-2,Bennett,Alicia,f,Comets,9,10,11,2025-07-26 08:40:00
978-1-9834-9641-7,Ortiz,Mary,f,Eagles,11,6,9,2025-08-23 21:40:00
978-1-66857-243-6,Thompson,Sherry,f,Beavers,8,10,10,2025-08-25 10:20:00
978-0-464-76294-2,Brady,Joel,m,Comets,7,9,11,2025-06-11 04:40:00
978-0-565-23625-0,Turner,Michael,m,Comets,8,11,7,2025-08-26 00:00:00
978-1-70977-008-1,Stevenson,Joseph,m,Beavers,11,6,8,2025-07-29 23:00:00
978-1-151-66438-9,Mcdonald,Mark,m,Eagles,10,10,11,2025-06-19 12:00:00
978-1-60482-293-9,Ellis,Cynthia,f,Beavers,9,10,8,2025-08-23 16:00:00
978-0-13-250800-1,Carney,William,m,Beavers,9,12,11,2025-08-24 13:40:00
978-1-5104-7036-1,Kent,Christine,f,Comets,9,11,7,2025-08-12 04:20:00
978-1-78884-007-1,Phillips,Wyatt,m,Beavers,7,7,11,2025-07-28 07:20:00
