id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-09-494994-2,Parsons,William,m,Adventurers,8,12,8,2025-07-31 00:00:00
978-1-194-19488-1,Jones,Deanna,f,Pathfinders,12,10,9,2025-08-10 12:00:00
978-1-261-64214-7,Pena,Mitchell,m,Rangers,9,6,6,2025-07-29 20:20:00
978-0-274-62866-7,Byrd,Christopher,m,Adventurers,7,7,7,2025-06-11 07:20:00
978-1-4712-7903-4,Mcdonald,Robert,m,Adventurers,10,10,9,2025-06-24 03:00:00
978-0-344-78513-9,Jones,Melissa,f,Pathfinders,8,8,12,2025-06-12 03:20:00
978-1-154-86226-3,Strickland,Dale,m,Rangers,10,9,10,2025-07-26 18:40:00
978-1-5222-9246-3,Shaffer,Linda,f,Adventurers,8,7,9,2025-06-10 01:00:00
978-0-85868-220-7,Meza,Dawn,f,Adventurers,9,8,9,2025-06-03 23:00:00
978-1-62689-630-7,Carr,Aaron,m,Adventurers,12,7,9,2025-07-19 07:00:00
978-0-306-50855-4,Friedman,Eric,m,Adventurers,11,11,8,2025-08-05 19:00:00
978-0-249-65148-5,Torres,Christine,f,Pathfinders,9,9,8,2025-07-13 15:00:00
978-0-676-82396-7,Garcia,Joshua,m,Pathfinders,7,8,8,2025-07-20 15:40:00
978-1-251-78412-3,Simmons,Stacy,f,Rangers,9,9,10,2025-08-07 21:00:00
978-0-13-679745-6,Rosario,Kelsey,f,Pathfinders,8,8,12,2025-08-10 15:40:00
978-1-919335-31-5,Jackson,Kristy,f,Rangers,9,6,7,2025-06-27 15:00:00
978-1-4375-5897-5,Martinez,Derek,m,Rangers,10,11,10,2025-06-11 02:20:00
978-0-9869724-7-8,White,Jonathan,m,Pathfinders,9,10,8,2025-07-25 11:20:00
978-1-63692-543-1,Moore,Theresa,f,Pathfinders,7,7,6,2025-07-08 06:00:00
978-1-316-62198-1,Larson,Kathryn,f,Pathfinders,10,10,7,2025-07-24 02:20:00
978-0-7615-8150-5,Foster,Luis,m,Pathfinders,12,9,9,2025-08-27 12:20:00
978-0-09-360581-8,Navarro,Kelsey,f,Rangers,9,10,11,2025-08-01 07:20:00
978-0-578-07992-9,Hill,Natalie,f,Adventurers,8,12,9,2025-06-03 10:00:00
978-1-4704-6236-9,Smith,Richard,m,Pathfinders,12,7,7,2025-07-03 16:20:00
978-0-398-10253-1,Williams,Melissa,f,Adventurers,11,10,7,2025-07-19 03:40:00
978-1-5131-8819-5,Wheeler,Lisa,f,Pathfinders,7,9,6,2025-08-20 12:20:00
978-1-00-438525-6,Silva,Taylor,m,Rangers,12,10,9,2025-07-28 11:00:00
978-0-674-45048-6,Arnold,Aaron,m,Pathfinders,8,9,8,2025-08-25 16:00:00
978-1-4108-0944-5,Smith,Jessica,f,Pathfinders,11,9,8,2025-08-25 04:00:00
978-1-76771-746-2,Rivera,Stephanie,f,Pathfinders,10,7,9,2025-08-19 21:40:00
978-0-19-099141-8,Rogers,Jessica,f,Rangers,9,12,6,2025-08-26 16:00:00
978-0-13-549120-1,Bishop,Melissa,f,Rangers,9,7,10,2025-08-28 11:00:00
978-0-583-10555-2,Jefferson,Margaret,f,Rangers,9,9,9,2025-07-16 14:20:00
978-1-4875-2295-7,Hamilton,Emily,f,Pathfinders,8,9,11,2025-07-23 12:40:00
978-1-308-88843-9,Owens,Brittany,f,Rangers,6,10,6,2025-07-09 08:20:00
978-0-8139-4756-3,Orr,Michelle,f,Adventurers,9,10,11,2025-07-28 10:40:00
978-1-217-67363-8,Lopez,Olivia,f,Rangers,12,11,11,2025-08-05 08:00:00
978-1-68968-195-7,Newman,Christina,f,Adventurers,7,10,10,2025-07-26 01:20:00
978-0-326-17447-0,Pitts,Anthony,m,Rangers,10,7,8,2025-08-05 03:40:00
978-0-647-68505-1,Campbell,Melissa,f,Adventurers,10,8,11,2025-06-02 03:40:00
978-1-197-61985-5,Warner,Albert,m,Adventurers,7,10,11,2025-08-30 15:00:00
978-0-535-02730-7,Patterson,Brenda,f,Rangers,11,9,10,2025-08-08 06:00:00
978-0-691-12124-6,Stephens,Thomas,m,Rangers,7,11,9,2025-07-03 13:40:00
978-1-70783-290-3,Rivera,Jaclyn,f,Adventurers,8,9,10,2025-07-12 22:40:00
978-0-85090-325-6,Johnson,April,f,Pathfinders,11,9,6,2025-06-22 19:20:00
978-1-4865-4868-2,Garcia,Dustin,m,Adventurers,10,9,7,2025-07-14 14:40:00
978-0-219-29148-2,Moreno,Jeffrey,m,Pathfinders,9,9,6,2025-07-11 03:40:00
978-0-9784564-5-0,Kim,Susan,f,Adventurers,10,12,7,2025-07-15 00:20:00
978-1-4838-0925-0,Gordon,Taylor,f,Rangers,7,7,7,2025-06-27 09:20:00
978-0-251-51583-6,Sanchez,Joan,f,Rangers,6,11,8,2025-08-03 16:00:00
