id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-86165-071-2,Carter,Derek,m,Rangers,9,10,6,2025-08-17 21:00:00
978-1-4532-8302-8,Bean,Clifford,m,Stars,7,10,7,2025-07-06 03:20:00
978-0-443-95529-7,Carson,John,m,Otters,10,6,9,2025-06-05 10:00:00
978-1-04-643367-0,Brown,Tiffany,f,Otters,7,6,11,2025-07-27 01:40:00
978-1-200-38137-3,Watkins,Shane,m,Stars,12,12,11,2025-08-20 11:20:00
978-1-5356-3906-4,Mendez,Angela,f,Otters,9,8,8,2025-06-16 00:20:00
978-1-294-82806-8,Owens,Sean,m,Otters,10,12,9,2025-08-24 18:40:00
978-1-925545-65-4,Mckinney,Vincent,m,Otters,9,12,12,2025-06-14 14:20:00
978-1-114-88498-4,King,Alan,m,Stars,8,7,9,2025-07-03 03:00:00
978-1-00-747593-0,Jenkins,Laura,f,Stars,11,11,11,2025-08-01 14:40:00
978-1-64665-067-5,Martin,Erica,f,Stars,6,9,7,2025-08-09 02:00:00
978-1-62993-905-6,Estrada,Evelyn,f,Otters,7,7,7,2025-08-11 16:40:00
978-1-139-22118-4,Smith,Brandon,m,Rangers,10,11,7,2025-08-10 09:20:00
978-0-365-01418-8,Pittman,Amber,f,Rangers,10,8,10,2025-07-23 15:20:00
978-1-58211-677-8,Osborn,Brian,m,Stars,10,7,8,2025-08-22 07:00:00
978-0-06-769862-4,Gardner,Julie,f,Rangers,9,9,11,2025-08-08 17:20:00
978-1-271-82676-6,Alexander,Sarah,f,Otters,10,10,7,2025-08-05 11:40:00
978-1-84448-711-0,Rogers,Peter,m,Stars,6,8,8,2025-07-09 15:40:00
978-0-87806-437-3,Dixon,Ryan,m,Otters,7,6,7,2025-08-04 03:40:00
978-0-917411-55-7,Garcia,Alex,m,Rangers,6,10,7,2025-08-28 14:40:00
978-1-900748-90-2,Dennis,Jason,m,Otters,9,7,9,2025-07-03 15:00:00
978-1-77608-637-5,Nguyen,Michelle,f,Stars,9,12,10,2025-07-21 12:20:00
978-0-236-73672-0,Brown,Samantha,f,Otters,9,7,7,2025-08-11 08:40:00
978-1-252-14385-1,Smith,James,m,Stars,7,6,9,2025-07-17 12:20:00
978-0-658-71540-2,Larsen,Casey,f,Stars,7,8,9,2025-07-06 05:20:00
978-0-7508-6239-4,Weber,Jacob,m,Otters,8,7,6,2025-06-11 14:40:00
978-0-06-749200-0,Nash,Kimberly,f,Otters,8,9,8,2025-08-14 15:40:00
978-0-09-572988-8,Grant,Kelly,f,Otters,12,9,6,2025-08-10 01:20:00
978-1-62856-283-5,Sanders,Joseph,m,Stars,8,8,11,2025-08-17 23:20:00
978-0-671-02349-2,Barron,Christopher,m,Rangers,9,10,6,2025-07-08 15:40:00
978-0-646-28317-3,Walker,Jacqueline,f,Rangers,6,8,9,2025-07-07 11:40:00
978-1-120-23985-3,Velez,Christopher,m,Rangers,10,10,9,2025-07-05 06:00:00
978-0-267-30057-0,Stone,Sarah,f,Rangers,12,6,11,2025-06-02 21:00:00
978-0-268-61682-3,Aguilar,Alejandro,m,Otters,6,7,6,2025-08-17 18:20:00
978-1-77785-994-7,Jackson,Clifford,m,Stars,8,11,10,2025-07-28 19:00:00
978-0-440-67765-9,Reyes,Nancy,f,Rangers,9,11,12,2025-06-10 14:40:00
978-0-598-43128-8,Snyder,Travis,m,Stars,10,9,10,2025-07-15 20:00:00
978-1-959580-80-5,Moore,Samuel,m,Stars,11,7,7,2025-06-09 14:40:00
978-0-03-091295-5,Armstrong,Andrew,m,Otters,9,6,10,2025-07-13 17:20:00
978-0-420-05228-5,Ruiz,Michael,m,Stars,8,10,11,2025-07-14 04:00:00
978-0-210-75375-0,Juarez,Jennifer,f,Otters,9,6,8,2025-06-23 02:20:00
978-0-8425-0097-5,Reeves,Heather,f,Rangers,9,12,10,2025-08-21 02:00:00
978-0-02-480297-2,Ponce,Kevin,m,Otters,7,6,9,2025-08-27 10:00:00
978-0-573-54338-8,Johnson,Anthony,m,Otters,8,9,7,2025-08-04 11:40:00
978-1-375-27092-2,Bell,Wanda,f,Stars,7,9,7,2025-06-20 03:00:00
978-1-81505-654-3,Parrish,Molly,f,Rangers,8,8,10,2025-07-25 21:00:00
978-0-217-75259-6,Anderson,Jennifer,f,Stars,10,10,10,2025-08-01 19:00:00
978-0-606-92856-4,Ramirez,Albert,m,Otters,10,9,10,2025-07-17 22:40:00
978-0-00-145083-7,Arnold,Brandon,m,Otters,8,10,10,2025-07-02 16:00:00
978-0-89712-145-3,Lawrence,Jose,m,Stars,9,11,9,2025-06-04 11:40:00
