id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-00-225651-3,Garcia,Rebecca,f,Adventurers,10,9,8,2025-06-14 00:00:00
978-0-347-97448-6,Marsh,Dean,m,Adventurers,8,6,10,2025-06-04 00:20:00
978-0-423-38343-0,Simpson,Christine,f,Wolves,9,10,7,2025-07-13 21:40:00
978-1-128-19722-3,Thompson,Richard,m,Wolves,9,7,12,2025-07-27 22:00:00
978-1-944114-89-3,Lowe,Rebecca,f,Outlanders,9,7,7,2025-07-26 11:00:00
978-1-4630-7048-9,Davis,Aaron,m,Wolves,10,7,9,2025-06-02 08:40:00
978-0-16-487179-1,Schultz,James,m,Outlanders,12,7,6,2025-06-06 03:20:00
978-0-17-772446-6,Ingram,Jamie,f,Adventurers,6,8,6,2025-06-17 17:20:00
978-0-09-766003-5,Butler,Lauren,f,Adventurers,8,12,8,2025-06-16 15:00:00
978-0-292-97464-7,Allen,Anthony,m,Adventurers,10,8,9,2025-07-13 17:00:00
978-0-11-282587-6,Thompson,Jenny,f,Adventurers,9,7,9,2025-06-12 19:40:00
978-1-242-40623-2,Jenkins,Kenneth,m,Adventurers,8,9,10,2025-06-23 23:40:00
978-1-68329-029-2,Sims,Joshua,m,Outlanders,7,7,9,2025-08-27 10:00:00
978-1-5274-4453-9,Russell,Anthony,m,Wolves,7,10,7,2025-06-08 01:20:00
978-0-948186-90-5,Flores,Nicole,f,Wolves,10,7,8,2025-07-07 09:40:00
978-0-7670-6564-1,Lawrence,Brandon,m,Outlanders,6,10,11,2025-06-10 16:40:00
978-0-00-929481-5,Thompson,Jennifer,f,Outlanders,9,12,9,2025-08-15 06:40:00
978-0-7170-1106-3,Allison,Stephen,m,Adventurers,10,10,7,2025-08-18 00:00:00
978-0-8426-0155-9,Vargas,William,m,Adventurers,8,11,7,2025-06-28 20:00:00
978-0-622-52891-5,Hoffman,Troy,m,Wolves,12,7,11,2025-06-16 05:00:00
978-1-00-738015-9,Collier,Michael,m,Outlanders,7,10,9,2025-06-12 12:40:00
978-0-483-25041-3,Taylor,Kimberly,f,Wolves,9,9,8,2025-07-02 04:40:00
978-0-574-53512-2,Hernandez,Jimmy,m,Wolves,7,7,9,2025-08-02 11:20:00
978-1-56814-249-4,Long,Carolyn,f,Wolves,11,9,9,2025-07-28 00:40:00
978-1-57755-423-3,Jones,Kyle,m,Outlanders,9,9,10,2025-06-20 04:20:00
978-1-65322-061-8,Wright,Brad,m,Wolves,7,9,10,2025-06-06 07:00:00
978-1-77790-552-1,Mercado,Joseph,m,Adventurers,6,6,7,2025-07-20 17:40:00
978-0-8360-0517-2,Cardenas,Richard,m,Adventurers,11,7,11,2025-06-28 04:40:00
978-1-78176-185-4,Mitchell,Ryan,m,Adventurers,12,9,7,2025-08-30 13:00:00
978-0-562-00708-2,Richards,Dean,m,Wolves,6,7,8,2025-07-07 12:40:00
978-1-4308-3518-9,Smith,Brandon,m,Outlanders,11,11,8,2025-07-13 11:00:00
978-1-199-85491-9,Diaz,Victoria,f,Wolves,12,7,9,2025-07-27 18:20:00
978-0-925835-78-9,Maxwell,Ricky,m,Wolves,9,11,11,2025-08-11 08:20:00
978-0-03-138532-1,Escobar,Justin,m,Wolves,7,10,12,2025-08-18 01:00:00
978-1-5417-4974-0,Lopez,Joshua,m,Adventurers,9,7,8,2025-06-17 07:20:00
978-1-56247-039-5,Thompson,Karen,f,Wolves,6,9,9,2025-08-15 21:00:00
978-1-55131-443-3,Kelly,Joseph,m,Wolves,9,6,12,2025-06-10 18:00:00
978-0-7515-7505-7,Palmer,Debbie,f,Adventurers,9,11,12,2025-06-21 11:40:00
978-1-353-19159-1,Hernandez,Ronald,m,Outlanders,12,7,9,2025-06-15 05:20:00
978-1-988007-44-1,Adams,Anthony,m,Adventurers,8,10,10,2025-07-15 11:20:00
978-0-271-53213-4,Jones,Scott,m,Adventurers,7,10,9,2025-07-13 09:20:00
978-1-153-38668-5,Myers,Anna,f,Adventurers,7,8,12,2025-07-24 17:40:00
978-0-604-16154-3,Wright,Lisa,f,Adventurers,10,12,10,2025-07-17 13:20:00
978-1-60382-949-6,Price,Marissa,f,Adventurers,6,7,9,2025-08-15 04:00:00
978-0-9976565-4-1,Nelson,Joel,m,Adventurers,9,9,9,2025-07-01 02:00:00
978-0-916702-81-6,Lewis,Raymond,m,Wolves,8,8,8,2025-07-30 19:20:00
978-1-09-741967-8,Knight,Alison,f,Outlanders,10,12,10,2025-08-27 03:40:00
978-1-56619-078-7,Klein,Michael,m,Adventurers,7,10,10,2025-08-30 14:00:00
978-0-580-35590-5,Martin,William,m,Adventurers,10,10,9,2025-08-12 17:00:00
978-0-495-75934-8,Wood,Kayla,f,Adventurers,7,8,9,2025-06-30 09:40:00
